IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,Branches,PVF
1,0.095041,2000.0,184,0.13,0.071,0.4455,0.2795,0.22282608695652173,0.31521739130434784,0.1358695652173913,0.27847
2,0.107688,4000.0,430,0.152,0.0895,0.5175,0.38275,0.27674418604651163,0.2069767441860465,0.2069767441860465,0.27847
3,0.103022,6000.0,617,0.16066666666666668,0.09566666666666666,0.5045,0.3928333333333333,0.23987034035656402,0.20097244732576985,0.22042139384116693,0.27847
4,0.105647,8000.0,840,0.15725,0.096875,0.526875,0.380125,0.2154761904761905,0.20714285714285716,0.20952380952380953,0.27847
5,0.104999,10000.0,1048,0.1585,0.0987,0.509,0.367,0.20896946564885496,0.21087786259541985,0.20038167938931298,0.27847
6,0.152626,12000.0,1828,0.24233333333333335,0.149,0.5929166666666666,0.49833333333333335,0.19529540481400437,0.16083150984682712,0.14113785557986872,0.27847
7,0.182137,14000.0,2545,0.28935714285714287,0.15521428571428572,0.6453571428571429,0.5626428571428571,0.15599214145383103,0.17406679764243616,0.15913555992141454,0.27847
8,0.184169,16000.0,2941,0.2829375,0.1555625,0.697875,0.55375,0.15606936416184972,0.16797007820469229,0.16184971098265896,0.27847
9,0.172112,18000.0,3092,0.2632777777777778,0.1441111111111111,0.659,0.518,0.15426908150064683,0.17173350582147479,0.16073738680465718,0.27847
10,0.164478,20000.0,3269,0.25045,0.13735,0.63615,0.49625,0.15478739675741818,0.17100030590394616,0.16427041908840623,0.27847
11,0.174705,22000.0,3836,0.27286363636363636,0.14804545454545454,0.6668636363636363,0.5356363636363637,0.1543274244004171,0.1903023983315954,0.16657977059436913,0.27847
12,0.229575,24000.0,5499,0.34820833333333334,0.19025,0.781875,0.6928333333333333,0.15002727768685215,0.17421349336242953,0.17439534460811057,0.27847
13,0.246021,26000.0,6384,0.374,0.2058846153846154,0.8153461538461538,0.7491923076923077,0.14786967418546365,0.17026942355889724,0.17731829573934837,0.27847
14,0.236429,28000.0,6607,0.35878571428571426,0.1997857142857143,0.7986428571428571,0.7217857142857143,0.1504464961404571,0.17118207961253215,0.17829574693506886,0.27847
15,0.234024,30000.0,6991,0.35456666666666664,0.1956,0.7825666666666666,0.7105,0.15033614647403806,0.1805178086110714,0.1765126591331712,0.27847
16,0.225932,32000.0,7214,0.34146875,0.18940625,0.7654375,0.6869375,0.15220404768505683,0.18228444690878848,0.17812586637094538,0.27847
17,0.218625,34000.0,7407,0.32991176470588235,0.18326470588235294,0.7443235294117647,0.6646176470588235,0.15498852436884028,0.1857702173619549,0.17726474956122587,0.27847
18,0.210148,36000.0,7538,0.3166111111111111,0.17619444444444443,0.7233333333333334,0.6409444444444444,0.15600955160520033,0.18492968957283099,0.17750066330591668,0.27847
19,0.208579,38000.0,7902,0.3145,0.1761578947368421,0.7183421052631579,0.6412368421052631,0.15730194887370286,0.1856492027334852,0.17792963806631232,0.27847
20,0.202683,40000.0,8084,0.3057,0.171825,0.704125,0.62475,0.15994557149925778,0.1851806036615537,0.1785007422068283,0.27847
21,0.199212,42000.0,8346,0.2991666666666667,0.1676904761904762,0.6928333333333333,0.6144047619047619,0.15983704768751497,0.1838006230529595,0.1794871794871795,0.27847
22,0.221278,44000.0,9717,0.3215681818181818,0.18009090909090908,0.7310681818181818,0.6659318181818182,0.16908510857260473,0.18184624884223527,0.18174333642070598,0.27847
23,0.267224,46000.0,12268,0.3665869565217391,0.20378260869565218,0.7995652173913044,0.759695652173913,0.18006194978806653,0.17940984675578742,0.18478969677208998,0.27847
24,0.308966,48000.0,14801,0.40691666666666665,0.2251875,0.8590625,0.8437708333333334,0.18647388689953381,0.176406999527059,0.1868792649145328,0.27847
25,0.343781,50000.0,17155,0.4406,0.24298,0.91252,0.91288,0.19224715826289712,0.17569221801224133,0.18834159137277762,0.27847
