IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,Branches,PVF
1,0.107661,2000.0,215,0.1855,0.0905,0.5315,0.4385,0.22790697674418606,0.28837209302325584,0.14418604651162792,0.26962
2,0.11168,4000.0,436,0.18225,0.103,0.5575,0.463,0.27293577981651373,0.20642201834862386,0.20871559633027523,0.26962
3,0.10536,6000.0,631,0.18116666666666667,0.10416666666666667,0.5445,0.44433333333333336,0.23771790808240886,0.20602218700475436,0.21870047543581617,0.26962
4,0.106199,8000.0,848,0.1755,0.10525,0.54325,0.429875,0.2134433962264151,0.20754716981132076,0.20872641509433962,0.26962
5,0.1055,10000.0,1053,0.174,0.1059,0.5236,0.4091,0.20797720797720798,0.2117758784425451,0.19943019943019943,0.26962
6,0.144444,12000.0,1730,0.23541666666666666,0.14283333333333334,0.5885833333333333,0.49066666666666664,0.1976878612716763,0.16358381502890174,0.14450867052023122,0.26962
7,0.167108,14000.0,2335,0.2749285714285714,0.15392857142857144,0.6370714285714286,0.5529285714285714,0.169593147751606,0.16788008565310492,0.1511777301927195,0.26962
8,0.180349,16000.0,2880,0.2848125,0.1549375,0.7123125,0.5614375,0.15486111111111112,0.16875,0.16111111111111112,0.26962
9,0.171571,18000.0,3073,0.26755555555555555,0.14533333333333334,0.6813888888888889,0.5316111111111111,0.15457207940123657,0.17279531402538237,0.16108037748128864,0.26962
10,0.166792,20000.0,3325,0.25955,0.1416,0.6658,0.52065,0.15428571428571428,0.17142857142857143,0.16661654135338347,0.26962
11,0.186273,22000.0,4090,0.3004545454545455,0.1635,0.7176363636363636,0.5990454545454545,0.15647921760391198,0.1902200488997555,0.17286063569682153,0.26962
12,0.231704,24000.0,5550,0.3566666666666667,0.19275,0.8100833333333334,0.715875,0.14882882882882884,0.17531531531531533,0.17495495495495494,0.26962
13,0.246214,26000.0,6389,0.3773076923076923,0.20665384615384616,0.8288076923076924,0.7556538461538461,0.14900610424166535,0.17076224761308498,0.17733604632962904,0.26962
14,0.236274,28000.0,6593,0.3603928571428571,0.199,0.8081071428571428,0.7242142857142857,0.15076596390110725,0.17184893068405885,0.1782193235249507,0.26962
15,0.232891,30000.0,6973,0.3534333333333333,0.1943,0.7928666666666667,0.7133,0.15086763229599887,0.17625125484009752,0.1799799225584397,0.26962
16,0.27429,32000.0,8760,0.415375,0.225625,0.85896875,0.8066875,0.15399543378995434,0.18287671232876712,0.17705479452054795,0.26962
17,0.334188,34000.0,11340,0.49458823529411766,0.27091176470588235,0.9548529411764706,0.9482352941176471,0.16604938271604938,0.19497354497354497,0.18350970017636684,0.26962
18,0.387041,36000.0,13906,0.5648055555555556,0.3110833333333333,1.0398888888888889,1.0741944444444445,0.17366604343448871,0.20264633970947793,0.18768876743851576,0.26962
19,0.434937,38000.0,16495,0.6274736842105263,0.3469473684210526,1.1163684210526317,1.1872368421052633,0.17878144892391634,0.2079418005456199,0.1905425886632313,0.26962
20,0.471682,40000.0,18830,0.674475,0.37475,1.1774,1.277275,0.1797132235793946,0.2092405735528412,0.18996282527881042,0.26962
21,0.479681,42000.0,20102,0.6794285714285714,0.379047619047619,1.1930714285714286,1.2929285714285714,0.18023082280370112,0.2085364640334295,0.18958312605710875,0.26962
22,0.469906,44000.0,20635,0.6645,0.3694090909090909,1.176840909090909,1.2735227272727272,0.1841046765204749,0.21070995880785073,0.18972619336079477,0.26962
23,0.457797,46000.0,21017,0.6435434782608696,0.3573695652173913,1.1499565217391305,1.2436739130434782,0.18594471142408525,0.21059142598848551,0.18941809011752392,0.26962
24,0.452061,48000.0,21656,0.6288541666666667,0.3484583333333333,1.1412708333333332,1.2296458333333333,0.18835426671592168,0.20968784632434428,0.18867750277059475,0.26962
25,0.451374,50000.0,22524,0.61902,0.34236,1.1451,1.23024,0.1914402415201563,0.20844432605221097,0.1877108861658675,0.22219
26,0.460373,52000.0,23892,0.6195192307692308,0.34140384615384617,1.1689038461538461,1.256673076923077,0.1964255817846978,0.20693119035660473,0.18654779842625147,0.22219
27,0.472956,54000.0,25489,0.6222222222222222,0.34146296296296297,1.1991666666666667,1.2923518518518518,0.2005178704539213,0.20550041194240654,0.18458943073482678,0.22219
28,0.481472,56000.0,26909,0.6237142857142857,0.34101785714285715,1.2245357142857143,1.3183035714285714,0.20461555613363558,0.20480136757218775,0.18354453900182094,0.22219
29,0.494187,58000.0,28606,0.6292931034482758,0.3426034482758621,1.2543793103448275,1.356948275862069,0.20901209536460882,0.20348877857792072,0.18237432706425225,0.22219
30,0.504317,60000.0,30199,0.6320833333333333,0.3431666666666667,1.2789833333333334,1.3851666666666667,0.21206000198682076,0.2029537401900725,0.18152918970826848,0.22219
31,0.516395,62000.0,31953,0.6368225806451613,0.34474193548387094,1.3070161290322582,1.4248870967741936,0.21509717397427472,0.20154602071792946,0.18045253966763683,0.22219
32,0.521989,64000.0,33341,0.6371875,0.34390625,1.320375,1.44071875,0.21777991062055727,0.20131369784949463,0.17968867160553073,0.22219
33,0.532345,66000.0,35065,0.641560606060606,0.3452727272727273,1.3432575757575758,1.4696666666666667,0.22024811065164693,0.2002566661913589,0.17898189077427634,0.22219
34,0.54968,68000.0,37304,0.6525735294117647,0.35001470588235295,1.373029411764706,1.5143676470588234,0.2236221316748874,0.1993083851597684,0.1782382586317821,0.17367
35,0.561028,70000.0,39194,0.6572571428571429,0.35185714285714287,1.3955142857142857,1.5444,0.2257233249987243,0.19827014338929427,0.1775271725264071,0.17367
36,0.5746,72000.0,41289,0.6658611111111111,0.3555833333333333,1.4216527777777779,1.584513888888889,0.22814793286347454,0.1980915013684032,0.17694785536099203,0.17367
37,0.58569,74000.0,43255,0.6713783783783783,0.35777027027027025,1.4441486486486486,1.617,0.22989249797711248,0.19717951681886486,0.176303317535545,0.17367
38,0.596158,76000.0,45218,0.6761973684210526,0.3596184210526316,1.4637105263157895,1.6441184210526316,0.23200937679685082,0.19649254721571055,0.17550532973594588,0.17367
39,0.60361,78000.0,46988,0.6795256410256411,0.36062820512820515,1.4783076923076923,1.663,0.23350642717289521,0.19651825998127181,0.17500212820294545,0.17367
40,0.613883,80000.0,49013,0.6852875,0.3629,1.4978125,1.6907,0.23518250260135065,0.19566237528818886,0.17448432048640156,0.17367
41,0.625133,82000.0,51159,0.6923414634146341,0.36604878048780487,1.5177926829268293,1.7206463414634146,0.23669344592349342,0.1952149181962118,0.1739869817627397,0.15532
42,0.635716,84000.0,53294,0.699047619047619,0.36888095238095236,1.537440476190476,1.7505119047619047,0.23807558074079635,0.1950876271250047,0.17364055991293578,0.15532
43,0.646273,86000.0,55469,0.705360465116279,0.371546511627907,1.5561511627906977,1.7780813953488372,0.2395932863401179,0.19455912311381132,0.17323189529286628,0.15532
44,0.654779,88000.0,57506,0.7108295454545455,0.37380681818181816,1.5731704545454546,1.8034886363636364,0.24089660209369457,0.19439710638889854,0.17300803394428407,0.15532
