IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,Branches,PVF
1,0.105158,2000.0,210,0.178,0.0885,0.5175,0.4255,0.22857142857142856,0.29523809523809524,0.1380952380952381,0.24537
2,0.1142,4000.0,456,0.18975,0.10725,0.5705,0.48075,0.26973684210526316,0.21710526315789475,0.20833333333333334,0.24537
3,0.10536,6000.0,631,0.18083333333333335,0.10416666666666667,0.5491666666666667,0.44483333333333336,0.23771790808240886,0.20602218700475436,0.21870047543581617,0.24537
4,0.108932,8000.0,861,0.175625,0.105125,0.55475,0.4255,0.21254355400696864,0.20441347270615565,0.20905923344947736,0.24537
5,0.109914,10000.0,1092,0.1775,0.1077,0.5387,0.4095,0.2097069597069597,0.21062271062271062,0.19688644688644688,0.24537
6,0.1654,12000.0,1981,0.27116666666666667,0.16358333333333333,0.636,0.564,0.1928319030792529,0.1574962140333165,0.13831398283695104,0.24537
7,0.188363,14000.0,2632,0.304,0.16221428571428573,0.6847142857142857,0.5983571428571428,0.1534954407294833,0.1743920972644377,0.16033434650455927,0.24537
8,0.187426,16000.0,2993,0.2918125,0.1594375,0.717625,0.5801875,0.15569662545940527,0.17006348145673236,0.16237888406281323,0.24537
9,0.174852,18000.0,3133,0.27111111111111114,0.14777777777777779,0.6715555555555556,0.5397777777777778,0.15416533673795085,0.17235876157037983,0.16182572614107885,0.24537
10,0.170512,20000.0,3400,0.26215,0.1447,0.66205,0.52635,0.15764705882352942,0.17029411764705882,0.16676470588235295,0.24537
11,0.200483,22000.0,4402,0.3169090909090909,0.17331818181818182,0.7416818181818182,0.6347272727272727,0.15333939118582463,0.18468877782825988,0.17560199909132213,0.24537
12,0.24999,24000.0,5984,0.3825,0.20725,0.839875,0.7677083333333333,0.14772727272727273,0.17630347593582887,0.1768048128342246,0.31104
13,0.251352,26000.0,6505,0.3821538461538462,0.2098076923076923,0.8355384615384616,0.7682692307692308,0.14973097617217526,0.17017678708685627,0.17786318216756342,0.31104
14,0.242727,28000.0,6783,0.37210714285714286,0.20464285714285715,0.8189642857142857,0.7519642857142858,0.1500810850656052,0.17337461300309598,0.17882942650744507,0.31104
15,0.238636,30000.0,7145,0.3652666666666667,0.20176666666666668,0.8035,0.7389666666666667,0.15143456962911125,0.17172848145556333,0.17858642407277817,0.31104
16,0.242758,32000.0,7743,0.36771875,0.2035,0.80978125,0.746375,0.15743251969520858,0.1724137931034483,0.1797752808988764,0.31104
17,0.24902,34000.0,8450,0.3773235294117647,0.20555882352941177,0.817735294117647,0.7645,0.15940828402366863,0.17834319526627218,0.18236686390532544,0.26868
18,0.278549,36000.0,10008,0.4166111111111111,0.22166666666666668,0.8639722222222223,0.83775,0.16316946442845723,0.18764988009592326,0.18245403677058353,0.26868
19,0.279684,38000.0,10607,0.41739473684210526,0.22192105263157894,0.8612368421052632,0.8402105263157895,0.1637597812765155,0.1897803337418686,0.18129537098142737,0.26868
20,0.271046,40000.0,10815,0.403375,0.21485,0.8422,0.813675,0.16421636615811372,0.19047619047619047,0.18243180767452613,0.26868
21,0.26309,42000.0,11009,0.3912857142857143,0.20942857142857144,0.8203333333333334,0.7903571428571429,0.1681351621400672,0.1913888636570079,0.18285039513125625,0.26868
22,0.254794,44000.0,11174,0.38013636363636366,0.20375,0.8047727272727273,0.768090909090909,0.16869518525147664,0.19133703239663505,0.18274565956685163,0.26868
23,0.253788,46000.0,11642,0.37865217391304345,0.2041086956521739,0.802695652173913,0.769,0.1696443909981103,0.19111836454217487,0.18355952585466415,0.26868
24,0.258804,48000.0,12398,0.38614583333333335,0.20879166666666665,0.8046875,0.7802291666666666,0.1730117760929182,0.1970479109533796,0.1851105016938216,0.24877
25,0.257991,50000.0,12874,0.38934,0.20886,0.80934,0.78136,0.17065403138107815,0.20661798974677645,0.18416964424421314,0.24877
26,0.256629,52000.0,13318,0.3860769230769231,0.20807692307692308,0.8050576923076923,0.7751538461538462,0.17194773990088602,0.20603694248385643,0.1847875056314762,0.24877
27,0.25278,54000.0,13615,0.3809074074074074,0.2053148148148148,0.7923888888888889,0.7619259259259259,0.1734851266984943,0.2077120822622108,0.18207858979067204,0.24877
28,0.247992,56000.0,13860,0.3732142857142857,0.201125,0.7769285714285714,0.7451428571428571,0.17287157287157287,0.20865800865800865,0.18037518037518038,0.24877
29,0.25891,58000.0,14987,0.38660344827586207,0.2076896551724138,0.7955172413793103,0.7700689655172414,0.17014746113298193,0.20164142256622405,0.18062320677920865,0.24877
30,0.281408,60000.0,16851,0.4149,0.2225,0.8345166666666667,0.8262333333333334,0.16580618360928134,0.1922141119221411,0.18129487864221708,0.39539
31,0.309633,62000.0,19144,0.452,0.2413225806451613,0.8814032258064516,0.8956612903225807,0.16543042206435438,0.1864814040952779,0.1804220643543669,0.39539
32,0.304538,64000.0,19446,0.443234375,0.237578125,0.86725,0.879203125,0.1646611128252597,0.18466522678185746,0.1791113853748843,0.40056
33,0.318086,66000.0,20952,0.4539393939393939,0.2442121212121212,0.8868181818181818,0.9036212121212122,0.15783696067201222,0.17430316914852997,0.1746372661321115,0.40056
34,0.345377,68000.0,23439,0.4789705882352941,0.25883823529411765,0.9280735294117647,0.9554705882352941,0.14881180937753316,0.1597764409744443,0.16809590852852085,0.40056
35,0.34885,70000.0,24371,0.47972857142857145,0.25985714285714284,0.9303857142857143,0.9592142857142857,0.14628041524763039,0.1554306347708342,0.16605801977760454,0.44408
36,0.373895,72000.0,26867,0.5023888888888889,0.2730416666666667,0.9679722222222222,1.0060972222222222,0.13916700785350059,0.14437786131685712,0.16112703316336024,0.45986
37,0.379069,74000.0,27995,0.5053243243243243,0.2752027027027027,0.9735135135135136,1.0132567567567567,0.13741739596356492,0.1406679764243615,0.1591712805858189,0.45986
38,0.399161,76000.0,30276,0.52375,0.2860526315789474,1.0045,1.0522236842105264,0.13224996697053773,0.13277843836702338,0.1557008851895891,0.4511
39,0.411339,78000.0,31982,0.5334230769230769,0.2918974358974359,1.0221538461538462,1.074025641025641,0.1291664061034332,0.1280407729347758,0.15368019510974923,0.4511
40,0.426898,80000.0,34084,0.5478875,0.3006125,1.04655,1.1045875,0.1255721159488323,0.1224034737706842,0.1511853068888628,0.40522
41,0.447059,82000.0,36586,0.5661829268292683,0.3112439024390244,1.0768048780487804,1.1423048780487806,0.12176788935658449,0.11651998032034111,0.14858142458864046,0.4743
42,0.466248,84000.0,39087,0.5836309523809524,0.32135714285714284,1.105595238095238,1.178095238095238,0.11842812188195563,0.11139253460229744,0.14631463146314633,0.4743
43,0.484591,86000.0,41592,0.6003953488372094,0.3311162790697674,1.1331162790697675,1.212546511627907,0.11559915368340065,0.10694364300827082,0.14435468359299866,0.47316
44,0.50201,88000.0,44089,0.6163068181818182,0.34036363636363637,1.15925,1.2451704545454545,0.11295334437161196,0.1029281680237701,0.14257524552609493,0.47241
45,0.518665,90000.0,46587,0.6314,0.3491222222222222,1.1842555555555556,1.2762888888888888,0.11063172129564042,0.0993624830961427,0.14100500139523903,0.47336
46,0.534727,92000.0,49097,0.6460652173913044,0.3576413043478261,1.2083152173913043,1.306358695652174,0.10862170804733487,0.09619732366539707,0.13960119762918305,0.47336
47,0.549998,94000.0,51597,0.6599893617021276,0.3657340425531915,1.2312340425531916,1.334936170212766,0.10671163052115433,0.09329999806190283,0.13834137643661454,0.47188
48,0.564571,96000.0,54091,0.6732395833333333,0.37342708333333335,1.253125,1.3622395833333334,0.10498973951304283,0.09066203250078571,0.13715775267604594,0.47168
49,0.578703,98000.0,56600,0.6861734693877551,0.3809183673469388,1.274295918367347,1.3887142857142858,0.1034982332155477,0.08830388692579505,0.136113074204947,0.47401
50,0.592188,100000.0,59101,0.6984,0.38805,1.29453,1.41396,0.10206257085328506,0.08610683406372142,0.1351584575557097,0.47401
51,0.605077,102000.0,61595,0.7101862745098039,0.39488235294117646,1.313892156862745,1.438127450980392,0.1007224612387369,0.08408150012176313,0.13426414481694943,0.47206
52,0.617633,104000.0,64106,0.7216153846153847,0.4015096153846154,1.3326923076923076,1.4615384615384615,0.09956946307677908,0.08225439116463358,0.13345084703459895,0.47214
53,0.629602,106000.0,66605,0.7324622641509434,0.4078301886792453,1.3506603773584906,1.4839716981132076,0.09844606260791232,0.08053449440732678,0.13269274078522633,0.47214
54,0.641017,108000.0,69092,0.743712962962963,0.4142037037037037,1.3682314814814815,1.5056944444444444,0.09727609564059515,0.07925664331615817,0.13286632316331848,0.4401
55,0.646615,110000.0,70986,0.7501181818181818,0.4179,1.3769181818181817,1.5161727272727272,0.09676555940608007,0.07888879497365678,0.1338714676133322,0.2874
56,0.642449,112000.0,71811,0.7479196428571429,0.41675,1.378830357142857,1.5087946428571428,0.09933018618317528,0.08073971954157441,0.13509072426229965,0.2874
57,0.63799,114000.0,72586,0.7450789473684211,0.41514912280701755,1.3800263157894737,1.5002719298245615,0.10168627559033422,0.08244013997189541,0.1362108395558372,0.2874
