IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,Branches,PVF
1,0.105158,2000.0,210,0.178,0.0885,0.5175,0.4255,0.22857142857142856,0.29523809523809524,0.1380952380952381,0.2708
2,0.1142,4000.0,456,0.18975,0.10725,0.5705,0.48075,0.26973684210526316,0.21710526315789475,0.20833333333333334,0.2708
3,0.10536,6000.0,631,0.18083333333333335,0.10416666666666667,0.5491666666666667,0.44483333333333336,0.23771790808240886,0.20602218700475436,0.21870047543581617,0.2708
4,0.108905,8000.0,861,0.175625,0.105125,0.555625,0.4255,0.21254355400696864,0.20441347270615565,0.20905923344947736,0.2708
5,0.109892,10000.0,1092,0.1775,0.1077,0.5394,0.4095,0.2097069597069597,0.21062271062271062,0.19688644688644688,0.2708
6,0.1654,12000.0,1981,0.27116666666666667,0.16358333333333333,0.6364166666666666,0.5635833333333333,0.1928319030792529,0.1574962140333165,0.13831398283695104,0.2708
7,0.188363,14000.0,2632,0.304,0.16221428571428573,0.6850714285714286,0.5983571428571428,0.1534954407294833,0.1743920972644377,0.16033434650455927,0.2708
8,0.187426,16000.0,2993,0.291625,0.15925,0.7179375,0.5798125,0.15569662545940527,0.17006348145673236,0.16237888406281323,0.2708
9,0.174833,18000.0,3133,0.27111111111111114,0.14777777777777779,0.6719444444444445,0.5397777777777778,0.15416533673795085,0.17235876157037983,0.16182572614107885,0.2708
10,0.170494,20000.0,3400,0.26215,0.1447,0.6624,0.52635,0.15764705882352942,0.17029411764705882,0.16676470588235295,0.2708
11,0.200483,22000.0,4402,0.31672727272727275,0.1731818181818182,0.7419545454545454,0.6346818181818182,0.15333939118582463,0.18468877782825988,0.17560199909132213,0.2708
12,0.249969,24000.0,5984,0.3825,0.20725,0.8401666666666666,0.7677083333333333,0.14772727272727273,0.17630347593582887,0.1768048128342246,0.2708
13,0.249961,26000.0,6471,0.37996153846153846,0.20884615384615385,0.8323846153846154,0.7637307692307692,0.14974501622624015,0.17107093184979139,0.17756142790913307,0.2708
14,0.243165,28000.0,6795,0.36975,0.20425,0.8153214285714285,0.7452142857142857,0.14966887417218544,0.17380426784400294,0.1780721118469463,0.2708
15,0.236914,30000.0,7079,0.35983333333333334,0.20003333333333334,0.7953,0.7274,0.1515750812261619,0.17375335499364317,0.17827376748128268,0.2708
16,0.239252,32000.0,7641,0.36075,0.20028125,0.800375,0.73265625,0.15783274440518258,0.17458447847140426,0.18008114121188326,0.2708
17,0.248755,34000.0,8441,0.3745588235294118,0.2041470588235294,0.8145294117647058,0.7598823529411765,0.16028906527662598,0.18149508352090984,0.18232436915057457,0.2708
18,0.28136,36000.0,10109,0.41691666666666666,0.22194444444444444,0.8644444444444445,0.8398611111111111,0.16361657928578494,0.19012760906123258,0.18251063408843604,0.2708
19,0.275793,38000.0,10452,0.40789473684210525,0.21655263157894736,0.8513421052631579,0.8212105263157895,0.16379640260237274,0.19316877152698048,0.18178339073861463,0.2708
20,0.2668,40000.0,10644,0.39485,0.211,0.829425,0.797575,0.1655392709507704,0.19306651634723787,0.1832957534761368,0.2708
21,0.257963,42000.0,10787,0.38135714285714284,0.20385714285714285,0.8048333333333333,0.770952380952381,0.1683507926207472,0.19449337165106145,0.18309075739315844,0.2708
22,0.248438,44000.0,10896,0.36818181818181817,0.19725,0.7821363636363636,0.7464318181818181,0.16896108663729809,0.19502569750367107,0.18337004405286345,0.2708
23,0.252391,46000.0,11587,0.37430434782608696,0.20232608695652174,0.7876739130434782,0.758695652173913,0.1732113575558816,0.1966859411409338,0.1854664710451368,0.23502
24,0.245947,48000.0,11772,0.36485416666666665,0.19783333333333333,0.7715416666666667,0.7410625,0.17456676860346584,0.19707781175671085,0.18594971117906897,0.23502
25,0.245787,50000.0,12265,0.36856,0.19788,0.77502,0.7425,0.1717081125152874,0.20766408479412965,0.18353037097431715,0.23502
26,0.256046,52000.0,13288,0.38419230769230767,0.20825,0.8046538461538462,0.7732692307692308,0.18068934376881396,0.21079169175195664,0.18844069837447322,0.23502
27,0.287625,54000.0,15501,0.42803703703703705,0.23637037037037037,0.8627592592592592,0.8539444444444444,0.19656796335720275,0.21663118508483323,0.19727759499387137,0.23502
28,0.308504,56000.0,17242,0.4587857142857143,0.2547857142857143,0.8954285714285715,0.9019285714285714,0.19353903259482658,0.21064841665700035,0.19365502841897692,0.23502
29,0.338827,58000.0,19613,0.5025172413793103,0.2800344827586207,0.9415517241379311,0.9595,0.17518992504971193,0.19023096925508592,0.18033957069290776,0.23502
30,0.357359,60000.0,21399,0.5208666666666667,0.2875666666666667,0.9763333333333334,1.00185,0.16706388148978923,0.1762699191551007,0.18178419552315528,0.40736
31,0.364804,62000.0,22573,0.5266935483870968,0.2885,0.9910645161290322,1.0174838709677418,0.16479865325831747,0.17095645239888363,0.1838922606653967,0.40736
32,0.376575,64000.0,24053,0.552734375,0.300453125,1.008640625,1.04965625,0.1761942377250239,0.1687523385856234,0.1761942377250239,0.40736
33,0.419013,66000.0,27600,0.6322575757575758,0.33565151515151515,1.0563787878787878,1.1314242424242424,0.20572463768115942,0.16391304347826086,0.15931159420289856,0.40736
34,0.413325,68000.0,28035,0.6228382352941176,0.33,1.0426470588235295,1.1145441176470587,0.20442304262528982,0.1635812377385411,0.15890850722311398,0.40736
35,0.424771,70000.0,29652,0.6332714285714286,0.3347428571428571,1.0586285714285715,1.1387857142857143,0.1954674220963173,0.15712262242007285,0.1553689464454337,0.40736
36,0.417101,72000.0,29927,0.6203888888888889,0.3282361111111111,1.0436388888888888,1.1201805555555555,0.1948073645871621,0.1567146723694323,0.1554783306044709,0.41327
37,0.409958,74000.0,30252,0.6086891891891892,0.3227972972972973,1.0280135135135136,1.1012837837837839,0.194003702234563,0.15585746396932434,0.15493190532857332,0.41327
38,0.403407,76000.0,30598,0.598171052631579,0.3173026315789474,1.0143289473684212,1.0850657894736842,0.19305183345316687,0.15474867638407738,0.15458526701091574,0.41327
39,0.431378,78000.0,33553,0.6216153846153846,0.32987179487179485,1.0475128205128206,1.1337179487179487,0.18373915894256848,0.14344469943075136,0.15196852740440497,0.41327
40,0.423818,80000.0,33827,0.6098625,0.3237875,1.03215,1.11425,0.18307860584740002,0.1428149111656369,0.1518905016702634,0.41327
41,0.446143,82000.0,36511,0.6288658536585365,0.3338780487804878,1.0597317073170731,1.1551341463414635,0.1756456958176988,0.13412396264139576,0.15006436416422447,0.41327
42,0.445863,84000.0,37378,0.6252380952380953,0.33213095238095236,1.0556666666666668,1.151154761904762,0.17422012948793408,0.13219005832307776,0.14936593718229974,0.40567
43,0.46045,86000.0,39520,0.6368255813953488,0.3382906976744186,1.0732441860465116,1.1774651162790697,0.16918016194331983,0.1263917004048583,0.14817813765182186,0.40567
44,0.463395,88000.0,40681,0.6367159090909091,0.33842045454545455,1.075534090909091,1.18175,0.16700671074948994,0.12389075981416386,0.14761190727858214,0.40567
45,0.476025,90000.0,42757,0.6466111111111111,0.3436888888888889,1.0903333333333334,1.2043444444444444,0.16282713941576818,0.11913838669691512,0.14668943097036743,0.4043
46,0.504329,92000.0,46306,0.6719239130434783,0.3571521739130435,1.1259239130434782,1.2554021739130434,0.15667516088627823,0.11182136224247398,0.14512158251630458,0.4043
47,0.531099,94000.0,49824,0.6957340425531915,0.36967021276595746,1.1597340425531915,1.3039255319148937,0.15127247912652536,0.10573217726396918,0.14390655105973024,0.4043
48,0.556931,96000.0,53359,0.7189166666666666,0.3820104166666667,1.1922604166666666,1.3507395833333333,0.1467981034127326,0.10030172979253735,0.1427500515376975,0.41013
49,0.581586,98000.0,56882,0.7408163265306122,0.3935408163265306,1.2233673469387756,1.3953469387755102,0.1426813403185542,0.09561900073837067,0.14181990787946977,0.41013
50,0.605355,100000.0,60415,0.76216,0.40489,1.25332,1.43842,0.13922039228668376,0.09146735082347099,0.1409252669039146,0.41142
51,0.628152,102000.0,63944,0.7824215686274509,0.41558823529411765,1.2820588235294117,1.4795980392156862,0.13597835606155387,0.08777993244088578,0.14018516201676468,0.41142
52,0.650053,104000.0,67471,0.8020673076923077,0.426,1.3096826923076923,1.5193076923076922,0.13322760889863794,0.08448073987342711,0.13948214788575833,0.41142
53,0.662829,106000.0,70120,0.8129622641509434,0.43139622641509434,1.3266037735849057,1.5431981132075472,0.13151739874500856,0.08250142612664005,0.13946092413006275,0.44083
54,0.657363,108000.0,70848,0.8074722222222223,0.4277685185185185,1.3185833333333334,1.5319166666666666,0.1328054426377597,0.08330510388437218,0.13966519873532068,0.44083
55,0.666591,110000.0,73179,0.8260818181818181,0.43817272727272727,1.3284909090909092,1.5475363636363637,0.14413971221251998,0.08529769469383293,0.13538036868500525,0.44083
56,0.68413,112000.0,76470,0.8566785714285714,0.45538392857142856,1.3495178571428572,1.579125,0.15906891591473782,0.08779913691643781,0.12976330587158363,0.6437
57,0.700825,114000.0,79735,0.8859035087719298,0.47169298245614033,1.3696228070175438,1.6089736842105262,0.17263435128864363,0.0900232018561485,0.12465040446478962,0.6437
58,0.716902,116000.0,82995,0.9142844827586207,0.48738793103448275,1.389,1.6377844827586208,0.18510753659859028,0.09207783601421772,0.11994698475811796,0.6461
59,0.732459,118000.0,86258,0.941728813559322,0.5025677966101695,1.4077457627118644,1.6656186440677967,0.19665422337638247,0.0939738922766584,0.11559507523939809,0.6461
60,0.73453,120000.0,87968,0.9481416666666667,0.50525,1.410525,1.6701833333333334,0.1992997453619498,0.09484130592942888,0.11484858130229174,0.6461
61,0.733096,122000.0,89198,0.9485737704918032,0.5045573770491804,1.4065655737704919,1.6634918032786885,0.19953362183008588,0.0945873225857082,0.11387026614946523,0.6461
62,0.723118,124000.0,89488,0.9361935483870968,0.49790322580645163,1.3906129032258066,1.6422258064516129,0.19937868764527086,0.09456016449132845,0.11383649204362596,0.39619
63,0.719711,126000.0,90503,0.9313809523809524,0.49546825396825395,1.3864126984126983,1.6356984126984127,0.19857905262808967,0.09477033910478105,0.11455973835121487,0.39619
64,0.727222,128000.0,92899,0.9456953125,0.5023515625,1.4013671875,1.657125,0.20279012691202272,0.09584602632966986,0.11385483159129807,0.39619
65,0.740591,130000.0,96085,0.9687153846153846,0.5153461538461539,1.4177,1.6808769230769232,0.21231201540302858,0.09749700785762606,0.11024613623354322,0.39619
66,0.753509,132000.0,99265,0.9912045454545455,0.5278787878787878,1.4335,1.7037727272727272,0.22119578904951392,0.09904800282073238,0.10687553518359946,0.64784
67,0.765563,134000.0,102381,1.0126641791044777,0.5397761194029851,1.448455223880597,1.7251940298507462,0.22939803283812427,0.10028227893847491,0.10376925406081207,0.64784
68,0.777793,136000.0,105569,1.033669117647059,0.5516470588235294,1.4633897058823528,1.7468529411764706,0.23726662183027214,0.10164915837035493,0.10078716289819928,0.64784
69,0.785594,138000.0,108196,1.047586956521739,0.5592826086956522,1.4730072463768116,1.7605942028985506,0.2425782838552257,0.10236053088838774,0.09900550852157196,0.53796
70,0.790604,140000.0,110464,1.0580857142857143,0.56315,1.4823,1.7715357142857142,0.24157191483198145,0.10253114136732329,0.09852983777520279,0.53796
71,0.796277,142000.0,112846,1.0651971830985916,0.5662816901408451,1.494330985915493,1.7872323943661972,0.24100101022632614,0.10298105382556759,0.09987948177161796,0.53796
72,0.806517,144000.0,115907,1.0832291666666667,0.5764930555555555,1.5070972222222223,1.8051944444444445,0.2475950546558879,0.10403168057149266,0.09737116826421183,0.53894
73,0.816408,146000.0,118958,1.1007054794520548,0.5863219178082192,1.519472602739726,1.8224863013698631,0.25382067620504717,0.10502025925116427,0.09499991593671717,0.53894
74,0.826038,148000.0,122010,1.1177027027027027,0.5958513513513514,1.531527027027027,1.8393243243243242,0.25973280878616506,0.10595852798950905,0.09274649618883699,0.64543
75,0.835412,150000.0,125062,1.13434,0.6051266666666667,1.54326,1.8556866666666667,0.26535638323391597,0.10685100190305609,0.09060306088180263,0.64543
76,0.844499,152000.0,128108,1.1504605263157894,0.6141447368421052,1.5546447368421052,1.8715723684210526,0.2707012832922222,0.10770599806413339,0.08856589752396415,0.64543
77,0.849609,154000.0,130579,1.1606623376623377,0.6183181818181818,1.5637857142857143,1.8827012987012988,0.2707096853245928,0.10783510365372687,0.08832967016135826,0.46531
78,0.853471,156000.0,132876,1.1637564102564102,0.6194038461538461,1.5726410256410257,1.8927307692307693,0.2685059754959511,0.10746861735753635,0.08963996508022518,0.46531
79,0.861699,158000.0,135877,1.1788544303797468,0.6274746835443038,1.583632911392405,1.9086898734177216,0.27282027127475583,0.1085393407272754,0.0881753350456663,0.46531
80,0.870298,160000.0,138970,1.19376875,0.63593125,1.594175,1.92363125,0.27763546089083974,0.10941929912930848,0.08632798445707707,0.65181
81,0.878486,162000.0,142031,1.2081666666666666,0.644104938271605,1.6043024691358025,1.9378641975308641,0.2822271194316734,0.1101449683519795,0.08457308615724736,0.65181
82,0.88642,164000.0,145083,1.2222073170731707,0.6520487804878049,1.614140243902439,1.9516524390243903,0.28660835521735833,0.11082621671732733,0.08289737598478113,0.65181
83,0.894138,166000.0,148131,1.235867469879518,0.6597590361445783,1.6237228915662651,1.9650843373493976,0.2907966597133618,0.11148240408827322,0.08129290965429248,0.65039
84,0.899585,168000.0,150829,1.2461071428571429,0.6645178571428572,1.632434523809524,1.9765595238095237,0.2919531389852084,0.1117954769971292,0.08091945182955533,0.65039
85,0.903549,170000.0,153297,1.2512,0.6667352941176471,1.6401882352941177,1.9856411764705881,0.2899730588335062,0.11150250820303072,0.08152801424685414,0.65039
86,0.895146,172000.0,153658,1.2394244186046512,0.6605523255813953,1.6265116279069767,1.9673720930232559,0.28994259979955483,0.11163753270249516,0.08140806205989926,0.34279
87,0.887886,174000.0,154184,1.2292873563218392,0.6554310344827586,1.6170114942528735,1.9531206896551725,0.2896474342344212,0.1119052560576973,0.08170108441861672,0.34279
88,0.88715,176000.0,155827,1.2291136363636364,0.6564375,1.6207386363636365,1.9571136363636363,0.2896224659397922,0.11333722653968824,0.08347718944727166,0.34279
89,0.890383,178000.0,158172,1.234185393258427,0.6606797752808988,1.630320224719101,1.9705224719101124,0.2896530359355638,0.11536808031762891,0.08595705940368713,0.34279
90,0.893827,180000.0,160568,1.2399,0.6643833333333333,1.6372111111111112,1.9776,0.2860283493597728,0.11446863634098949,0.08590752827462508,0.34279
91,0.89599,182000.0,162745,1.2421538461538462,0.6656153846153846,1.6431978021978022,1.9833461538461539,0.2829887246920028,0.11341669482933424,0.08658944975268057,0.44522
92,0.895857,184000.0,164509,1.239663043478261,0.6631847826086956,1.6475815217391305,1.9860869565217392,0.2811700271717657,0.11277802430262174,0.0881532317380812,0.44522
93,0.909648,186000.0,168857,1.268043010752688,0.6759838709677419,1.6618333333333333,2.0131774193548386,0.28473205138075414,0.11302463030848588,0.08654660452335408,0.44522
94,0.913972,188000.0,171484,1.272723404255319,0.6771755319148937,1.6700744680851063,2.0235159574468087,0.2817580648923515,0.11278603251615311,0.08709267336894404,0.47806
95,0.921143,190000.0,174668,1.2765947368421053,0.6795736842105263,1.6797947368421053,2.0376473684210525,0.27831657773604784,0.11149724047908031,0.0878924588361921,0.47806
96,0.928952,192000.0,178003,1.281171875,0.6820416666666667,1.6898541666666667,2.052296875,0.274759414167177,0.10997567456728258,0.08862210187468751,0.4007
97,0.936435,194000.0,181306,1.2855463917525773,0.6843659793814433,1.6995103092783506,2.0661340206185566,0.2713699491467464,0.10852922683198571,0.08930206391404587,0.4007
98,0.943152,196000.0,184489,1.2891020408163265,0.6862244897959183,1.7078214285714286,2.078255102040816,0.26818401097084377,0.10718254204857743,0.08997284390939297,0.4007
99,0.951489,198000.0,188019,1.2942373737373738,0.6889191919191919,1.7180353535353536,2.0930454545454547,0.26467005994075066,0.10562762274025497,0.09067168743584425,0.3981
100,0.959624,200000.0,191542,1.29932,0.69158,1.72802,2.107535,0.2613212767956897,0.10414426078875651,0.09133767006713932,0.3981
101,0.967653,202000.0,195076,1.304292079207921,0.6942029702970297,1.737851485148515,2.121767326732673,0.25806865016711433,0.10269330927433411,0.09198466238799237,0.41057
102,0.975485,204000.0,198602,1.3091372549019609,0.6967254901960784,1.7474607843137255,2.1356960784313728,0.25494204489380773,0.1013182143180834,0.09261236039919034,0.41057
103,0.98319,206000.0,202133,1.3139514563106796,0.6992718446601942,1.7569029126213591,2.149373786407767,0.2519281858974042,0.09996388516471828,0.09320101121538789,0.41114
104,0.990688,208000.0,205652,1.3185817307692307,0.7016730769230769,1.7661201923076923,2.1627259615384617,0.24901289557115905,0.09869099255052224,0.0937895084900706,0.41114
105,0.998163,210000.0,209196,1.323247619047619,0.704152380952381,1.775252380952381,2.1759809523809523,0.24619495592649954,0.09742060077630547,0.0943421480334232,0.46821
106,1.003162,212000.0,212246,1.3254716981132075,0.7050283018867924,1.7824764150943395,2.185735849056604,0.24390094512970797,0.09644940305117647,0.09511133307577056,0.46821
107,1.007847,214000.0,215249,1.3351308411214953,0.7101915887850467,1.7886401869158879,2.194789719626168,0.24695585113055113,0.0972687445702419,0.09411890415286482,0.46821
108,1.01291,216000.0,218352,1.3447453703703705,0.7157175925925926,1.7945787037037038,2.2032962962962963,0.2503984392174104,0.09799772843848464,0.09285465670110647,0.58759
109,1.017664,218000.0,221408,1.354059633027523,0.7210458715596331,1.8002477064220184,2.2112798165137613,0.25371260297730885,0.09861883942766296,0.09164077178783062,0.58759
110,1.022322,220000.0,224462,1.3632,0.7262727272727273,1.8058045454545455,2.2190909090909092,0.2569343585996739,0.0992150118951092,0.09046074613965838,0.64519
111,1.026878,222000.0,227512,1.3721396396396397,0.7313693693693694,1.8112522522522523,2.2267117117117117,0.26006100777101865,0.09979693378810787,0.08931397025211857,0.64519
112,1.029832,224000.0,230222,1.3787723214285714,0.7343839285714285,1.8161517857142857,2.233142857142857,0.2611696536386618,0.10014247117999149,0.08897498935809783,0.64519
