IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.112168,2000.0,224,0.1735,0.0895,0.4935,0.376,0.026,0.031,0.017,0.0495,0.039,0.58097
2,0.111139,4000.0,437,0.19475,0.11025,0.53925,0.4825,0.02975,0.0225,0.023,0.06525,0.04275,0.58097
3,0.092169,6000.0,552,0.15883333333333333,0.09,0.4835,0.3878333333333333,0.02266666666666667,0.018833333333333334,0.019833333333333335,0.048666666666666664,0.033166666666666664,0.58097
4,0.101691,8000.0,812,0.1715,0.101625,0.530375,0.41075,0.022375,0.01975,0.021625,0.046,0.032375,0.58097
5,0.103985,10000.0,1028,0.1711,0.1033,0.5188,0.3958,0.0217,0.0207,0.0208,0.0416,0.031,0.58097
6,0.144611,12000.0,1732,0.238,0.14266666666666666,0.5889166666666666,0.4875833333333333,0.0285,0.023583333333333335,0.020833333333333332,0.049916666666666665,0.033666666666666664,1.02711
7,0.180563,14000.0,2523,0.2955714285714286,0.15685714285714286,0.6565,0.5757142857142857,0.02835714285714286,0.031214285714285715,0.0285,0.04971428571428571,0.0425,1.02711
8,0.185018,16000.0,2949,0.290625,0.1576875,0.715125,0.5698125,0.0288125,0.030875,0.0298125,0.0480625,0.041,1.02711
9,0.172853,18000.0,3092,0.2697222222222222,0.14572222222222223,0.6749444444444445,0.5313333333333333,0.0265,0.0295,0.02761111111111111,0.044444444444444446,0.03888888888888889,1.02711
10,0.168097,20000.0,3350,0.26295,0.1429,0.6543,0.52195,0.0259,0.02865,0.0279,0.04375,0.03775,1.02711
11,0.183768,22000.0,4035,0.2952727272727273,0.15968181818181817,0.7068636363636364,0.5875454545454546,0.02859090909090909,0.03481818181818182,0.03145454545454546,0.04645454545454546,0.04431818181818182,1.02711
12,0.236547,24000.0,5666,0.36554166666666665,0.19470833333333334,0.8148333333333333,0.7295833333333334,0.034583333333333334,0.041666666666666664,0.04158333333333333,0.05541666666666667,0.051958333333333336,1.02711
13,0.247023,26000.0,6410,0.3786923076923077,0.20615384615384616,0.8227692307692308,0.7549615384615385,0.03669230769230769,0.04196153846153846,0.04373076923076923,0.05738461538461539,0.051923076923076926,1.02711
14,0.237708,28000.0,6633,0.3650357142857143,0.19960714285714284,0.8039642857142857,0.7298214285714286,0.03564285714285714,0.041428571428571426,0.04228571428571429,0.05525,0.05114285714285714,1.02711
15,0.262896,30000.0,7864,0.38863333333333333,0.2131,0.8478333333333333,0.7739,0.03813333333333333,0.041133333333333334,0.047733333333333336,0.0564,0.0501,1.02711
16,0.258572,32000.0,8258,0.38153125,0.207625,0.8318125,0.75725,0.03746875,0.04184375,0.046625,0.0549375,0.05103125,1.02711
17,0.248784,34000.0,8442,0.3673529411764706,0.20058823529411765,0.8106176470588236,0.7315294117647059,0.03641176470588235,0.040852941176470585,0.04523529411764706,0.053,0.04958823529411765,1.02711
18,0.255557,36000.0,9163,0.3780833333333333,0.20705555555555555,0.8278333333333333,0.7560555555555556,0.03852777777777778,0.043583333333333335,0.04641666666666667,0.05605555555555555,0.05297222222222222,1.02711
19,0.250389,38000.0,9496,0.3728157894736842,0.20344736842105263,0.8434473684210526,0.7353421052631579,0.03844736842105263,0.042868421052631576,0.044131578947368424,0.055210526315789474,0.05186842105263158,0.24583
20,0.245218,40000.0,9768,0.364025,0.200275,0.827775,0.719425,0.037925,0.041975,0.04255,0.054175,0.050675,0.24583
21,0.236229,42000.0,9902,0.3522857142857143,0.19397619047619047,0.8065476190476191,0.6967857142857142,0.03678571428571428,0.0409047619047619,0.04114285714285714,0.052642857142857144,0.04938095238095238,0.24583
22,0.234592,44000.0,10296,0.3494318181818182,0.19311363636363638,0.8016136363636364,0.6936818181818182,0.036727272727272726,0.040568181818181816,0.04093181818181818,0.05286363636363636,0.04895454545454545,0.24583
23,0.232482,46000.0,10673,0.3463913043478261,0.1924782608695652,0.794804347826087,0.6902391304347826,0.03721739130434783,0.04067391304347826,0.040891304347826084,0.05326086956521739,0.048891304347826084,0.24583
24,0.23722,48000.0,11351,0.35154166666666664,0.19627083333333334,0.7978958333333334,0.7011041666666666,0.03833333333333333,0.04164583333333333,0.0418125,0.0545,0.049645833333333333,0.24583
25,0.233042,50000.0,11626,0.34662,0.19394,0.78718,0.69274,0.03808,0.04112,0.04134,0.0541,0.04902,0.24583
26,0.229569,52000.0,11899,0.34351923076923074,0.1926923076923077,0.7782692307692308,0.6856153846153846,0.038384615384615385,0.040769230769230766,0.040596153846153844,0.05467307692307692,0.04865384615384615,0.24583
27,0.226668,54000.0,12207,0.34244444444444444,0.1913888888888889,0.7688703703703703,0.6737037037037037,0.03887037037037037,0.03955555555555555,0.03911111111111111,0.05487037037037037,0.04714814814814815,0.24583
28,0.223501,56000.0,12468,0.3373035714285714,0.1891607142857143,0.7534642857142857,0.6592857142857143,0.039214285714285715,0.03830357142857143,0.037714285714285714,0.05475,0.045625,0.24583
29,0.220967,58000.0,12790,0.33420689655172414,0.18812068965517242,0.7413103448275862,0.6483103448275862,0.039844827586206895,0.037206896551724135,0.03641379310344828,0.05493103448275862,0.04431034482758621,0.24583
30,0.22705,60000.0,13596,0.3463833333333333,0.19588333333333333,0.7537166666666667,0.6683166666666667,0.04278333333333333,0.037866666666666667,0.036366666666666665,0.05898333333333333,0.045566666666666665,0.24583
31,0.257915,62000.0,15959,0.3960161290322581,0.2279516129032258,0.8025161290322581,0.7413387096774193,0.0542258064516129,0.04008064516129032,0.03698387096774194,0.07212903225806451,0.04785483870967742,0.24583
32,0.302146,64000.0,19299,0.461953125,0.2695625,0.859765625,0.834203125,0.070125,0.0441875,0.03846875,0.08825,0.0519375,0.27891
33,0.339947,66000.0,22392,0.5170757575757575,0.3048030303030303,0.9082121212121212,0.9093939393939394,0.08377272727272728,0.04722727272727273,0.039424242424242424,0.10156060606060606,0.054757575757575755,0.301
34,0.383452,68000.0,26023,0.5807058823529412,0.34511764705882353,0.9623529411764706,0.9983676470588235,0.09913235294117648,0.051220588235294115,0.041205882352941176,0.11630882352941177,0.05851470588235294,0.31065
35,0.425617,70000.0,29734,0.6429142857142857,0.3847285714285714,1.0134571428571428,1.0833142857142857,0.11434285714285715,0.0546,0.04217142857142857,0.13134285714285715,0.0617,0.31323
36,0.460818,72000.0,33113,0.6945972222222222,0.41744444444444445,1.0582083333333334,1.15525,0.12669444444444444,0.057916666666666665,0.043722222222222225,0.14331944444444444,0.06491666666666666,0.30788
37,0.504841,74000.0,37284,0.7583378378378378,0.4579189189189189,1.109810810810811,1.2438513513513514,0.14244594594594595,0.06159459459459459,0.045054054054054056,0.15847297297297297,0.06835135135135136,0.31776
38,0.542604,76000.0,41156,0.8134342105263158,0.4928421052631579,1.155078947368421,1.319921052631579,0.15592105263157896,0.06493421052631579,0.04621052631578947,0.17155263157894737,0.07146052631578947,0.31555
39,0.575284,78000.0,44783,0.8611538461538462,0.5228076923076923,1.1958333333333333,1.387076923076923,0.16742307692307692,0.06824358974358974,0.047705128205128206,0.18261538461538462,0.07461538461538461,0.31555
40,0.614972,80000.0,49100,0.9193125,0.559625,1.242175,1.4683625,0.1813625,0.0717875,0.04915,0.1963,0.078,0.31626
