IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.103655,2000.0,207,0.204,0.1065,0.5525,0.501,0.0225,0.034,0.016,0.073,0.0525,1.1188
2,0.126569,4000.0,494,0.24925,0.13775,0.7105,0.65775,0.02975,0.02475,0.02825,0.09875,0.05075,1.1188
3,0.125482,6000.0,749,0.23833333333333334,0.13716666666666666,0.6693333333333333,0.6035,0.027,0.024,0.028166666666666666,0.07933333333333334,0.046,1.1188
4,0.113087,8000.0,903,0.209,0.12325,0.604625,0.516625,0.024,0.023125,0.02425,0.064125,0.03975,1.1188
5,0.111897,10000.0,1108,0.1976,0.1176,0.5632,0.4763,0.0227,0.0232,0.0224,0.0555,0.0365,1.1188
6,0.105537,12000.0,1256,0.18883333333333333,0.11291666666666667,0.5485,0.45908333333333334,0.02125,0.023166666666666665,0.020833333333333332,0.05275,0.036166666666666666,1.1188
7,0.128963,14000.0,1802,0.22107142857142856,0.108,0.5872857142857143,0.4943571428571429,0.0185,0.03521428571428571,0.02557142857142857,0.0485,0.04764285714285714,0.75836
8,0.136076,16000.0,2173,0.2274375,0.1090625,0.58825,0.496875,0.018875,0.036875,0.026875,0.0465,0.048875,0.75836
9,0.149402,18000.0,2684,0.24683333333333332,0.12211111111111111,0.6133888888888889,0.5386111111111112,0.022222222222222223,0.03705555555555556,0.029222222222222222,0.049444444444444444,0.050944444444444445,0.75836
10,0.179801,20000.0,3589,0.2906,0.15185,0.676,0.6256,0.02765,0.0403,0.03445,0.05655,0.0542,0.75836
11,0.181432,22000.0,3973,0.28759090909090906,0.15254545454545454,0.678,0.6166363636363636,0.028136363636363636,0.038636363636363635,0.034545454545454546,0.05495454545454546,0.05159090909090909,0.75836
12,0.176705,24000.0,4219,0.28258333333333335,0.15145833333333333,0.6677083333333333,0.6057916666666666,0.027625,0.0385,0.0335,0.05325,0.050916666666666666,0.75836
13,0.166056,26000.0,4309,0.26934615384615385,0.14446153846153847,0.6531923076923077,0.58,0.026346153846153846,0.03669230769230769,0.031846153846153843,0.051423076923076926,0.04888461538461539,0.75836
14,0.169769,28000.0,4734,0.27167857142857144,0.14625,0.6579642857142857,0.5861071428571428,0.027464285714285715,0.03717857142857143,0.032535714285714286,0.05171428571428571,0.049357142857142856,0.75836
15,0.163288,30000.0,4889,0.2599,0.1396,0.6366666666666667,0.5646,0.026766666666666668,0.0358,0.031066666666666666,0.05,0.04716666666666667,0.75836
16,0.160378,32000.0,5122,0.24971875,0.13321875,0.62478125,0.55484375,0.02740625,0.03475,0.0299375,0.049875,0.04590625,0.75836
17,0.163941,34000.0,5563,0.25258823529411767,0.13523529411764706,0.6385588235294117,0.5685882352941176,0.02914705882352941,0.03558823529411765,0.030323529411764708,0.05170588235294118,0.046294117647058826,0.75836
18,0.162412,36000.0,5828,0.25344444444444447,0.13472222222222222,0.6326944444444444,0.5658611111111111,0.029,0.035416666666666666,0.029555555555555557,0.051527777777777777,0.04747222222222222,0.75836
19,0.158062,38000.0,5979,0.24571052631578946,0.1306578947368421,0.6167368421052631,0.5483421052631579,0.028210526315789474,0.03455263157894737,0.028473684210526314,0.049710526315789476,0.046026315789473686,0.75836
20,0.166048,40000.0,6617,0.2567,0.138675,0.6292,0.568275,0.029875,0.035275,0.029675,0.05165,0.046575,0.27176
21,0.166619,42000.0,6978,0.2590952380952381,0.14,0.6333809523809524,0.577,0.03019047619047619,0.034428571428571426,0.030119047619047618,0.05235714285714286,0.04645238095238095,0.27176
22,0.206385,44000.0,9063,0.31670454545454546,0.17204545454545456,0.7093181818181818,0.6893181818181818,0.038454545454545457,0.04240909090909091,0.03659090909090909,0.061681818181818185,0.056045454545454544,0.27176
23,0.223789,46000.0,10267,0.338804347826087,0.18563043478260868,0.7408913043478261,0.7365,0.042,0.045108695652173916,0.0398695652173913,0.06515217391304348,0.059369565217391305,0.27176
