IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.105158,2000.0,210,0.178,0.0885,0.5175,0.4255,0.024,0.031,0.0145,0.0605,0.0465,0.76857
2,0.1142,4000.0,456,0.18975,0.10725,0.5705,0.48075,0.03075,0.02475,0.02375,0.06275,0.04275,0.76857
3,0.10536,6000.0,631,0.18083333333333335,0.10416666666666667,0.5491666666666667,0.44483333333333336,0.025,0.021666666666666667,0.023,0.051333333333333335,0.036833333333333336,0.56052
4,0.108932,8000.0,861,0.175625,0.105125,0.55475,0.4255,0.022875,0.022,0.0225,0.0445,0.033875,0.56052
5,0.109914,10000.0,1092,0.1775,0.1077,0.5387,0.4095,0.0229,0.023,0.0215,0.0411,0.0328,0.49452
6,0.1654,12000.0,1981,0.27116666666666667,0.16358333333333333,0.636,0.564,0.03183333333333333,0.026,0.022833333333333334,0.05425,0.0375,0.49452
7,0.188363,14000.0,2632,0.304,0.16221428571428573,0.6847142857142857,0.5983571428571428,0.028857142857142856,0.032785714285714286,0.03014285714285714,0.048785714285714286,0.04485714285714286,0.49452
8,0.187426,16000.0,2993,0.2918125,0.1594375,0.717625,0.5801875,0.029125,0.0318125,0.030375,0.046875,0.0425,0.49452
9,0.174852,18000.0,3133,0.27111111111111114,0.14777777777777779,0.6715555555555556,0.5397777777777778,0.026833333333333334,0.03,0.028166666666666666,0.04377777777777778,0.03994444444444444,0.26905
10,0.170512,20000.0,3400,0.26215,0.1447,0.66205,0.52635,0.0268,0.02895,0.02835,0.04295,0.03815,0.26905
11,0.200483,22000.0,4402,0.3169090909090909,0.17331818181818182,0.7416818181818182,0.6347272727272727,0.03068181818181818,0.036954545454545455,0.03513636363636364,0.048590909090909094,0.047363636363636365,0.26905
12,0.24999,24000.0,5984,0.3825,0.20725,0.839875,0.7677083333333333,0.036833333333333336,0.043958333333333335,0.044083333333333335,0.058208333333333334,0.05470833333333333,0.33623
13,0.251352,26000.0,6505,0.3821538461538462,0.2098076923076923,0.8355384615384616,0.7682692307692308,0.03746153846153846,0.042576923076923075,0.0445,0.05838461538461538,0.05269230769230769,0.33623
14,0.242727,28000.0,6783,0.37210714285714286,0.20464285714285715,0.8189642857142857,0.7519642857142858,0.03635714285714286,0.042,0.04332142857142857,0.05646428571428572,0.05210714285714286,0.33623
15,0.238636,30000.0,7145,0.3652666666666667,0.20176666666666668,0.8035,0.7389666666666667,0.036066666666666664,0.0409,0.04253333333333333,0.05583333333333333,0.050666666666666665,0.31693
16,0.242758,32000.0,7743,0.36771875,0.2035,0.80978125,0.746375,0.03809375,0.04171875,0.0435,0.05759375,0.05115625,0.31693
17,0.24902,34000.0,8450,0.3773235294117647,0.20555882352941177,0.817735294117647,0.7645,0.03961764705882353,0.044323529411764706,0.04532352941176471,0.058970588235294115,0.05388235294117647,0.31377
18,0.278549,36000.0,10008,0.4166111111111111,0.22166666666666668,0.8639722222222223,0.83775,0.04536111111111111,0.05216666666666667,0.050722222222222224,0.06469444444444444,0.06141666666666667,0.31377
19,0.279684,38000.0,10607,0.41739473684210526,0.22192105263157894,0.8612368421052632,0.8402105263157895,0.04571052631578947,0.05297368421052632,0.050605263157894737,0.06505263157894736,0.06236842105263158,0.34146
20,0.271046,40000.0,10815,0.403375,0.21485,0.8422,0.813675,0.0444,0.0515,0.049325,0.062975,0.0607,0.33823
21,0.26309,42000.0,11009,0.3912857142857143,0.20942857142857144,0.8203333333333334,0.7903571428571429,0.044071428571428574,0.050166666666666665,0.04792857142857143,0.06209523809523809,0.059,0.33823
22,0.254794,44000.0,11174,0.38013636363636366,0.20375,0.8047727272727273,0.768090909090909,0.04284090909090909,0.048590909090909094,0.04640909090909091,0.060681818181818184,0.057227272727272724,0.33823
23,0.253788,46000.0,11642,0.37865217391304345,0.2041086956521739,0.802695652173913,0.769,0.042934782608695654,0.0483695652173913,0.04645652173913044,0.06108695652173913,0.05684782608695652,0.28852
24,0.258804,48000.0,12398,0.38614583333333335,0.20879166666666665,0.8046875,0.7802291666666666,0.0446875,0.050895833333333335,0.0478125,0.06247916666666667,0.059145833333333335,0.28852
25,0.257991,50000.0,12874,0.38934,0.20886,0.80934,0.78136,0.04394,0.0532,0.04742,0.06138,0.0614,0.28852
26,0.256629,52000.0,13318,0.3860769230769231,0.20807692307692308,0.8050576923076923,0.7751538461538462,0.04403846153846154,0.05276923076923077,0.04732692307692308,0.06126923076923077,0.06076923076923077,0.28852
27,0.25278,54000.0,13615,0.3809074074074074,0.2053148148148148,0.7923888888888889,0.7619259259259259,0.04374074074074074,0.05237037037037037,0.04590740740740741,0.06061111111111111,0.06024074074074074,0.26577
28,0.247992,56000.0,13860,0.3732142857142857,0.201125,0.7769285714285714,0.7451428571428571,0.04278571428571429,0.05164285714285714,0.044642857142857144,0.05905357142857143,0.05923214285714286,0.26577
29,0.25891,58000.0,14987,0.38660344827586207,0.2076896551724138,0.7955172413793103,0.7700689655172414,0.04396551724137931,0.052103448275862066,0.04667241379310345,0.06037931034482759,0.05975862068965517,0.26577
30,0.281408,60000.0,16851,0.4149,0.2225,0.8345166666666667,0.8262333333333334,0.046566666666666666,0.053983333333333335,0.050916666666666666,0.06343333333333333,0.06183333333333333,0.26076
31,0.309633,62000.0,19144,0.452,0.2413225806451613,0.8814032258064516,0.8956612903225807,0.05108064516129032,0.05758064516129032,0.05570967741935484,0.06824193548387097,0.06570967741935484,0.27344
32,0.304538,64000.0,19446,0.443234375,0.237578125,0.86725,0.879203125,0.05003125,0.056109375,0.054421875,0.066796875,0.064046875,0.27425
33,0.318086,66000.0,20952,0.4539393939393939,0.2442121212121212,0.8868181818181818,0.9036212121212122,0.050106060606060605,0.05533333333333333,0.05543939393939394,0.06674242424242424,0.06310606060606061,0.29549
34,0.345377,68000.0,23439,0.4789705882352941,0.25883823529411765,0.9280735294117647,0.9554705882352941,0.05129411764705882,0.05507352941176471,0.05794117647058823,0.0676764705882353,0.06264705882352942,0.3066
35,0.34885,70000.0,24371,0.47972857142857145,0.25985714285714284,0.9303857142857143,0.9592142857142857,0.05092857142857143,0.05411428571428571,0.057814285714285714,0.06722857142857143,0.0616,0.30175
36,0.373895,72000.0,26867,0.5023888888888889,0.2730416666666667,0.9679722222222222,1.0060972222222222,0.051930555555555556,0.053875,0.060125,0.06775,0.06113888888888889,0.30025
37,0.379069,74000.0,27995,0.5053243243243243,0.2752027027027027,0.9735135135135136,1.0132567567567567,0.05198648648648649,0.053216216216216215,0.060216216216216215,0.06767567567567567,0.06032432432432432,0.30002
38,0.399161,76000.0,30276,0.52375,0.2860526315789474,1.0045,1.0522236842105264,0.05268421052631579,0.052894736842105265,0.062026315789473686,0.06813157894736842,0.059907894736842104,0.30057
39,0.411339,78000.0,31982,0.5334230769230769,0.2918974358974359,1.0221538461538462,1.074025641025641,0.05296153846153846,0.0525,0.06301282051282052,0.06817948717948719,0.05938461538461538,0.30057
40,0.426898,80000.0,34084,0.5478875,0.3006125,1.04655,1.1045875,0.0535,0.05215,0.0644125,0.06855,0.0588875,0.28832
41,0.447059,82000.0,36586,0.5661829268292683,0.3112439024390244,1.0768048780487804,1.1423048780487806,0.054329268292682927,0.05198780487804878,0.06629268292682927,0.06898780487804879,0.0585609756097561,0.3129
42,0.466248,84000.0,39087,0.5836309523809524,0.32135714285714284,1.105595238095238,1.178095238095238,0.055107142857142855,0.051833333333333335,0.06808333333333333,0.0694047619047619,0.058238095238095235,0.31388
43,0.484591,86000.0,41592,0.6003953488372094,0.3311162790697674,1.1331162790697675,1.212546511627907,0.05590697674418604,0.05172093023255814,0.06981395348837209,0.06987209302325581,0.05797674418604651,0.31668
44,0.50201,88000.0,44089,0.6163068181818182,0.34036363636363637,1.15925,1.2451704545454545,0.05659090909090909,0.05156818181818182,0.07143181818181818,0.07026136363636364,0.05769318181818182,0.30394
45,0.518665,90000.0,46587,0.6314,0.3491222222222222,1.1842555555555556,1.2762888888888888,0.05726666666666667,0.05143333333333333,0.0729888888888889,0.07061111111111111,0.057411111111111114,0.30394
46,0.534727,92000.0,49097,0.6460652173913044,0.3576413043478261,1.2083152173913043,1.306358695652174,0.057967391304347825,0.05133695652173913,0.0745,0.07102173913043479,0.05718478260869565,0.30361
47,0.549998,94000.0,51597,0.6599893617021276,0.3657340425531915,1.2312340425531916,1.334936170212766,0.058574468085106385,0.05121276595744681,0.07593617021276595,0.07136170212765958,0.05693617021276596,0.31557
48,0.564571,96000.0,54091,0.6732395833333333,0.37342708333333335,1.253125,1.3622395833333334,0.05915625,0.051083333333333335,0.07728125,0.07166666666666667,0.0566875,0.32083
49,0.578703,98000.0,56600,0.6861734693877551,0.3809183673469388,1.274295918367347,1.3887142857142858,0.05977551020408163,0.051,0.07861224489795918,0.07203061224489796,0.05648979591836735,0.31496
50,0.592188,100000.0,59101,0.6984,0.38805,1.29453,1.41396,0.06032,0.05089,0.07988,0.07233,0.05627,0.32072
51,0.605077,102000.0,61595,0.7101862745098039,0.39488235294117646,1.313892156862745,1.438127450980392,0.06082352941176471,0.05077450980392157,0.08107843137254903,0.07261764705882352,0.056058823529411765,0.32354
52,0.617633,104000.0,64106,0.7216153846153847,0.4015096153846154,1.3326923076923076,1.4615384615384615,0.061375,0.050701923076923075,0.08225961538461539,0.07292307692307692,0.055875,0.33188
53,0.629602,106000.0,66605,0.7324622641509434,0.4078301886792453,1.3506603773584906,1.4839716981132076,0.06185849056603773,0.05060377358490566,0.08337735849056603,0.07318867924528302,0.05567924528301887,0.33309
54,0.641017,108000.0,69092,0.743712962962963,0.4142037037037037,1.3682314814814815,1.5056944444444444,0.062231481481481485,0.0507037037037037,0.085,0.07340740740740741,0.05569444444444444,0.34066
55,0.646615,110000.0,70986,0.7501181818181818,0.4179,1.3769181818181817,1.5161727272727272,0.06244545454545455,0.05090909090909091,0.08639090909090909,0.0735909090909091,0.055863636363636365,0.35757
56,0.642449,112000.0,71811,0.7479196428571429,0.41675,1.378830357142857,1.5087946428571428,0.0636875,0.05176785714285714,0.08661607142857143,0.0746875,0.05663392857142857,0.34044
57,0.63799,114000.0,72586,0.7450789473684211,0.41514912280701755,1.3800263157894737,1.5002719298245615,0.06474561403508772,0.052491228070175436,0.0867280701754386,0.07555263157894737,0.057271929824561404,0.34044
58,0.637787,116000.0,73836,0.7484913793103448,0.4170431034482759,1.3860689655172413,1.502853448275862,0.06707758620689655,0.05417241379310345,0.08781896551724137,0.07769827586206897,0.05887068965517241,0.34044
59,0.646822,118000.0,76173,0.7640932203389831,0.4254661016949153,1.4023813559322034,1.5284237288135594,0.07035593220338983,0.05751694915254237,0.09007627118644068,0.08100847457627118,0.06229661016949153,0.33611
60,0.657877,120000.0,78788,0.7793916666666667,0.432925,1.4204333333333334,1.5559833333333333,0.0723,0.05934166666666667,0.09254166666666666,0.08293333333333333,0.06416666666666666,0.3482
61,0.669144,122000.0,81473,0.7943196721311475,0.44066393442622953,1.4383032786885246,1.5837295081967213,0.0743688524590164,0.06090983606557377,0.0945,0.08513934426229508,0.06574590163934427,0.35655
62,0.67861,124000.0,83980,0.8025806451612904,0.44549193548387095,1.4520322580645162,1.601024193548387,0.07461290322580645,0.06068548387096774,0.09526612903225806,0.08520967741935484,0.06544354838709678,0.35539
63,0.687767,126000.0,86486,0.8105079365079365,0.45026190476190475,1.4653888888888889,1.6182777777777777,0.07497619047619047,0.06053968253968254,0.09602380952380953,0.0855079365079365,0.06523809523809523,0.35386
64,0.696575,128000.0,88984,0.8181484375,0.454734375,1.4781875,1.6343359375,0.0751640625,0.0603046875,0.096734375,0.08553125,0.0649296875,0.36343
65,0.70492,130000.0,91457,0.8255692307692307,0.4591769230769231,1.4907307692307692,1.6507153846153846,0.07554615384615385,0.0602,0.0974076923076923,0.08593076923076923,0.0648076923076923,0.37102
66,0.71141,132000.0,93719,0.8309090909090909,0.4623787878787879,1.5004242424242424,1.6630681818181818,0.07565151515151515,0.05999242424242424,0.09792424242424243,0.08598484848484848,0.06456818181818182,0.37284
67,0.719486,134000.0,96219,0.837910447761194,0.4665,1.512141791044776,1.6777985074626867,0.07582089552238806,0.05977611940298507,0.09857462686567164,0.086,0.06428358208955223,0.37588
68,0.727339,136000.0,98721,0.8446985294117647,0.47048529411764706,1.5235294117647058,1.692125,0.07598529411764705,0.059566176470588234,0.09921323529411764,0.08601470588235294,0.06400735294117647,0.36905
69,0.73495,138000.0,101221,0.8513260869565218,0.4743623188405797,1.534572463768116,1.7060289855072464,0.07616666666666666,0.0593768115942029,0.09982608695652175,0.08605072463768115,0.0637536231884058,0.37072
70,0.742351,140000.0,103722,0.8577642857142858,0.4781285714285714,1.5453071428571428,1.7194928571428572,0.07632142857142857,0.05917857142857143,0.10042142857142858,0.08606428571428572,0.06349285714285714,0.36552
71,0.749557,142000.0,106225,0.863943661971831,0.48176760563380283,1.5557535211267606,1.7326338028169015,0.07647183098591549,0.058985915492957744,0.10100704225352113,0.08607746478873239,0.06323943661971831,0.36552
72,0.756543,144000.0,108725,0.8700486111111111,0.4853472222222222,1.5658888888888889,1.7454375,0.0766388888888889,0.0588125,0.10157638888888888,0.08611111111111111,0.06300694444444445,0.36472
73,0.76335,146000.0,111227,0.8759383561643835,0.4887876712328767,1.5757602739726027,1.7578219178082193,0.07678082191780822,0.05863013698630137,0.10212328767123288,0.08612328767123288,0.06276712328767123,0.36529
74,0.769954,148000.0,113726,0.8816554054054054,0.4921554054054054,1.5853445945945945,1.7698445945945946,0.07691891891891892,0.058452702702702704,0.10265540540540541,0.08613513513513514,0.06253378378378378,0.36529
75,0.776401,150000.0,116228,0.8873066666666667,0.49546,1.5946933333333333,1.78166,0.07707333333333333,0.058293333333333336,0.10318,0.08618,0.06232666666666667,0.35539
76,0.782672,152000.0,118729,0.8926973684210526,0.498625,1.6037894736842104,1.7930921052631579,0.07720394736842105,0.058125,0.1036842105263158,0.08617763157894737,0.06209868421052631,0.35561
77,0.788774,154000.0,121229,0.8979935064935065,0.5017207792207792,1.612642857142857,1.804181818181818,0.07733116883116883,0.05796103896103896,0.10417532467532467,0.08618831168831169,0.06188311688311688,0.35927
78,0.794751,156000.0,123734,0.9032115384615385,0.5047948717948718,1.621301282051282,1.8151089743589743,0.07747435897435898,0.05781410256410256,0.10466666666666667,0.08623076923076924,0.06169230769230769,0.35873
79,0.800539,158000.0,126233,0.9081898734177215,0.5077151898734177,1.6297025316455696,1.8256898734177216,0.07759493670886076,0.05765822784810127,0.10513291139240506,0.08622784810126582,0.06148101265822785,0.36221
80,0.806195,160000.0,128734,0.9130875,0.510575,1.63790625,1.8359375,0.0777125,0.05750625,0.1055875,0.0862375,0.06128125,0.36473
81,0.811637,162000.0,131223,0.9186358024691358,0.513679012345679,1.646283950617284,1.8464506172839505,0.0777469135802469,0.05754938271604938,0.10654938271604938,0.08630864197530864,0.06130246913580247,0.36766
82,0.815113,164000.0,133412,0.9245060975609756,0.5169268292682927,1.6532195121951219,1.8552743902439024,0.07900609756097561,0.05854878048780488,0.10785365853658536,0.08752439024390243,0.06229268292682927,0.36404
83,0.817576,166000.0,135447,0.9317650602409638,0.5209698795180723,1.659831325301205,1.865210843373494,0.08198192771084338,0.06079518072289156,0.10949397590361445,0.09037349397590362,0.06446987951807229,0.35901
84,0.821722,168000.0,137774,0.9401130952380953,0.5253452380952381,1.6674345238095238,1.8774523809523809,0.08414285714285714,0.06311309523809523,0.11085119047619048,0.09249404761904761,0.06679166666666667,0.35935
85,0.827945,170000.0,140470,0.9493058823529412,0.5296352941176471,1.6772588235294117,1.8930411764705883,0.08544117647058823,0.06438235294117647,0.11242941176470589,0.0937529411764706,0.0680235294117647,0.36086
86,0.834455,172000.0,143240,0.9583081395348837,0.5342441860465116,1.6873720930232559,1.9093895348837209,0.08680232558139535,0.06548837209302326,0.11365116279069767,0.09516279069767442,0.06913953488372093,0.36291
87,0.839271,174000.0,145742,0.9622356321839081,0.5365804597701149,1.6942586206896553,1.9179367816091955,0.08680459770114943,0.06525862068965517,0.11397701149425288,0.09506896551724138,0.06886781609195403,0.36775
88,0.843996,176000.0,148247,0.9661079545454545,0.5389659090909091,1.7010284090909091,1.926596590909091,0.08692613636363636,0.06510227272727273,0.11430113636363637,0.09514772727272727,0.06868181818181818,0.37044
89,0.848586,178000.0,150747,0.9698539325842697,0.5411966292134831,1.7075955056179775,1.934696629213483,0.08692696629213482,0.0648820224719101,0.1146067415730337,0.0950561797752809,0.06842134831460674,0.37278
90,0.85309,180000.0,153250,0.9736277777777778,0.5434944444444444,1.7140944444444444,1.9429944444444445,0.08707777777777778,0.06476111111111112,0.11491666666666667,0.09517222222222223,0.06827222222222222,0.37623
91,0.857122,182000.0,155685,0.9768681318681318,0.5454615384615384,1.7201813186813186,1.9506263736263736,0.0871043956043956,0.0645989010989011,0.11520329670329671,0.09517032967032966,0.0680934065934066,0.37654
