IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.103909,2000.0,202,0.137,0.0725,0.4095,0.295,0.023,0.03,0.014,0.033,0.033,0.73859
2,0.109741,4000.0,436,0.15925,0.094,0.50325,0.398,0.02975,0.0225,0.02275,0.048,0.034,0.73859
3,0.103384,6000.0,611,0.15216666666666667,0.09233333333333334,0.4861666666666667,0.37833333333333335,0.024166666666666666,0.02033333333333333,0.02266666666666667,0.04133333333333333,0.0305,0.73859
4,0.105408,8000.0,840,0.16125,0.0995,0.509,0.3905,0.022625,0.02175,0.022,0.038375,0.031125,0.73859
5,0.10572,10000.0,1048,0.1621,0.1008,0.4952,0.3766,0.0219,0.0221,0.021,0.0355,0.0298,0.59356
6,0.149954,12000.0,1796,0.23833333333333334,0.14641666666666667,0.57375,0.493,0.029416666666666667,0.024166666666666666,0.02125,0.0465,0.03283333333333333,0.59356
7,0.171975,14000.0,2403,0.2742857142857143,0.15285714285714286,0.6122857142857143,0.5451428571428572,0.02835714285714286,0.02907142857142857,0.026357142857142857,0.04528571428571428,0.038785714285714284,0.52372
8,0.181932,16000.0,2898,0.2806875,0.154625,0.6854375,0.549375,0.028125,0.0304375,0.0291875,0.0438125,0.03925,0.52372
9,0.171934,18000.0,3079,0.2622777777777778,0.14377777777777778,0.6532777777777777,0.5185555555555555,0.026444444444444444,0.0295,0.027555555555555555,0.04094444444444444,0.03766666666666667,0.6158
10,0.167311,20000.0,3332,0.25475,0.1401,0.6339,0.50885,0.0257,0.0285,0.02775,0.03985,0.03635,0.70132
11,0.185271,22000.0,4068,0.2944090909090909,0.16145454545454546,0.6879545454545455,0.5868181818181818,0.02890909090909091,0.03509090909090909,0.031863636363636365,0.044227272727272726,0.04386363636363636,0.68579
12,0.236547,24000.0,5666,0.3615833333333333,0.19466666666666665,0.7949166666666667,0.7230416666666667,0.034583333333333334,0.041666666666666664,0.04158333333333333,0.052875,0.051166666666666666,0.77654
13,0.249565,26000.0,6451,0.37726923076923075,0.207,0.8072307692307692,0.7537307692307692,0.036884615384615384,0.04196153846153846,0.044076923076923076,0.05565384615384615,0.05130769230769231,0.77654
14,0.238826,28000.0,6674,0.36428571428571427,0.20110714285714285,0.7912857142857143,0.7305357142857143,0.035821428571428574,0.041428571428571426,0.04260714285714286,0.05382142857142857,0.05067857142857143,0.77654
15,0.237367,30000.0,7107,0.3601666666666667,0.1971,0.7824666666666666,0.7186333333333333,0.0357,0.0426,0.041933333333333336,0.05243333333333333,0.052,0.77654
16,0.228289,32000.0,7279,0.34596875,0.19015625,0.7616875,0.69196875,0.034625,0.04146875,0.04053125,0.0505,0.05040625,0.77654
17,0.22125,34000.0,7488,0.33408823529411763,0.18402941176470589,0.7410882352941176,0.6699411764705883,0.034029411764705884,0.040705882352941175,0.03911764705882353,0.04941176470588235,0.04929411764705882,0.77654
18,0.211989,36000.0,7614,0.3220277777777778,0.17808333333333334,0.7194444444444444,0.6486944444444445,0.033,0.03911111111111111,0.03772222222222222,0.04855555555555555,0.04738888888888889,0.45549
19,0.212287,38000.0,8051,0.3223421052631579,0.17939473684210527,0.7249736842105263,0.6530526315789473,0.033710526315789476,0.03926315789473684,0.03784210526315789,0.04978947368421053,0.04752631578947369,0.45549
20,0.212319,40000.0,8476,0.320775,0.178425,0.724225,0.652725,0.034725,0.03945,0.03795,0.051425,0.0478,0.45549
21,0.247585,42000.0,10378,0.3602142857142857,0.19985714285714284,0.7884285714285715,0.7364285714285714,0.044547619047619044,0.045309523809523806,0.04516666666666667,0.06240476190476191,0.054857142857142854,0.45549
22,0.291804,44000.0,12814,0.4079318181818182,0.22595454545454546,0.8569545454545454,0.8337272727272728,0.05677272727272727,0.053,0.053704545454545456,0.07529545454545454,0.06318181818181819,0.45549
23,0.333072,46000.0,15291,0.45082608695652177,0.24945652173913044,0.917804347826087,0.9168260869565218,0.06797826086956522,0.06095652173913044,0.06126086956521739,0.08589130434782609,0.07097826086956521,0.45549
24,0.36587,48000.0,17527,0.48520833333333335,0.2681875,0.9691458333333334,0.9837916666666666,0.07708333333333334,0.0673125,0.06741666666666667,0.09464583333333333,0.07727083333333333,0.47315
25,0.401695,50000.0,20045,0.5219,0.28842,1.02134,1.05612,0.08688,0.07364,0.07422,0.10424,0.08354,0.51709
26,0.435016,52000.0,22576,0.5570961538461539,0.30738461538461537,1.0710192307692308,1.1265384615384615,0.09573076923076923,0.07986538461538462,0.08046153846153846,0.11307692307692307,0.09007692307692308,0.53648
27,0.46121,54000.0,24856,0.5845370370370371,0.3223888888888889,1.1114629629629629,1.1794259259259259,0.10303703703703704,0.085,0.08535185185185185,0.12007407407407407,0.09512962962962963,0.53648
28,0.489882,56000.0,27379,0.6137142857142858,0.338375,1.1533392857142857,1.2379107142857142,0.11064285714285714,0.089875,0.09094642857142857,0.12751785714285716,0.10001785714285714,0.52492
29,0.513725,58000.0,29737,0.6379827586206896,0.3516551724137931,1.1888965517241379,1.2849137931034482,0.11722413793103448,0.09405172413793103,0.09560344827586206,0.13379310344827586,0.10405172413793104,0.52604
30,0.538568,60000.0,32250,0.6636333333333333,0.36566666666666664,1.2248166666666667,1.3347,0.12395,0.09875,0.10021666666666666,0.14026666666666668,0.1086,0.53387
31,0.559077,62000.0,34594,0.687,0.37820967741935485,1.2586290322580644,1.3826935483870968,0.12964516129032258,0.10275806451612904,0.10404838709677419,0.14635483870967742,0.11314516129032258,0.53387
32,0.578742,64000.0,36966,0.706984375,0.38915625,1.288125,1.422,0.134953125,0.106234375,0.107765625,0.151484375,0.116578125,0.51734
33,0.598111,66000.0,39397,0.7271969696969697,0.4003030303030303,1.317030303030303,1.4617575757575758,0.14033333333333334,0.10957575757575758,0.11166666666666666,0.1568030303030303,0.11992424242424242,0.54506
34,0.616076,68000.0,41810,0.7448676470588236,0.4098676470588235,1.3428382352941177,1.495485294117647,0.14505882352941177,0.11297058823529411,0.11498529411764706,0.16108823529411764,0.12304411764705882,0.54712
35,0.634388,70000.0,44319,0.7642571428571429,0.4204857142857143,1.3700857142857144,1.5340285714285715,0.15014285714285713,0.11635714285714285,0.11852857142857143,0.16615714285714286,0.12657142857142858,0.54712
36,0.651182,72000.0,46792,0.7815555555555556,0.43004166666666666,1.3948194444444444,1.5680138888888888,0.15477777777777776,0.11933333333333333,0.12166666666666667,0.170625,0.1295,0.54712
37,0.666297,74000.0,49208,0.7969864864864865,0.43839189189189187,1.4170135135135136,1.5976486486486488,0.15877027027027027,0.12231081081081081,0.12437837837837838,0.1743918918918919,0.13235135135135134,0.51628
