IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.104016,2000.0,202,0.137,0.075,0.4145,0.3025,0.023,0.03,0.014,0.034,0.0335,0.05702
2,0.109442,4000.0,437,0.1535,0.09,0.5005,0.3885,0.02975,0.0225,0.023,0.04875,0.03175,0.05702
3,0.10536,6000.0,631,0.162,0.09583333333333334,0.5168333333333334,0.3948333333333333,0.025,0.021666666666666667,0.023,0.0435,0.03166666666666667,0.05702
4,0.106396,8000.0,840,0.1575,0.0975,0.534,0.383625,0.022625,0.02175,0.022,0.038875,0.029625,0.05702
5,0.105559,10000.0,1050,0.1601,0.1004,0.5179,0.3733,0.0219,0.0221,0.021,0.0357,0.0286,0.05702
6,0.155632,12000.0,1864,0.24716666666666667,0.15133333333333332,0.61125,0.523,0.029916666666666668,0.024666666666666667,0.021916666666666668,0.04841666666666666,0.03375,0.05702
7,0.170543,14000.0,2383,0.2685,0.1495,0.6278571428571429,0.5467142857142857,0.028285714285714286,0.028857142857142856,0.026071428571428572,0.04535714285714286,0.0375,0.05702
8,0.181322,16000.0,2891,0.2769375,0.1519375,0.6958125,0.552375,0.0280625,0.0304375,0.029125,0.043875,0.0383125,0.05702
9,0.171922,18000.0,3086,0.2592777777777778,0.1416111111111111,0.6649444444444444,0.5212777777777777,0.026444444444444444,0.0295,0.027555555555555555,0.04066666666666666,0.03666666666666667,0.05702
10,0.164579,20000.0,3272,0.2477,0.1358,0.643,0.503,0.02525,0.02795,0.02685,0.0393,0.035,0.05702
11,0.173157,22000.0,3802,0.26790909090909093,0.1450909090909091,0.6739545454545455,0.5392272727272728,0.026590909090909092,0.03290909090909091,0.028681818181818183,0.041,0.040590909090909094,0.05702
12,0.22469,24000.0,5382,0.33916666666666667,0.185625,0.7808333333333334,0.6890416666666667,0.033916666666666664,0.03891666666666667,0.038875,0.050625,0.04775,0.05702
13,0.24236,26000.0,6289,0.36730769230769234,0.20073076923076924,0.8143461538461538,0.7438461538461538,0.03611538461538462,0.04180769230769231,0.04303846153846154,0.05492307692307692,0.05038461538461538,0.05702
14,0.235191,28000.0,6559,0.35528571428571426,0.19617857142857142,0.7957857142857143,0.7212857142857143,0.03535714285714286,0.04025,0.04178571428571429,0.05332142857142857,0.04832142857142857,0.05702
15,0.232862,30000.0,6957,0.35236666666666666,0.19283333333333333,0.7845,0.7117666666666667,0.03493333333333333,0.04186666666666667,0.041,0.052033333333333334,0.0503,0.05702
16,0.224238,32000.0,7155,0.33878125,0.1856875,0.763375,0.687,0.033875,0.040875,0.03990625,0.0501875,0.0489375,0.05702
17,0.216633,34000.0,7351,0.3286470588235294,0.18091176470588236,0.7425,0.6664705882352941,0.033352941176470585,0.04023529411764706,0.038588235294117645,0.049029411764705884,0.048058823529411765,0.05702
18,0.216154,36000.0,7745,0.32613888888888887,0.18030555555555555,0.7413888888888889,0.6635277777777778,0.033416666666666664,0.03988888888888889,0.03858333333333333,0.04933333333333333,0.04752777777777778,0.05702
19,0.216717,38000.0,8219,0.33013157894736844,0.1811578947368421,0.7365,0.6639736842105263,0.03594736842105263,0.04142105263157895,0.0375,0.05236842105263158,0.04936842105263158,0.05702
20,0.296936,40000.0,11854,0.453075,0.2541,0.8415,0.842025,0.046825,0.04515,0.041075,0.06655,0.05505,0.17199
21,0.375456,42000.0,15738,0.572047619047619,0.3225,0.9453333333333334,1.0147619047619048,0.059571428571428574,0.051476190476190474,0.04442857142857143,0.08183333333333333,0.06316666666666666,0.22881
22,0.447772,44000.0,19663,0.6808409090909091,0.38529545454545455,1.037568181818182,1.1669318181818182,0.07143181818181818,0.05731818181818182,0.047568181818181815,0.09454545454545454,0.07006818181818182,0.25943
23,0.520029,46000.0,23874,0.7883913043478261,0.4478913043478261,1.1255652173913044,1.3123260869565216,0.08267391304347826,0.06265217391304348,0.050869565217391305,0.10504347826086957,0.07484782608695652,0.28412
24,0.583613,48000.0,27958,0.8834583333333333,0.5029583333333333,1.2037083333333334,1.4409375,0.09302083333333333,0.067625,0.05372916666666667,0.114875,0.0795625,0.28345
25,0.640949,50000.0,31984,0.96884,0.55236,1.27432,1.5559,0.10226,0.07212,0.05626,0.12348,0.08358,0.30488
26,0.697131,52000.0,36179,1.0529038461538462,0.5999423076923077,1.3424038461538461,1.6688846153846153,0.11219230769230769,0.07780769230769231,0.05869230769230769,0.13288461538461538,0.08888461538461538,0.30148
27,0.749225,54000.0,40378,1.1302592592592593,0.6444444444444445,1.4059629629629629,1.7737037037037038,0.12103703703703704,0.08237037037037037,0.06101851851851852,0.14107407407407407,0.09277777777777778,0.31117
28,0.79776,56000.0,44586,1.2025892857142857,0.6860535714285714,1.4648214285714285,1.8710892857142858,0.12919642857142857,0.08628571428571429,0.06316071428571429,0.14871428571428572,0.09635714285714286,0.32196
29,0.842705,58000.0,48780,1.2694310344827586,0.7245,1.519344827586207,1.9611896551724137,0.13667241379310344,0.08993103448275862,0.06515517241379311,0.15579310344827585,0.09960344827586207,0.32515
30,0.884855,60000.0,52986,1.3321333333333334,0.7610166666666667,1.5706166666666668,2.045933333333333,0.14323333333333332,0.09301666666666666,0.06705,0.16183333333333333,0.10236666666666666,0.31903
31,0.924011,62000.0,57175,1.3903064516129031,0.7948870967741936,1.6184193548387096,2.124741935483871,0.1492258064516129,0.09582258064516129,0.06883870967741935,0.16741935483870968,0.10487096774193548,0.31998
32,0.960954,64000.0,61379,1.445359375,0.827046875,1.66340625,2.1993125,0.154875,0.098453125,0.07053125,0.172703125,0.10721875,0.31829
33,0.995552,66000.0,65576,1.4968181818181818,0.8570454545454546,1.7055909090909092,2.2691212121212123,0.16016666666666668,0.10093939393939394,0.07212121212121213,0.17765151515151514,0.10943939393939393,0.34268
34,1.02866,68000.0,69810,1.5463088235294118,0.8858823529411765,1.7456323529411766,2.33575,0.16516176470588234,0.10326470588235294,0.07361764705882352,0.18230882352941177,0.11151470588235295,0.33322
