IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.102538,2000.0,202,0.1665,0.086,0.4655,0.3815,0.023,0.03,0.014,0.0525,0.0425,0.18678
2,0.111139,4000.0,436,0.198,0.11125,0.54625,0.5125,0.02975,0.0225,0.02275,0.07125,0.046,0.18678
3,0.10202,6000.0,611,0.18433333333333332,0.10733333333333334,0.5151666666666667,0.46316666666666667,0.024166666666666666,0.02033333333333333,0.02266666666666667,0.057833333333333334,0.03966666666666667,0.46694
4,0.106199,8000.0,848,0.183625,0.110125,0.54925,0.453625,0.022625,0.022,0.022125,0.050125,0.0375,0.46694
5,0.106428,10000.0,1053,0.1793,0.1085,0.5181,0.4296,0.0219,0.0223,0.021,0.0454,0.0348,0.46694
6,0.165408,12000.0,1971,0.2791666666666667,0.16808333333333333,0.6335833333333334,0.6009166666666667,0.03166666666666667,0.025916666666666668,0.02275,0.058916666666666666,0.03991666666666667,0.209
7,0.17176,14000.0,2400,0.2877142857142857,0.15828571428571428,0.6414285714285715,0.5945714285714285,0.028285714285714286,0.029142857142857144,0.026357142857142857,0.05242857142857143,0.04278571428571429,0.209
8,0.181299,16000.0,2891,0.2920625,0.1593125,0.7129375,0.592,0.0280625,0.0304375,0.029125,0.0500625,0.0426875,0.23573
9,0.17146,18000.0,3076,0.2718888888888889,0.14766666666666667,0.6792222222222222,0.5556666666666666,0.02638888888888889,0.0295,0.0275,0.04622222222222222,0.04066666666666666,0.23573
10,0.162567,20000.0,3245,0.25745,0.1401,0.6521,0.53035,0.0251,0.02795,0.02665,0.04405,0.0385,0.20752
11,0.171854,22000.0,3771,0.2755909090909091,0.14827272727272728,0.6722272727272727,0.5605,0.026318181818181817,0.03268181818181818,0.028272727272727272,0.044954545454545455,0.043454545454545454,0.20752
12,0.213209,24000.0,5107,0.334625,0.18133333333333335,0.7656666666666667,0.6852916666666666,0.032125,0.037083333333333336,0.03716666666666667,0.05225,0.048666666666666664,0.22758
13,0.241881,26000.0,6271,0.3745769230769231,0.20411538461538462,0.8175,0.7628076923076923,0.036076923076923076,0.0415,0.042846153846153846,0.05826923076923077,0.05292307692307692,0.23767
14,0.23695,28000.0,6600,0.3636785714285714,0.19907142857142857,0.8005357142857142,0.7396785714285714,0.03528571428571429,0.04017857142857143,0.04185714285714286,0.05607142857142857,0.051,0.21688
15,0.226312,30000.0,6776,0.3508,0.19153333333333333,0.7793666666666667,0.7165,0.03443333333333334,0.03956666666666667,0.04013333333333333,0.0547,0.05043333333333333,0.22926
16,0.227197,32000.0,7256,0.355625,0.1805,0.79425,0.70278125,0.03928125,0.04409375,0.03778125,0.05853125,0.05459375,0.26246
17,0.22904,34000.0,7772,0.37026470588235294,0.17076470588235293,0.8169411764705883,0.6933823529411764,0.04402941176470588,0.048558823529411765,0.03573529411764706,0.06276470588235294,0.05905882352941177,0.31234
18,0.230093,36000.0,8267,0.37625,0.1648888888888889,0.8293611111111111,0.6903055555555555,0.04780555555555555,0.051833333333333335,0.034388888888888886,0.06583333333333333,0.06188888888888889,0.31852
19,0.223889,38000.0,8491,0.39813157894736845,0.16042105263157894,0.8491842105263158,0.6792368421052631,0.0495,0.05247368421052632,0.03342105263157895,0.06657894736842106,0.062,0.31852
20,0.218081,40000.0,8706,0.4164,0.15615,0.8666,0.66805,0.050875,0.0529,0.032525,0.067,0.0619,0.30798
21,0.231311,42000.0,9691,0.44647619047619047,0.15945238095238096,0.9026428571428572,0.707047619047619,0.05078571428571429,0.05838095238095238,0.03776190476190476,0.06642857142857143,0.06704761904761905,0.34919
22,0.227741,44000.0,9991,0.4370227272727273,0.15879545454545455,0.8886590909090909,0.6971363636363637,0.04970454545454545,0.056818181818181816,0.03711363636363636,0.06522727272727273,0.06531818181818182,0.34919
23,0.221748,46000.0,10180,0.4246086956521739,0.15558695652173912,0.8739130434782608,0.681695652173913,0.04813043478260869,0.05521739130434783,0.036304347826086956,0.06360869565217392,0.06371739130434782,0.30953
24,0.220162,48000.0,10542,0.41875,0.155875,0.8645416666666667,0.6774583333333334,0.047625,0.0544375,0.036166666666666666,0.0633125,0.063,0.30953
25,0.228032,50000.0,11379,0.42816,0.16524,0.8777,0.70774,0.0486,0.0544,0.03794,0.06514,0.06308,0.30953
26,0.252963,52000.0,13128,0.46542307692307694,0.181,0.9214230769230769,0.7791153846153847,0.05096153846153846,0.060173076923076926,0.045,0.06826923076923076,0.06969230769230769,0.32118
27,0.283543,54000.0,15281,0.5048518518518519,0.20503703703703705,0.9750925925925926,0.863574074074074,0.05638888888888889,0.06492592592592593,0.051333333333333335,0.07501851851851851,0.07451851851851851,0.31471
28,0.315679,56000.0,17643,0.5477857142857143,0.22564285714285715,1.0275714285714286,0.9446964285714285,0.060321428571428574,0.07139285714285715,0.05896428571428571,0.07942857142857143,0.08105357142857143,0.31477
29,0.347689,58000.0,20126,0.5918620689655173,0.24572413793103448,1.079206896551724,1.0249137931034482,0.06398275862068965,0.07772413793103448,0.06705172413793103,0.08336206896551725,0.08744827586206896,0.31938
30,0.376614,60000.0,22552,0.6313333333333333,0.26298333333333335,1.1259666666666666,1.0969833333333334,0.06748333333333334,0.08395,0.07426666666666666,0.08688333333333334,0.09376666666666666,0.31772
31,0.404625,62000.0,25037,0.6695645161290322,0.27974193548387094,1.1709193548387096,1.167516129032258,0.07090322580645161,0.08980645161290322,0.08120967741935484,0.09040322580645162,0.09987096774193549,0.31842
32,0.428334,64000.0,27359,0.70225,0.29415625,1.21059375,1.227921875,0.073265625,0.094453125,0.0871875,0.09303125,0.104578125,0.32356
33,0.451396,66000.0,29733,0.7343484848484848,0.3085,1.249030303030303,1.2880454545454545,0.07598484848484849,0.09921212121212121,0.09318181818181819,0.09621212121212121,0.10948484848484849,0.32204
34,0.473248,68000.0,32117,0.7623823529411765,0.3252205882352941,1.2843970588235294,1.3443529411764705,0.07998529411764706,0.1025,0.09761764705882353,0.10070588235294117,0.1129264705882353,0.32125
35,0.494782,70000.0,34566,0.7903142857142857,0.3393285714285714,1.3184285714285715,1.3976714285714287,0.08294285714285714,0.1064,0.10245714285714286,0.10385714285714286,0.1171,0.30774
36,0.515983,72000.0,37077,0.8193472222222222,0.3516111111111111,1.3522777777777777,1.4497638888888889,0.08529166666666667,0.11102777777777778,0.10804166666666666,0.10611111111111111,0.1216388888888889,0.31811
37,0.533695,74000.0,39415,0.8449594594594595,0.36255405405405405,1.3827162162162163,1.4971216216216217,0.08702702702702703,0.11477027027027027,0.1127027027027027,0.1080945945945946,0.12558108108108107,0.31621
38,0.551385,76000.0,41822,0.8685657894736842,0.3742894736842105,1.4117368421052632,1.5430657894736841,0.08921052631578948,0.11814473684210526,0.11676315789473685,0.11065789473684211,0.12948684210526315,0.30866
39,0.567474,78000.0,44175,0.8914102564102564,0.3843846153846154,1.4394487179487179,1.586474358974359,0.09087179487179488,0.12137179487179488,0.12098717948717949,0.11257692307692307,0.1330128205128205,0.31207
40,0.584073,80000.0,46633,0.913925,0.394225,1.46595,1.6278125,0.0929125,0.125075,0.1251375,0.114675,0.1366625,0.31569
41,0.60001,82000.0,49103,0.9359024390243903,0.40420731707317076,1.4916951219512196,1.6679268292682927,0.09453658536585366,0.12815853658536586,0.1291219512195122,0.1163048780487805,0.13964634146341465,0.32003
42,0.615378,84000.0,51589,0.9571309523809524,0.41382142857142856,1.5159880952380953,1.7057380952380952,0.09651190476190476,0.13153571428571428,0.13289285714285715,0.11816666666666667,0.14298809523809525,0.33371
43,0.629834,86000.0,54058,0.9768488372093024,0.422953488372093,1.5392558139534884,1.7419418604651162,0.0982093023255814,0.13436046511627908,0.13648837209302325,0.11987209302325581,0.1456046511627907,0.3335
44,0.643211,88000.0,56490,0.9929431818181819,0.43222727272727274,1.5593863636363636,1.7722272727272728,0.10045454545454545,0.13652272727272727,0.13929545454545456,0.12192045454545454,0.14763636363636365,0.33276
45,0.657296,90000.0,59039,1.0112444444444444,0.44205555555555553,1.5804444444444445,1.8052444444444444,0.10265555555555556,0.13903333333333334,0.1423888888888889,0.12401111111111111,0.15007777777777778,0.33677
46,0.670802,92000.0,61591,1.0284021739130436,0.4505108695652174,1.6008260869565218,1.836641304347826,0.10454347826086957,0.14167391304347826,0.14554347826086955,0.1257717391304348,0.15258695652173912,0.33457
47,0.685299,94000.0,64290,1.0468404255319148,0.4586914893617021,1.6214787234042554,1.868787234042553,0.10624468085106382,0.14468085106382977,0.14897872340425533,0.12719148936170213,0.15548936170212765,0.3305
48,0.697481,96000.0,66825,1.06253125,0.46557291666666667,1.6400520833333334,1.896875,0.10773958333333333,0.14734375,0.15203125,0.12846875,0.15805208333333334,0.33253
49,0.708716,98000.0,69316,1.0768673469387755,0.4718673469387755,1.657469387755102,1.9230918367346939,0.10887755102040816,0.14966326530612245,0.15486734693877552,0.12941836734693876,0.16025510204081633,0.33474
50,0.719612,100000.0,71818,1.09121,0.4782,1.67465,1.95019,0.11023,0.15205,0.15753,0.13084,0.16279,0.33919
51,0.731338,102000.0,74448,1.1067156862745098,0.4851764705882353,1.6921666666666666,1.9776764705882353,0.11168627450980392,0.15449019607843137,0.16036274509803922,0.13219607843137254,0.16518627450980392,0.34085
52,0.741601,104000.0,76973,1.1207115384615385,0.4913461538461538,1.7081442307692307,2.002067307692308,0.11298076923076923,0.15641346153846153,0.16296153846153846,0.13329807692307694,0.1670096153846154,0.34131
53,0.751931,106000.0,79546,1.1339905660377358,0.49789622641509435,1.723877358490566,2.0267169811320755,0.11443396226415094,0.1584811320754717,0.1654056603773585,0.13466981132075473,0.16902830188679246,0.34341
54,0.760152,108000.0,81933,1.143212962962963,0.5044537037037037,1.7364074074074074,2.0458425925925927,0.11623148148148148,0.15940740740740741,0.1668148148148148,0.13649074074074075,0.16987037037037037,0.34342
55,0.769323,110000.0,84457,1.1553454545454545,0.5102545454545454,1.7508545454545454,2.068509090909091,0.1173090909090909,0.16124545454545455,0.16895454545454547,0.1376090909090909,0.17165454545454545,0.34006
56,0.777995,112000.0,86962,1.1672857142857143,0.5155892857142857,1.7644821428571429,2.0894642857142856,0.11833928571428572,0.16304464285714285,0.17110714285714285,0.13849107142857142,0.173375,0.34397
57,0.786979,114000.0,89537,1.1797543859649122,0.5210175438596492,1.7783070175438596,2.1116140350877193,0.11930701754385965,0.16473684210526315,0.1733421052631579,0.13946491228070176,0.17501754385964913,0.33859
58,0.79504,116000.0,92041,1.191008620689655,0.5257931034482759,1.7912155172413793,2.131456896551724,0.1201551724137931,0.1662155172413793,0.17542241379310344,0.14035344827586207,0.17648275862068966,0.34689
59,0.801766,118000.0,94420,1.2008474576271186,0.5300423728813559,1.8027203389830508,2.1491525423728812,0.12092372881355933,0.1676949152542373,0.17722033898305084,0.1412457627118644,0.1780593220338983,0.35038
60,0.809612,120000.0,96960,1.2112583333333333,0.5344333333333333,1.815025,2.1684,0.121775,0.16936666666666667,0.17923333333333333,0.14211666666666667,0.179575,0.35072
61,0.816783,122000.0,99449,1.2214344262295083,0.5389426229508196,1.826827868852459,2.1869262295081966,0.12252459016393442,0.1707704918032787,0.18108196721311476,0.14297540983606558,0.181,0.34983
62,0.823641,124000.0,101928,1.2306693548387098,0.5429112903225807,1.8378870967741936,2.2041532258064516,0.12324193548387097,0.1723548387096774,0.1827983870967742,0.1437016129032258,0.18258064516129033,0.35088
63,0.82974,126000.0,104339,1.2387698412698414,0.5462380952380952,1.8477301587301587,2.2186507936507938,0.12397619047619048,0.1739126984126984,0.18436507936507937,0.14436507936507936,0.18405555555555556,0.34821
64,0.836761,128000.0,106892,1.2478046875,0.5502109375,1.8583203125,2.2349375,0.1248125,0.1753671875,0.1861171875,0.1451328125,0.1854453125,0.34751
65,0.844452,130000.0,109560,1.2574461538461539,0.5544692307692307,1.8692307692307693,2.2517846153846155,0.12576923076923077,0.17686153846153846,0.1880153846153846,0.14593076923076923,0.18687692307692308,0.35043
66,0.851667,132000.0,112196,1.2665378787878787,0.5588939393939394,1.8795681818181817,2.267977272727273,0.12681060606060607,0.17831060606060606,0.18968939393939394,0.14681060606060606,0.18825,0.35125
67,0.857993,134000.0,114742,1.274313432835821,0.5642014925373134,1.8889402985074626,2.283216417910448,0.12814925373134328,0.17907462686567163,0.19077611940298508,0.1481641791044776,0.18900746268656715,0.34884
68,0.864502,136000.0,117338,1.2820514705882353,0.5686691176470589,1.8984411764705882,2.298375,0.12920588235294117,0.18008088235294117,0.19208823529411764,0.14921323529411765,0.19001470588235295,0.35135
69,0.87088,138000.0,119942,1.2903188405797101,0.572304347826087,1.9078043478260869,2.3130072463768117,0.1298695652173913,0.18146376811594203,0.19360144927536233,0.14980434782608695,0.19133333333333333,0.34472
70,0.87674,140000.0,122499,1.2982857142857143,0.5756071428571429,1.9167214285714285,2.326635714285714,0.1306142857142857,0.1825642857142857,0.19517857142857142,0.15046428571428572,0.1924357142857143,0.35071
71,0.88108,142000.0,124864,1.3052605633802816,0.5783943661971831,1.9246971830985915,2.3390352112676056,0.1309507042253521,0.1833450704225352,0.1963943661971831,0.15095070422535212,0.19321830985915492,0.35055
72,0.885807,144000.0,127302,1.311798611111111,0.5811875,1.9325902777777777,2.3511041666666666,0.1314375,0.18445833333333334,0.19758333333333333,0.15147916666666666,0.1943125,0.35018
73,0.891812,146000.0,129945,1.32,0.5847054794520548,1.9415,2.3654657534246577,0.13205479452054794,0.18558904109589042,0.1990890410958904,0.15204794520547946,0.19544520547945204,0.34976
74,0.896402,148000.0,132403,1.326527027027027,0.5876689189189189,1.9490608108108107,2.377168918918919,0.13255405405405404,0.18642567567567567,0.20022972972972972,0.15262837837837837,0.1963445945945946,0.35155
75,0.901677,150000.0,134982,1.33318,0.5904533333333334,1.9568333333333334,2.38892,0.13311333333333333,0.18760666666666667,0.20148,0.15305333333333335,0.19738,0.3528
76,0.90688,152000.0,137571,1.339921052631579,0.5934473684210526,1.9647039473684211,2.401315789473684,0.1337828947368421,0.18873026315789473,0.20276973684210525,0.15369736842105264,0.19849342105263157,0.35501
77,0.911993,154000.0,140167,1.3466428571428573,0.5963766233766233,1.9721428571428572,2.412792207792208,0.13443506493506494,0.1899025974025974,0.203987012987013,0.1542077922077922,0.19960389610389612,0.35428
78,0.916263,156000.0,142652,1.3525897435897436,0.599051282051282,1.979224358974359,2.4236346153846156,0.13492307692307692,0.19075641025641027,0.2051602564102564,0.15466666666666667,0.2003974358974359,0.35351
79,0.921216,158000.0,145262,1.3588164556962026,0.6020822784810127,1.9864936708860759,2.434886075949367,0.13564556962025318,0.19181012658227847,0.2063354430379747,0.15527215189873417,0.20139240506329115,0.35468
80,0.926297,160000.0,147912,1.3649375,0.6053875,1.99356875,2.44615,0.13650625,0.19271875,0.2074125,0.1560375,0.20225625,0.3577
81,0.930806,162000.0,150490,1.370216049382716,0.6091234567901235,2.0000925925925928,2.4569506172839506,0.1375,0.1932222222222222,0.20814814814814814,0.15705555555555556,0.20276543209876544,0.35623
82,0.935732,164000.0,153154,1.3761768292682928,0.6120914634146342,2.006890243902439,2.4676219512195123,0.13821341463414635,0.19416463414634147,0.20925,0.1576829268292683,0.20370731707317072,0.35782
83,0.940665,166000.0,155839,1.38244578313253,0.6148373493975904,2.013698795180723,2.4782289156626507,0.1387710843373494,0.19520481927710842,0.21039156626506025,0.15813855421686748,0.204710843373494,0.35817
84,0.944467,168000.0,158354,1.3872916666666666,0.6168095238095238,2.0195,2.4868511904761905,0.13925595238095237,0.19607738095238095,0.2113809523809524,0.15851785714285715,0.20555357142857142,0.35335
85,0.948892,170000.0,160990,1.3932176470588236,0.6193705882352941,2.026094117647059,2.497435294117647,0.1396470588235294,0.19694705882352942,0.21246470588235294,0.15891764705882352,0.2063705882352941,0.35479
86,0.952562,172000.0,163514,1.3984825581395348,0.6215406976744186,2.0320988372093023,2.507011627906977,0.14011627906976745,0.19781395348837208,0.21345348837209302,0.1593953488372093,0.2072674418604651,0.35342
87,0.955935,174000.0,166001,1.403051724137931,0.6234885057471264,2.0376149425287355,2.5155229885057473,0.14038505747126437,0.19843103448275862,0.21435057471264368,0.15970689655172413,0.20789080459770115,0.35512
88,0.958958,176000.0,168440,1.4073522727272727,0.6252215909090909,2.0429829545454545,2.523681818181818,0.14069318181818183,0.1990909090909091,0.21518181818181817,0.16008522727272728,0.2085625,0.35388
89,0.962881,178000.0,171051,1.4121629213483147,0.6272471910112359,2.0486348314606744,2.5323988764044945,0.1411067415730337,0.19998314606741574,0.21613483146067416,0.16039887640449438,0.2093932584269663,0.35299
90,0.965932,180000.0,173521,1.4166388888888888,0.6290111111111111,2.0535722222222224,2.54,0.1415,0.20074444444444445,0.2169611111111111,0.16078333333333333,0.21025,0.35558
91,0.969279,182000.0,176057,1.4213571428571428,0.6310384615384615,2.059098901098901,2.5486593406593405,0.1417912087912088,0.20134615384615384,0.21783516483516482,0.1611098901098901,0.21084615384615385,0.35557
92,0.97244,184000.0,178572,1.4255326086956521,0.632875,2.0641521739130435,2.5565815217391306,0.1421358695652174,0.20209239130434783,0.21861413043478262,0.1614673913043478,0.2116141304347826,0.35783
93,0.975898,186000.0,181155,1.4301720430107527,0.6349086021505377,2.069274193548387,2.564489247311828,0.14256989247311827,0.20286559139784946,0.21948387096774194,0.16181182795698926,0.21231720430107526,0.3566
94,0.978926,188000.0,183671,1.4342234042553192,0.636686170212766,2.0741861702127657,2.572063829787234,0.14294148936170212,0.20351063829787233,0.220281914893617,0.16211702127659575,0.2129255319148936,0.35663
95,0.981959,190000.0,186200,1.437678947368421,0.6394631578947368,2.078678947368421,2.5793736842105264,0.1437,0.2038,0.2207157894736842,0.16287894736842104,0.21318947368421054,0.35543
96,0.985429,192000.0,188825,1.4418854166666666,0.6418697916666667,2.0835,2.586953125,0.14432291666666666,0.20441145833333332,0.22144791666666666,0.16340625,0.21375,0.35828
97,0.988585,194000.0,191403,1.4456494845360826,0.6439381443298969,2.0879072164948456,2.5936494845360825,0.1447938144329897,0.20497422680412372,0.2220979381443299,0.16380927835051545,0.21429896907216495,0.3598
98,0.991018,196000.0,193852,1.449045918367347,0.6454132653061224,2.092244897959184,2.6002908163265306,0.1450357142857143,0.20539285714285715,0.22270408163265307,0.16413775510204082,0.21476020408163266,0.35773
