IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.098446,2000.0,190,0.1315,0.0695,0.394,0.2735,0.0215,0.029,0.0125,0.032,0.032,0.23328
2,0.111026,4000.0,436,0.16575,0.0985,0.5135,0.4075,0.02975,0.0225,0.02275,0.04975,0.03425,0.23328
3,0.100852,6000.0,604,0.1515,0.09216666666666666,0.49783333333333335,0.37316666666666665,0.024,0.02033333333333333,0.022166666666666668,0.0415,0.0295,0.23328
4,0.105983,8000.0,845,0.164,0.101,0.527625,0.391125,0.022625,0.02175,0.022,0.039,0.0305,0.23328
5,0.104999,10000.0,1048,0.1636,0.1015,0.5099,0.3746,0.0219,0.0221,0.021,0.0356,0.0293,0.23328
6,0.140018,12000.0,1677,0.22033333333333333,0.13575,0.5649166666666666,0.45358333333333334,0.027916666666666666,0.022916666666666665,0.02033333333333333,0.04325,0.030416666666666668,0.23328
7,0.173549,14000.0,2425,0.2775,0.15414285714285714,0.6338571428571429,0.5435714285714286,0.02835714285714286,0.0295,0.026785714285714284,0.04478571428571428,0.038857142857142854,0.23328
8,0.181477,16000.0,2898,0.2815625,0.155375,0.7050625,0.54525,0.028125,0.0304375,0.0291875,0.043375,0.0389375,0.23328
9,0.170908,18000.0,3069,0.26261111111111113,0.14405555555555555,0.6725,0.5132777777777778,0.026333333333333334,0.0295,0.027444444444444445,0.04033333333333333,0.03738888888888889,0.23328
10,0.162817,20000.0,3250,0.25,0.1374,0.6476,0.49195,0.02515,0.02795,0.02665,0.03865,0.0355,0.30431
11,0.171881,22000.0,3774,0.2666818181818182,0.1446818181818182,0.6695454545454546,0.5218181818181818,0.026318181818181817,0.03263636363636364,0.02831818181818182,0.03977272727272727,0.04027272727272727,0.30431
12,0.215672,24000.0,5166,0.3299166666666667,0.18054166666666666,0.766625,0.6581666666666667,0.03283333333333333,0.03725,0.03770833333333334,0.04858333333333333,0.04591666666666667,0.30431
13,0.241551,26000.0,6268,0.36580769230769233,0.20046153846153847,0.8125,0.7290384615384615,0.036076923076923076,0.04165384615384615,0.04288461538461538,0.05361538461538461,0.050076923076923074,0.41601
14,0.235486,28000.0,6575,0.3555,0.19664285714285715,0.7963928571428571,0.7104285714285714,0.03539285714285714,0.040285714285714286,0.04189285714285714,0.05225,0.048214285714285716,0.41601
15,0.232557,30000.0,6963,0.35286666666666666,0.19333333333333333,0.7841666666666667,0.7022,0.034866666666666664,0.04203333333333333,0.040966666666666665,0.05106666666666667,0.05046666666666667,0.36663
16,0.224028,32000.0,7142,0.3375625,0.185375,0.76315625,0.673375,0.03375,0.04096875,0.039625,0.04896875,0.0488125,0.36663
17,0.215395,34000.0,7309,0.3262058823529412,0.1804705882352941,0.7433823529411765,0.6523529411764706,0.03326470588235294,0.03967647058823529,0.038441176470588236,0.04814705882352941,0.04744117647058824,0.41297
18,0.209775,36000.0,7537,0.31783333333333336,0.17616666666666667,0.7321944444444445,0.6405277777777778,0.03233333333333333,0.039,0.03744444444444445,0.04713888888888889,0.0465,0.41297
19,0.209107,38000.0,7912,0.31692105263157894,0.17692105263157895,0.7275263157894737,0.6394736842105263,0.033105263157894735,0.03918421052631579,0.03747368421052632,0.04826315789473684,0.04671052631578947,0.41297
20,0.21609,40000.0,8616,0.32915,0.18505,0.7413,0.667175,0.03535,0.040775,0.039025,0.051225,0.04875,0.41297
21,0.211108,42000.0,8851,0.3231904761904762,0.1779047619047619,0.7295714285714285,0.6523095238095238,0.03595238095238095,0.041023809523809525,0.037547619047619045,0.05192857142857143,0.0495,0.41297
22,0.213376,44000.0,9372,0.3332272727272727,0.17054545454545456,0.7500681818181818,0.6470454545454546,0.039818181818181815,0.044681818181818184,0.035977272727272726,0.055295454545454543,0.05297727272727273,0.41297
23,0.216036,46000.0,9920,0.3451521739130435,0.16384782608695653,0.7706739130434782,0.6427826086956522,0.04365217391304348,0.04830434782608695,0.034543478260869565,0.058456521739130435,0.05623913043478261,0.41297
24,0.218516,48000.0,10470,0.3554583333333333,0.15764583333333335,0.7882916666666666,0.63875,0.04716666666666667,0.051625,0.033229166666666664,0.06125,0.059145833333333335,0.24564
25,0.216629,50000.0,10812,0.34934,0.15508,0.78222,0.63162,0.04754,0.05168,0.03292,0.06116,0.0587,0.24564
26,0.211322,52000.0,10969,0.34028846153846154,0.15176923076923077,0.7661730769230769,0.6183461538461539,0.046288461538461535,0.050173076923076924,0.03230769230769231,0.05986538461538461,0.05723076923076923,0.24564
27,0.21387,54000.0,11514,0.34174074074074073,0.1544074074074074,0.7681481481481481,0.6269259259259259,0.046537037037037036,0.05018518518518519,0.03298148148148148,0.060444444444444446,0.05738888888888889,0.24564
28,0.214962,56000.0,12016,0.3387678571428571,0.15432142857142858,0.7676071428571428,0.6294285714285714,0.046589285714285715,0.049625,0.033107142857142856,0.06073214285714286,0.05664285714285714,0.24564
29,0.230526,58000.0,13346,0.3463965517241379,0.16106896551724137,0.8005517241379311,0.6646206896551724,0.0501551724137931,0.05118965517241379,0.03403448275862069,0.06381034482758621,0.057965517241379313,0.24564
30,0.245069,60000.0,14677,0.35351666666666665,0.16736666666666666,0.8313166666666667,0.6974833333333333,0.0535,0.05265,0.0349,0.06668333333333333,0.0592,0.24564
31,0.260792,62000.0,16139,0.3619193548387097,0.17425806451612902,0.8624032258064516,0.7334838709677419,0.05708064516129032,0.05432258064516129,0.03590322580645161,0.06983870967741936,0.06066129032258064,0.24564
32,0.273308,64000.0,17459,0.36771875,0.17965625,0.88915625,0.76165625,0.059984375,0.05559375,0.03665625,0.07215625,0.061734375,0.28869
33,0.287404,66000.0,18933,0.3756818181818182,0.18609090909090908,0.9167727272727273,0.7940757575757575,0.06318181818181819,0.05707575757575758,0.03754545454545455,0.07516666666666667,0.06303030303030303,0.28303
34,0.300508,68000.0,20396,0.38275,0.19194117647058823,0.9426176470588236,0.8241029411764705,0.0661764705882353,0.058470588235294114,0.03838235294117647,0.07780882352941176,0.06425,0.2788
35,0.312864,70000.0,21859,0.3894142857142857,0.19745714285714286,0.9669857142857143,0.8524142857142857,0.069,0.05978571428571428,0.03917142857142857,0.0803,0.0654,0.2788
36,0.32452,72000.0,23321,0.39570833333333333,0.20266666666666666,0.9899861111111111,0.8791388888888889,0.07165277777777777,0.06102777777777778,0.03991666666666667,0.08265277777777778,0.06648611111111111,0.2612
37,0.337359,74000.0,24917,0.4031756756756757,0.20854054054054055,1.0137162162162163,0.9088918918918919,0.07458108108108108,0.06245945945945946,0.040783783783783785,0.08528378378378379,0.06777027027027027,0.2612
38,0.353044,76000.0,26780,0.41319736842105265,0.21594736842105264,1.0400263157894736,0.9457763157894736,0.0781578947368421,0.06431578947368422,0.04192105263157895,0.08856578947368421,0.06948684210526315,0.25414
39,0.369144,78000.0,28738,0.4236153846153846,0.22355128205128205,1.066423076923077,0.9838461538461538,0.08183333333333333,0.06632051282051282,0.043153846153846154,0.09184615384615384,0.07135897435897436,0.25609
40,0.389837,80000.0,31127,0.438225,0.2337,1.0972875,1.033375,0.086525,0.0689375,0.044775,0.0963,0.07385,0.25949
41,0.403742,82000.0,33043,0.44715853658536586,0.24026829268292682,1.1202073170731708,1.0658658536585366,0.08967073170731707,0.0705,0.04573170731707317,0.09928048780487805,0.07529268292682927,0.26154
42,0.419358,84000.0,35158,0.4576190476190476,0.24773809523809523,1.1447619047619049,1.1030357142857143,0.09320238095238095,0.0724404761904762,0.04692857142857143,0.1025,0.07711904761904761,0.26116
43,0.435948,86000.0,37419,0.4693372093023256,0.25595348837209303,1.1700116279069768,1.1427674418604652,0.09696511627906977,0.07451162790697674,0.0482093023255814,0.10617441860465117,0.07908139534883721,0.25866
