IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.112168,2000.0,224,347,179,987,752,52,62,34.0,99.0,78.0,0.31954
2,0.111139,4000.0,437,779,441,2157,1930,119,90,92.0,261.0,171.0,0.31954
3,0.092169,6000.0,552,953,540,2901,2327,136,113,119.0,292.0,199.0,0.31954
4,0.101691,8000.0,812,1372,813,4243,3286,179,158,173.0,368.0,259.0,0.31954
5,0.103985,10000.0,1028,1711,1033,5188,3958,217,207,208.0,416.0,310.0,0.31954
6,0.144611,12000.0,1732,2856,1712,7067,5851,342,283,250.0,599.0,404.0,0.31954
7,0.180563,14000.0,2523,4138,2196,9191,8060,397,437,399.0,696.0,595.0,0.31954
8,0.185018,16000.0,2949,4650,2523,11442,9117,461,494,477.0,769.0,656.0,0.31954
9,0.172853,18000.0,3092,4855,2623,12149,9564,477,531,497.0,800.0,700.0,0.31954
10,0.168097,20000.0,3350,5259,2858,13086,10439,518,573,558.0,875.0,755.0,0.31954
11,0.183768,22000.0,4035,6496,3513,15551,12926,629,766,692.0,1022.0,975.0,0.31954
12,0.236547,24000.0,5666,8773,4673,19556,17510,830,1000,998.0,1330.0,1247.0,0.31954
13,0.24737,26000.0,6419,9855,5362,21410,19649,955,1091,1139.0,1493.0,1350.0,0.31954
14,0.23803,28000.0,6642,10230,5591,22529,20455,999,1160,1186.0,1548.0,1432.0,0.31954
15,0.263267,30000.0,7873,11663,6392,25441,23223,1145,1234,1434.0,1693.0,1503.0,0.31954
16,0.258885,32000.0,8268,12215,6644,26633,24239,1201,1339,1494.0,1759.0,1633.0,0.31954
17,0.24905,34000.0,8451,12494,6819,27572,24883,1239,1389,1540.0,1803.0,1686.0,0.31954
18,0.256149,36000.0,9185,13608,7453,29829,27206,1392,1570,1673.0,2017.0,1902.0,0.31954
19,0.251312,38000.0,9531,14182,7738,32177,27945,1466,1634,1679.0,2099.0,1967.0,0.31954
20,0.246888,40000.0,9856,14783,8042,34179,28631,1559,1658,1687.0,2197.0,1988.0,0.31954
21,0.252449,42000.0,10564,15814,8682,36788,30079,1770,1720,1702.0,2403.0,2049.0,0.31954
22,0.244187,44000.0,10723,16074,8832,37699,30670,1798,1755,1734.0,2445.0,2096.0,0.31954
23,0.242109,46000.0,11115,16701,9217,39018,32023,1883,1830,1814.0,2582.0,2189.0,0.31954
24,0.239683,48000.0,11482,17483,9626,40371,33229,1996,1894,1855.0,2725.0,2258.0,0.31954
25,0.236448,50000.0,11799,18016,9949,41307,33945,2107,1914,1855.0,2849.0,2281.0,0.31954
26,0.233201,52000.0,12098,18487,10248,42109,34609,2218,1934,1855.0,2973.0,2302.0,0.31954
27,0.229487,54000.0,12354,18908,10509,42835,35204,2306,1954,1855.0,3076.0,2327.0,0.31954
28,0.231244,56000.0,12924,19841,10964,44574,36767,2429,2071,1945.0,3232.0,2455.0,0.31954
29,0.246281,58000.0,14256,22045,12307,47542,40293,2869,2204,2018.0,3796.0,2599.0,0.31954
30,0.268933,60000.0,16104,25214,14133,51644,45339,3488,2449,2139.0,4563.0,2900.0,0.36696
31,0.306107,62000.0,18941,29532,16753,56415,51675,4463,2763,2250.0,5608.0,3222.0,0.36696
32,0.345295,64000.0,22055,34153,19574,61364,58431,5504,3127,2413.0,6668.0,3587.0,0.36696
33,0.387238,66000.0,25507,39240,22712,66586,65778,6682,3487,2546.0,7848.0,3955.0,0.36696
34,0.431887,68000.0,29310,44814,26116,72183,73909,7970,3936,2734.0,9133.0,4401.0,0.4234
35,0.480039,70000.0,33536,51062,29955,78101,82868,9420,4395,2895.0,10591.0,4865.0,0.4234
36,0.525711,72000.0,37776,57293,33803,84049,91849,10863,4846,3074.0,12034.0,5314.0,0.4234
37,0.556037,74000.0,41065,62123,36729,89201,98983,11959,5257,3267.0,13122.0,5731.0,0.4234
38,0.597582,76000.0,45326,68397,40589,95169,108017,13423,5732,3434.0,14586.0,6196.0,0.42078
39,0.637164,78000.0,49600,74687,44458,101141,117054,14885,6194,3605.0,16051.0,6658.0,0.42078
40,0.667965,80000.0,53331,80172,47822,106662,125088,16123,6621,3800.0,17303.0,7086.0,0.42078
41,0.700197,82000.0,57302,86012,51393,112419,133603,17470,7087,3997.0,18637.0,7556.0,0.41785
42,0.732564,84000.0,61413,92094,55132,118226,142280,18883,7531,4150.0,20059.0,8003.0,0.41785
43,0.76438,86000.0,65606,98243,58920,124129,151180,20302,7979,4328.0,21486.0,8445.0,0.41785
44,0.792576,88000.0,69608,104107,62508,129906,159739,21650,8448,4526.0,22820.0,8913.0,0.4188
45,0.816301,90000.0,73321,109555,65837,135423,167690,22910,8886,4714.0,24073.0,9351.0,0.4188
46,0.844942,92000.0,77580,115836,69698,141386,176708,24375,9354,4880.0,25537.0,9818.0,0.4188
47,0.872363,94000.0,81839,122101,73554,147344,185740,25829,9809,5056.0,26999.0,10276.0,0.41917
48,0.892682,96000.0,85527,127541,76883,152838,193695,27050,10245,5252.0,28229.0,10709.0,0.41917
49,0.915209,98000.0,89512,133399,80461,158612,202246,28402,10714,5449.0,29576.0,11181.0,0.41917
50,0.93945,100000.0,93758,139628,84295,164558,211202,29861,11178,5616.0,31023.0,11642.0,0.41921
51,0.960962,102000.0,97823,145615,87984,170321,219825,31240,11605,5780.0,32415.0,12070.0,0.41921
52,0.981078,104000.0,101829,151509,91590,176107,228416,32588,12072,5978.0,33766.0,12538.0,0.41882
53,0.998157,106000.0,105594,157030,94964,181669,236461,33866,12516,6166.0,35029.0,12981.0,0.41882
54,1.019121,108000.0,109846,163303,98823,187622,245472,35329,12981,6331.0,36493.0,13448.0,0.41882
55,1.039224,110000.0,114087,169540,102665,193565,254459,36773,13432,6508.0,37939.0,13899.0,0.41933
56,1.053446,112000.0,117751,174930,105959,199044,262359,37993,13869,6704.0,39157.0,14335.0,0.41933
57,1.070069,114000.0,121745,180805,109548,204810,270903,39349,14332,6895.0,40512.0,14806.0,0.41933
58,1.088037,116000.0,125961,187046,113388,210717,279824,40795,14791,7054.0,41971.0,15263.0,0.41883
59,1.104199,118000.0,130036,193007,117061,216517,288481,42178,15230,7232.0,43346.0,15697.0,0.41883
60,1.118987,120000.0,134011,198861,120639,222271,297010,43511,15695,7430.0,44691.0,16161.0,0.41883
61,1.131877,122000.0,137814,204423,124043,227848,305093,44809,16136,7606.0,45971.0,16600.0,0.41829
62,1.148166,124000.0,142089,210730,127921,233828,314165,46271,16605,7777.0,47436.0,17071.0,0.41829
63,1.163317,126000.0,146286,216926,131739,239738,323100,47689,17054,7958.0,48875.0,17520.0,0.41829
64,1.173815,128000.0,149949,222285,135008,245224,330965,48921,17493,8156.0,50084.0,17959.0,0.41275
65,1.187034,130000.0,154007,228247,138658,251040,339621,50301,17961,8344.0,51463.0,18426.0,0.41275
66,1.201371,132000.0,158265,234526,142518,256999,348638,51765,18429,8510.0,52927.0,18893.0,0.41275
67,1.213021,134000.0,162221,240351,146102,262682,357069,53096,18855,8684.0,54270.0,19321.0,0.41891
68,1.22483,136000.0,166245,246260,149723,268481,365675,54457,19320,8882.0,55620.0,19786.0,0.41891
69,1.235375,138000.0,170142,251982,153220,274160,374005,55778,19776,9070.0,56941.0,20241.0,0.41891
70,1.247636,140000.0,174321,258150,157018,280021,382818,57221,20221,9221.0,58384.0,20690.0,0.41905
71,1.259785,142000.0,178533,264347,160835,285960,391810,58640,20681,9410.0,59810.0,21148.0,0.41905
72,1.267693,144000.0,182184,269711,164105,291434,399683,59858,21123,9608.0,61034.0,21587.0,0.41905
73,1.278363,146000.0,186269,275714,167782,297272,408381,61254,21589,9793.0,62419.0,22056.0,0.41903
