IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.112168,2000.0,224,347,179,987,752,52,62,34.0,99.0,78.0,0.28799
2,0.111139,4000.0,437,779,441,2157,1930,119,90,92.0,261.0,171.0,0.28799
3,0.092169,6000.0,552,953,540,2901,2327,136,113,119.0,292.0,199.0,0.28799
4,0.101691,8000.0,812,1372,813,4243,3286,179,158,173.0,368.0,259.0,0.28799
5,0.103985,10000.0,1028,1711,1033,5188,3958,217,207,208.0,416.0,310.0,0.28799
6,0.144611,12000.0,1732,2856,1712,7067,5851,342,283,250.0,599.0,404.0,0.28799
7,0.180563,14000.0,2523,4138,2196,9191,8060,397,437,399.0,696.0,595.0,0.28799
8,0.185018,16000.0,2949,4650,2523,11442,9117,461,494,477.0,769.0,656.0,0.28799
9,0.172853,18000.0,3092,4855,2623,12149,9564,477,531,497.0,800.0,700.0,0.28799
10,0.168097,20000.0,3350,5259,2858,13086,10439,518,573,558.0,875.0,755.0,0.28799
11,0.183768,22000.0,4035,6496,3513,15551,12926,629,766,692.0,1022.0,975.0,0.28799
12,0.236547,24000.0,5666,8773,4673,19556,17510,830,1000,998.0,1330.0,1247.0,0.28799
13,0.247023,26000.0,6410,9846,5360,21392,19629,954,1091,1137.0,1492.0,1350.0,0.28799
14,0.237708,28000.0,6633,10221,5589,22511,20435,998,1160,1184.0,1547.0,1432.0,0.28799
15,0.262896,30000.0,7864,11659,6393,25435,23217,1144,1234,1432.0,1692.0,1503.0,0.28799
16,0.258572,32000.0,8258,12209,6644,26618,24232,1199,1339,1492.0,1758.0,1633.0,0.28799
17,0.248784,34000.0,8442,12490,6820,27561,24872,1238,1389,1538.0,1802.0,1686.0,0.28799
18,0.255557,36000.0,9163,13611,7454,29802,27218,1387,1569,1671.0,2018.0,1907.0,0.28799
19,0.250389,38000.0,9496,14167,7731,32051,27943,1461,1629,1677.0,2098.0,1971.0,0.28799
20,0.245218,40000.0,9768,14561,8011,33111,28777,1517,1679,1702.0,2167.0,2027.0,0.28799
21,0.236229,42000.0,9902,14796,8147,33875,29265,1545,1718,1728.0,2211.0,2074.0,0.28799
22,0.234592,44000.0,10296,15375,8497,35271,30522,1616,1785,1801.0,2326.0,2154.0,0.28799
23,0.232482,46000.0,10673,15934,8854,36561,31751,1712,1871,1881.0,2450.0,2249.0,0.28799
24,0.23722,48000.0,11351,16874,9421,38299,33653,1840,1999,2007.0,2616.0,2383.0,0.28799
25,0.233042,50000.0,11626,17331,9697,39359,34637,1904,2056,2067.0,2705.0,2451.0,0.28799
26,0.229569,52000.0,11899,17863,10020,40470,35652,1996,2120,2111.0,2843.0,2530.0,0.28799
27,0.226668,54000.0,12207,18492,10335,41519,36380,2099,2136,2112.0,2963.0,2546.0,0.28799
28,0.223501,56000.0,12468,18889,10593,42194,36920,2196,2145,2112.0,3066.0,2555.0,0.28799
29,0.220967,58000.0,12790,19384,10911,42996,37602,2311,2158,2112.0,3186.0,2570.0,0.28799
30,0.22705,60000.0,13596,20783,11753,45223,40099,2567,2272,2182.0,3539.0,2734.0,0.41065
31,0.257915,62000.0,15959,24553,14133,49756,45963,3362,2485,2293.0,4472.0,2967.0,0.41065
32,0.302146,64000.0,19299,29565,17252,55025,53389,4488,2828,2462.0,5648.0,3324.0,0.41065
33,0.339947,66000.0,22392,34127,20117,59942,60020,5529,3117,2602.0,6703.0,3614.0,0.41065
34,0.383452,68000.0,26023,39488,23468,65440,67889,6741,3483,2802.0,7909.0,3979.0,0.41065
35,0.425617,70000.0,29734,45004,26931,70942,75832,8004,3822,2952.0,9194.0,4319.0,0.40174
36,0.460818,72000.0,33113,50011,30056,76191,83178,9122,4170,3148.0,10319.0,4674.0,0.40174
37,0.504841,74000.0,37284,56117,33886,82126,92045,10541,4558,3334.0,11727.0,5058.0,0.40174
38,0.542604,76000.0,41156,61821,37456,87786,100314,11850,4935,3512.0,13038.0,5431.0,0.39945
39,0.575284,78000.0,44783,67170,40779,93275,108192,13059,5323,3721.0,14244.0,5820.0,0.39945
40,0.614972,80000.0,49100,73545,44770,99374,117469,14509,5743,3932.0,15704.0,6240.0,0.39945
41,0.647519,82000.0,52991,79235,48349,105047,125738,15818,6100,4115.0,17001.0,6596.0,0.39974
42,0.6791,84000.0,56931,85073,52008,110755,134159,17159,6467,4282.0,18354.0,6964.0,0.39974
43,0.713815,86000.0,61266,91448,56005,116866,143444,18620,6885,4492.0,19810.0,7385.0,0.39974
44,0.738662,88000.0,64873,96750,59293,122335,151257,19817,7277,4702.0,21003.0,7773.0,0.39972
45,0.76481,90000.0,68696,102373,62819,127966,159462,21095,7644,4892.0,22279.0,8140.0,0.39972
46,0.793677,92000.0,72873,108513,66670,133907,168346,22512,8033,5081.0,23695.0,8529.0,0.39972
47,0.821155,94000.0,77035,114661,70526,139837,177247,23926,8430,5267.0,25110.0,8927.0,0.39883
48,0.841967,96000.0,80668,120010,73847,145320,185106,25132,8812,5472.0,26321.0,9308.0,0.39883
49,0.863003,98000.0,84406,125505,77289,150890,193163,26380,9181,5672.0,27563.0,9678.0,0.39883
50,0.888648,100000.0,88688,131809,81237,156957,202355,27817,9599,5885.0,29004.0,10095.0,0.39751
51,0.910891,102000.0,92726,137751,84971,162731,210898,29200,9962,6043.0,30384.0,10458.0,0.39751
52,0.929186,104000.0,96443,143262,88400,168286,218955,30438,10346,6242.0,31639.0,10842.0,0.39751
53,0.952538,106000.0,100768,149613,92382,174389,228201,31899,10763,6452.0,33083.0,11259.0,0.39884
54,0.968669,108000.0,104408,155013,95734,179887,236108,33115,11139,6657.0,34313.0,11651.0,0.39884
55,0.988012,110000.0,108465,160929,99467,185692,244688,34485,11505,6830.0,35670.0,12004.0,0.39884
56,1.008633,112000.0,112742,167226,103404,191755,253855,35923,11924,7041.0,37107.0,12421.0,0.40003
57,1.024391,114000.0,116548,172867,106932,197362,262039,37208,12299,7222.0,38406.0,12795.0,0.40003
58,1.038145,116000.0,120185,178212,110254,202860,269936,38422,12686,7431.0,39613.0,13185.0,0.40003
59,1.055059,118000.0,124249,184219,114024,208707,278634,39778,13066,7628.0,40975.0,13570.0,0.39987
60,1.072478,120000.0,128441,190362,117875,214667,287564,41201,13459,7821.0,42387.0,13962.0,0.39987
61,1.086714,122000.0,132315,196091,121465,220325,295848,42517,13831,7992.0,43710.0,14330.0,0.39987
62,1.098592,124000.0,135954,201455,124796,225824,303748,43725,14222,8202.0,44923.0,14719.0,0.39911
63,1.115675,126000.0,140295,207839,128794,231938,313037,45181,14643,8412.0,46381.0,15139.0,0.39911
64,1.128287,128000.0,144133,213461,132326,237569,321225,46475,14997,8597.0,47660.0,15498.0,0.39911
65,1.141767,130000.0,148134,219380,136042,243328,329752,47839,15364,8762.0,49034.0,15864.0,0.40017
66,1.157359,132000.0,152467,225747,140029,249437,339007,49299,15785,8972.0,50487.0,16281.0,0.40017
