IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.103655,2000.0,207,408,213,1105,1002,45,68,32.0,146.0,105.0,0.26212
2,0.126569,4000.0,494,997,551,2842,2631,119,99,113.0,395.0,203.0,0.26212
3,0.125482,6000.0,749,1430,823,4016,3621,162,144,169.0,476.0,276.0,0.26212
4,0.113087,8000.0,903,1672,986,4837,4133,192,185,194.0,513.0,318.0,0.26212
5,0.111897,10000.0,1108,1976,1176,5632,4763,227,232,224.0,555.0,365.0,0.26212
6,0.105537,12000.0,1256,2266,1355,6582,5509,255,278,250.0,633.0,434.0,0.26212
7,0.128963,14000.0,1802,3095,1512,8222,6921,259,493,358.0,679.0,667.0,0.26212
8,0.136076,16000.0,2173,3639,1745,9412,7950,302,590,430.0,744.0,782.0,0.26212
9,0.149402,18000.0,2684,4443,2198,11041,9695,400,667,526.0,890.0,917.0,0.26212
10,0.179801,20000.0,3589,5812,3037,13520,12512,553,806,689.0,1131.0,1084.0,0.26212
11,0.181432,22000.0,3973,6327,3356,14916,13566,619,850,760.0,1209.0,1135.0,0.26212
12,0.176705,24000.0,4219,6782,3635,16025,14539,663,924,804.0,1278.0,1222.0,0.26212
13,0.166056,26000.0,4309,7003,3756,16983,15080,685,954,828.0,1337.0,1271.0,0.26212
14,0.169769,28000.0,4734,7607,4095,18423,16411,769,1041,911.0,1448.0,1382.0,0.26212
15,0.163288,30000.0,4889,7797,4188,19100,16938,803,1074,932.0,1500.0,1415.0,0.26212
16,0.160378,32000.0,5122,7991,4263,19993,17755,877,1112,958.0,1596.0,1469.0,0.26212
17,0.163941,34000.0,5563,8588,4598,21711,19332,991,1210,1031.0,1758.0,1574.0,0.26212
18,0.162412,36000.0,5828,9124,4850,22777,20371,1044,1275,1064.0,1855.0,1709.0,0.26212
19,0.158062,38000.0,5979,9337,4965,23436,20837,1072,1313,1082.0,1889.0,1749.0,0.26212
20,0.166048,40000.0,6617,10268,5547,25168,22731,1195,1411,1187.0,2066.0,1863.0,0.26212
21,0.166619,42000.0,6978,10882,5880,26602,24234,1268,1446,1265.0,2199.0,1951.0,0.26212
22,0.206385,44000.0,9063,13935,7570,31210,30330,1692,1866,1610.0,2714.0,2466.0,0.26212
23,0.223789,46000.0,10267,15585,8539,34081,33879,1932,2075,1834.0,2997.0,2731.0,0.26212
24,0.218641,48000.0,10474,15751,8630,34798,34439,1994,2086,1846.0,3086.0,2743.0,0.26212
25,0.252506,50000.0,12593,18427,10179,39295,40073,2426,2482,2189.0,3573.0,3171.0,0.26212
26,0.282271,52000.0,14649,21019,11644,43526,45312,2866,2869,2538.0,4049.0,3571.0,0.26212
27,0.290798,54000.0,15672,22322,12383,46311,48187,3102,3052,2683.0,4329.0,3787.0,0.26212
28,0.290039,56000.0,16181,23144,12815,47753,49765,3218,3161,2769.0,4495.0,3922.0,0.26212
29,0.318614,58000.0,18477,26343,14513,52426,56009,3655,3502,3208.0,4977.0,4317.0,0.26212
30,0.320419,60000.0,19221,27095,14887,54608,58333,3863,3657,3307.0,5215.0,4499.0,0.26212
31,0.34671,62000.0,21452,30118,16567,59155,64254,4311,4077,3677.0,5742.0,4973.0,0.26212
32,0.357866,64000.0,22892,31987,17630,62182,67930,4601,4311,3951.0,6079.0,5221.0,0.26212
33,0.375002,66000.0,24735,34321,18918,65906,72650,4977,4645,4261.0,6510.0,5582.0,0.26212
34,0.396611,68000.0,26950,37043,20425,70492,78323,5470,5021,4623.0,7037.0,5995.0,0.26212
35,0.424872,70000.0,29716,40649,22445,75620,85122,6020,5553,5097.0,7624.0,6545.0,0.26212
36,0.445621,72000.0,32055,43440,23950,80358,91198,6555,5980,5478.0,8199.0,7017.0,0.34839
37,0.470015,74000.0,34746,46894,25901,85399,97773,7093,6430,5970.0,8773.0,7485.0,0.34839
38,0.482366,76000.0,36621,49214,27187,88983,102396,7473,6773,6291.0,9169.0,7862.0,0.34839
39,0.497617,78000.0,38771,51845,28646,93476,107871,7951,7146,6637.0,9686.0,8257.0,0.34839
40,0.519583,80000.0,41518,55454,30685,98588,114657,8505,7669,7100.0,10273.0,8809.0,0.34839
41,0.52805,82000.0,43248,57499,31762,102687,119335,8916,7986,7402.0,10713.0,9182.0,0.34839
42,0.548495,84000.0,46016,61038,33800,107758,125976,9466,8468,7861.0,11285.0,9684.0,0.34839
43,0.563294,86000.0,48381,63942,35387,112431,131868,9968,8897,8270.0,11829.0,10123.0,0.34839
44,0.577262,88000.0,50732,66905,37033,117110,137684,10479,9306,8672.0,12355.0,10560.0,0.34839
45,0.596731,90000.0,53633,70576,39113,122284,144545,11054,9820,9160.0,12938.0,11091.0,0.33693
46,0.606859,92000.0,55754,73141,40534,126744,149949,11544,10240,9486.0,13449.0,11517.0,0.33693
47,0.623783,94000.0,58553,76683,42477,131814,156642,12109,10745,9982.0,14041.0,12042.0,0.33693
48,0.63016,96000.0,60409,78842,43659,135999,161428,12542,11064,10298.0,14496.0,12371.0,0.33693
49,0.645161,98000.0,63134,82337,45644,140985,167929,13086,11562,10749.0,15058.0,12884.0,0.33693
50,0.657749,100000.0,65678,85495,47407,145796,174074,13607,12006,11198.0,15612.0,13337.0,0.33693
51,0.671012,102000.0,68341,88782,49212,150805,180631,14197,12502,11629.0,16208.0,13856.0,0.33693
52,0.685595,104000.0,71194,92369,51245,155936,187337,14769,12978,12139.0,16788.0,14330.0,0.33693
53,0.692473,106000.0,73290,94904,52658,160363,192701,15249,13388,12453.0,17292.0,14750.0,0.3587
54,0.706712,108000.0,76207,98566,54679,165526,199550,15834,13909,12968.0,17892.0,15282.0,0.3587
55,0.716353,110000.0,78676,101515,56286,170355,205750,16392,14359,13370.0,18471.0,15754.0,0.3587
56,0.728012,112000.0,81409,104994,58258,175393,212296,16939,14818,13869.0,19031.0,16227.0,0.3587
57,0.737477,114000.0,83939,108023,59896,180282,218632,17503,15291,14289.0,19614.0,16716.0,0.3587
58,0.749035,116000.0,86749,111619,61950,185372,225318,18060,15792,14753.0,20188.0,17237.0,0.3587
59,0.757313,118000.0,89219,114658,63626,190059,231151,18550,16212,15216.0,20697.0,17661.0,0.3587
