IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.09575,2000.0,187,264,143,848,569,43,58,25.0,66.0,66.0,0.26227
2,0.109109,4000.0,430,631,382,2064,1581,119,89,89.0,190.0,135.0,0.26227
3,0.10307,6000.0,611,913,560,2931,2305,145,122,136.0,246.0,183.0,0.26227
4,0.105823,8000.0,845,1285,794,4110,3097,181,174,176.0,301.0,247.0,0.26227
5,0.103501,10000.0,1023,1581,990,4961,3677,217,207,208.0,345.0,282.0,0.26227
6,0.13436,12000.0,1606,2510,1552,6432,5222,327,267,236.0,494.0,355.0,0.26227
7,0.17312,14000.0,2419,3855,2128,8654,7566,396,413,374.0,612.0,543.0,0.26227
8,0.181778,16000.0,2891,4470,2455,10999,8678,449,487,466.0,679.0,622.0,0.26227
9,0.170777,18000.0,3068,4701,2568,11680,9225,474,531,495.0,713.0,673.0,0.26227
10,0.163676,20000.0,3256,4962,2720,12431,9802,505,559,536.0,760.0,708.0,0.26227
11,0.172565,22000.0,3789,5865,3177,14363,11479,584,722,626.0,865.0,891.0,0.26227
12,0.22398,24000.0,5365,8113,4427,18316,16214,811,932,932.0,1187.0,1144.0,0.26227
13,0.242311,26000.0,6279,9525,5225,20855,19030,939,1083,1117.0,1399.0,1303.0,0.26227
14,0.235355,28000.0,6577,9931,5474,22021,19856,989,1127,1171.0,1460.0,1351.0,0.26227
15,0.234127,30000.0,7010,10591,5809,23322,21144,1052,1265,1239.0,1536.0,1510.0,0.26227
16,0.226643,32000.0,7234,10903,6006,24340,21865,1099,1318,1291.0,1594.0,1571.0,0.26227
17,0.2169,34000.0,7354,11144,6171,25004,22401,1141,1350,1320.0,1649.0,1607.0,0.26227
18,0.216427,36000.0,7776,11820,6596,26447,23920,1229,1432,1399.0,1799.0,1714.0,0.26227
19,0.218695,38000.0,8294,12592,7082,29042,25279,1358,1541,1506.0,1926.0,1823.0,0.26227
20,0.264873,40000.0,10574,16049,9267,33722,31169,1928,2016,1981.0,2496.0,2298.0,0.26227
21,0.321636,42000.0,13482,20458,12058,39154,38689,2655,2622,2587.0,3224.0,2906.0,0.26227
22,0.373147,44000.0,16386,24874,14846,44585,46195,3383,3227,3192.0,3950.0,3512.0,0.26227
23,0.42031,46000.0,19296,29286,17636,50019,53710,4109,3832,3799.0,4678.0,4118.0,0.26227
