IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.095041,2000.0,184,260,142,891,559,41,58,25.0,61.0,65.0,0.27847
2,0.107688,4000.0,430,608,358,2070,1531,119,89,89.0,193.0,127.0,0.27847
3,0.103022,6000.0,617,964,574,3027,2357,148,124,136.0,259.0,190.0,0.27847
4,0.105647,8000.0,840,1258,775,4215,3041,181,174,176.0,306.0,236.0,0.27847
5,0.104999,10000.0,1048,1585,987,5090,3670,219,221,210.0,350.0,285.0,0.27847
6,0.152626,12000.0,1828,2908,1788,7115,5980,357,294,258.0,567.0,393.0,0.27847
7,0.182137,14000.0,2545,4051,2173,9035,7877,397,443,405.0,629.0,574.0,0.27847
8,0.184169,16000.0,2941,4527,2489,11166,8860,459,494,476.0,700.0,629.0,0.27847
9,0.172112,18000.0,3092,4739,2594,11862,9324,477,531,497.0,733.0,673.0,0.27847
10,0.164478,20000.0,3269,5009,2747,12723,9925,506,559,537.0,781.0,710.0,0.27847
11,0.174705,22000.0,3836,6003,3257,14671,11784,592,730,639.0,898.0,901.0,0.27847
12,0.229575,24000.0,5499,8357,4566,18765,16628,825,958,959.0,1226.0,1180.0,0.27847
13,0.246021,26000.0,6384,9724,5353,21199,19479,944,1087,1132.0,1442.0,1324.0,0.27847
14,0.236429,28000.0,6607,10046,5594,22362,20210,994,1131,1178.0,1505.0,1372.0,0.27847
15,0.234024,30000.0,6991,10637,5868,23477,21315,1051,1262,1234.0,1568.0,1528.0,0.27847
16,0.225932,32000.0,7214,10927,6061,24494,21982,1098,1315,1285.0,1620.0,1582.0,0.27847
17,0.218625,34000.0,7407,11217,6231,25307,22597,1148,1376,1313.0,1686.0,1648.0,0.27847
18,0.210148,36000.0,7538,11398,6343,26040,23074,1176,1394,1338.0,1736.0,1676.0,0.27847
19,0.208579,38000.0,7902,11951,6694,27297,24367,1243,1467,1406.0,1854.0,1758.0,0.27847
20,0.202683,40000.0,8084,12228,6873,28165,24990,1293,1497,1443.0,1935.0,1795.0,0.27847
21,0.199212,42000.0,8346,12565,7043,29099,25805,1334,1534,1498.0,2000.0,1842.0,0.27847
22,0.221278,44000.0,9717,14149,7924,32167,29301,1643,1767,1766.0,2378.0,2095.0,0.27847
23,0.267224,46000.0,12268,16863,9374,36780,34946,2209,2201,2267.0,2956.0,2529.0,0.27847
24,0.308966,48000.0,14801,19532,10809,41235,40501,2760,2611,2766.0,3519.0,2944.0,0.27847
25,0.343781,50000.0,17155,22030,12149,45626,45644,3298,3014,3231.0,4054.0,3349.0,0.27847
26,0.382893,52000.0,19871,24860,13666,50371,51536,3894,3452,3769.0,4656.0,3787.0,0.27847
27,0.418125,54000.0,22534,27695,15182,55071,57362,4486,3916,4281.0,5244.0,4254.0,0.27847
28,0.451592,56000.0,25239,30534,16710,59810,63234,5084,4365,4812.0,5847.0,4704.0,0.27847
29,0.479347,58000.0,27747,33172,18127,64361,68714,5646,4770,5316.0,6411.0,5110.0,0.27847
30,0.509293,60000.0,30497,36063,19651,69134,74668,6233,5241,5845.0,6998.0,5580.0,0.34751
31,0.533607,62000.0,33018,38724,21072,73685,80152,6797,5669,6342.0,7567.0,6009.0,0.34751
32,0.558624,64000.0,35681,41530,22591,78388,85984,7398,6098,6874.0,8168.0,6450.0,0.34751
33,0.577388,66000.0,38032,44030,23934,82768,91113,7921,6512,7320.0,8696.0,6853.0,0.34751
34,0.598305,68000.0,40604,46709,25357,87369,96684,8480,6921,7837.0,9259.0,7260.0,0.34751
35,0.620489,70000.0,43348,49601,26892,92135,102622,9082,7390,8367.0,9855.0,7729.0,0.34751
36,0.640105,72000.0,45996,52394,28385,96825,108394,9664,7829,8886.0,10446.0,8168.0,0.34751
37,0.657197,74000.0,48536,55056,29809,101399,113938,10222,8240,9393.0,11005.0,8581.0,0.34845
38,0.673773,76000.0,51105,57769,31269,105989,119504,10794,8678,9890.0,11579.0,9020.0,0.34845
39,0.691477,78000.0,53828,60642,32788,110745,125414,11394,9139,10426.0,12175.0,9480.0,0.34845
40,0.707807,80000.0,56512,63461,34312,115467,131277,11994,9571,10963.0,12783.0,9913.0,0.34845
41,0.723768,82000.0,59231,66310,35820,120206,137164,12577,10031,11487.0,13363.0,10374.0,0.34845
42,0.736929,84000.0,61779,69011,37278,124784,142704,13156,10466,11984.0,13942.0,10809.0,0.34845
43,0.74991,86000.0,64364,71695,38705,129391,148303,13720,10875,12504.0,14513.0,11218.0,0.34845
44,0.763974,88000.0,67096,74582,40238,134149,154214,14318,11344,13030.0,15103.0,11687.0,0.34872
45,0.777379,90000.0,69825,77439,41776,138900,160118,14922,11795,13566.0,15708.0,12138.0,0.34872
46,0.789995,92000.0,72535,80309,43294,143643,166008,15517,12256,14098.0,16304.0,12600.0,0.34872
47,0.800113,94000.0,75061,82962,44710,148207,171530,16068,12662,14595.0,16861.0,13007.0,0.34872
48,0.811646,96000.0,77763,85794,46237,152936,177388,16670,13113,15125.0,17464.0,13457.0,0.34872
49,0.81914,98000.0,80116,88306,47571,157345,182587,17184,13503,15588.0,17982.0,13860.0,0.34872
50,0.830042,100000.0,82839,91158,49106,162092,188472,17787,13954,16122.0,18585.0,14311.0,0.34872
51,0.838384,102000.0,85345,93816,50531,166652,193985,18347,14366,16626.0,19153.0,14727.0,0.34756
52,0.84841,104000.0,88059,96657,52035,171379,199859,18928,14825,17149.0,19733.0,15185.0,0.34756
53,0.858152,106000.0,90783,99522,53576,176129,205770,19541,15278,17685.0,20348.0,15641.0,0.34756
54,0.867598,108000.0,93514,102411,55123,180889,211691,20146,15742,18217.0,20953.0,16104.0,0.34756
55,0.875315,110000.0,96093,105095,56554,185490,217273,20710,16150,18736.0,21522.0,16513.0,0.34756
56,0.882659,112000.0,98661,107800,57996,190082,222822,21276,16590,19229.0,22081.0,16950.0,0.34756
57,0.891037,114000.0,101376,110667,59514,194829,228716,21872,17052,19764.0,22674.0,17411.0,0.34756
58,0.899265,116000.0,104107,113521,61052,199592,234634,22481,17485,20310.0,23283.0,17844.0,0.34682
59,0.907613,118000.0,106885,116426,62591,204385,240639,23077,17946,20852.0,23880.0,18305.0,0.34682
60,0.913845,120000.0,109443,119137,64045,208966,246191,23650,18386,21346.0,24453.0,18745.0,0.34682
61,0.919972,122000.0,112013,121810,65471,213566,251745,24217,18793,21863.0,25020.0,19153.0,0.34682
62,0.927274,124000.0,114753,124704,67002,218323,257684,24807,19261,22391.0,25610.0,19624.0,0.34682
63,0.933868,126000.0,117433,127517,68520,223041,263518,25409,19710,22916.0,26214.0,20071.0,0.34682
64,0.938424,128000.0,119879,130114,69906,227548,268942,25948,20108,23405.0,26771.0,20470.0,0.34682
65,0.944335,130000.0,122519,132930,71421,232231,274753,26541,20571,23912.0,27365.0,20936.0,0.34741
66,0.950371,132000.0,125199,135754,72945,236948,280590,27139,21020,24437.0,27968.0,21386.0,0.34741
67,0.95497,134000.0,127711,138385,74322,241490,286064,27669,21422,24932.0,28510.0,21787.0,0.34741
68,0.961003,136000.0,130436,141241,75860,246240,291962,28281,21874,25468.0,29119.0,22243.0,0.34741
69,0.965235,138000.0,132937,143912,77293,250784,297433,28845,22308,25961.0,29682.0,22673.0,0.34741
70,0.971214,140000.0,135699,146778,78828,255568,303393,29452,22746,26510.0,30288.0,23112.0,0.34741
71,0.976566,142000.0,138396,149626,80342,260287,309265,30037,23215,27029.0,30874.0,23580.0,0.34741
72,0.981957,144000.0,141120,152483,81875,265039,315159,30644,23663,27563.0,31482.0,24028.0,0.3463
73,0.985046,146000.0,143530,155016,83221,269476,320393,31168,24056,28044.0,32008.0,24422.0,0.3463
74,0.990264,148000.0,146267,157899,84761,274233,326327,31775,24515,28577.0,32615.0,24891.0,0.3463
75,0.995271,150000.0,148993,160765,86300,278986,332224,32378,24976,29108.0,33217.0,25341.0,0.3463
76,0.999908,152000.0,151683,163618,87816,283724,338103,32973,25425,29643.0,33812.0,25794.0,0.3463
77,1.003787,154000.0,154275,166342,89265,288347,343748,33535,25849,30149.0,34377.0,26224.0,0.3463
78,1.007194,156000.0,156809,169020,90696,292910,349243,34098,26279,30647.0,34940.0,26653.0,0.3463
79,1.011764,158000.0,159540,171870,92229,297671,355162,34704,26706,31193.0,35546.0,27084.0,0.34793
80,1.016433,160000.0,162305,174761,93753,302449,361127,35289,27176,31726.0,36132.0,27550.0,0.34793
81,1.020584,162000.0,165005,177601,95282,307175,366994,35894,27622,32256.0,36741.0,27997.0,0.34793
82,1.023791,164000.0,167567,180301,96722,311778,372569,36463,28037,32769.0,37311.0,28414.0,0.34793
83,1.028116,166000.0,170327,183178,98239,316545,378511,37046,28499,33302.0,37893.0,28875.0,0.34793
84,1.031056,168000.0,172872,185881,99694,321117,384042,37626,28931,33799.0,38473.0,29310.0,0.34793
85,1.034934,170000.0,175588,188735,101214,325871,389948,38225,29383,34340.0,39074.0,29760.0,0.34611
86,1.037767,172000.0,178140,191380,102624,330430,395458,38774,29789,34839.0,39626.0,30167.0,0.34611
87,1.041416,174000.0,180845,194252,104166,335170,401353,39379,30255,35365.0,40232.0,30632.0,0.34611
88,1.044708,176000.0,183502,197079,105678,339870,407167,39973,30702,35893.0,40828.0,31081.0,0.34611
89,1.048608,178000.0,186280,199947,107213,344666,413146,40582,31144,36445.0,41435.0,31520.0,0.34611
90,1.049872,180000.0,188600,202430,108534,349019,418227,41096,31562,36889.0,41951.0,31937.0,0.34611
91,1.053034,182000.0,191270,205235,110055,353728,424053,41698,31991,37422.0,42555.0,32366.0,0.34611
92,1.056662,184000.0,194038,208141,111593,358513,430043,42291,32452,37960.0,43151.0,32827.0,0.34693
