IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.107661,2000.0,215,371,181,1063,877,49,62,31.0,127.0,93.0,0.26962
2,0.11168,4000.0,436,729,412,2230,1852,119,90,91.0,249.0,160.0,0.26962
3,0.10536,6000.0,631,1087,625,3267,2666,150,130,138.0,315.0,221.0,0.26962
4,0.106199,8000.0,848,1404,842,4346,3439,181,176,177.0,367.0,274.0,0.26962
5,0.1055,10000.0,1053,1740,1059,5236,4091,219,223,210.0,416.0,322.0,0.26962
6,0.144444,12000.0,1730,2825,1714,7063,5888,342,283,250.0,585.0,399.0,0.26962
7,0.167108,14000.0,2335,3849,2155,8919,7741,396,392,353.0,678.0,549.0,0.26962
8,0.180349,16000.0,2880,4557,2479,11397,8983,446,486,464.0,737.0,648.0,0.26962
9,0.171571,18000.0,3073,4816,2616,12265,9569,475,531,495.0,779.0,696.0,0.26962
10,0.166792,20000.0,3325,5191,2832,13316,10413,513,570,554.0,841.0,744.0,0.26962
11,0.186273,22000.0,4090,6610,3597,15788,13179,640,778,707.0,1022.0,988.0,0.26962
12,0.231704,24000.0,5550,8560,4626,19442,17181,826,973,971.0,1291.0,1217.0,0.26962
13,0.246214,26000.0,6389,9810,5373,21549,19647,952,1091,1133.0,1483.0,1341.0,0.26962
14,0.236274,28000.0,6593,10091,5572,22627,20278,994,1133,1175.0,1528.0,1382.0,0.26962
15,0.232891,30000.0,6973,10603,5829,23786,21399,1052,1229,1255.0,1602.0,1488.0,0.26962
16,0.27429,32000.0,8760,13292,7220,27487,25814,1349,1602,1551.0,1917.0,1877.0,0.26962
17,0.334188,34000.0,11340,16816,9211,32465,32240,1883,2211,2081.0,2453.0,2489.0,0.26962
18,0.387041,36000.0,13906,20333,11199,37436,38671,2415,2818,2610.0,2991.0,3103.0,0.26962
19,0.434937,38000.0,16495,23844,13184,42422,45115,2949,3430,3143.0,3527.0,3715.0,0.26962
20,0.471682,40000.0,18830,26979,14990,47096,51091,3384,3940,3577.0,4015.0,4236.0,0.26962
21,0.479681,42000.0,20102,28536,15920,50109,54303,3623,4192,3811.0,4286.0,4493.0,0.26962
22,0.469906,44000.0,20635,29238,16254,51781,56035,3799,4348,3915.0,4479.0,4683.0,0.26962
23,0.457797,46000.0,21017,29603,16439,52898,57209,3908,4426,3981.0,4615.0,4761.0,0.26962
24,0.452061,48000.0,21656,30185,16726,54781,59023,4079,4541,4086.0,4803.0,4896.0,0.26962
25,0.451374,50000.0,22524,30951,17118,57255,61512,4312,4695,4228.0,5062.0,5066.0,0.22219
26,0.460373,52000.0,23892,32215,17753,60783,65347,4693,4944,4457.0,5466.0,5355.0,0.22219
27,0.472956,54000.0,25489,33600,18439,64755,69787,5111,5238,4705.0,5916.0,5683.0,0.22219
28,0.481472,56000.0,26909,34928,19097,68574,73825,5506,5511,4939.0,6331.0,5994.0,0.22219
29,0.494187,58000.0,28606,36499,19871,72754,78703,5979,5821,5217.0,6846.0,6359.0,0.22219
30,0.504317,60000.0,30199,37925,20590,76739,83110,6404,6129,5482.0,7299.0,6681.0,0.22219
31,0.516395,62000.0,31953,39483,21374,81035,88343,6873,6440,5766.0,7831.0,7035.0,0.22219
32,0.521989,64000.0,33341,40780,22010,84504,92206,7261,6712,5991.0,8238.0,7348.0,0.22219
33,0.532345,66000.0,35065,42343,22788,88655,96998,7723,7022,6276.0,8729.0,7712.0,0.22219
34,0.54968,68000.0,37304,44375,23801,93366,102977,8342,7435,6649.0,9365.0,8162.0,0.17367
35,0.561028,70000.0,39194,46008,24630,97686,108108,8847,7771,6958.0,9898.0,8511.0,0.17367
36,0.5746,72000.0,41289,47942,25602,102359,114085,9420,8179,7306.0,10532.0,8957.0,0.17367
37,0.58569,74000.0,43255,49682,26475,106867,119658,9944,8529,7626.0,11109.0,9353.0,0.17367
38,0.596158,76000.0,45218,51391,27331,111242,124953,10491,8885,7936.0,11673.0,9723.0,0.17367
39,0.60361,78000.0,46988,53003,28129,115308,129714,10972,9234,8223.0,12170.0,10095.0,0.17367
40,0.613883,80000.0,49013,54823,29032,119825,135256,11527,9590,8552.0,12749.0,10512.0,0.17367
41,0.625133,82000.0,51159,56772,30016,124459,141093,12109,9987,8901.0,13355.0,10960.0,0.15532
42,0.635716,84000.0,53294,58720,30986,129145,147043,12688,10397,9254.0,13967.0,11419.0,0.15532
43,0.646273,86000.0,55469,60661,31953,133829,152915,13290,10792,9609.0,14593.0,11857.0,0.15532
44,0.654779,88000.0,57506,62553,32895,138439,158707,13853,11179,9949.0,15203.0,12304.0,0.15532
45,0.662373,90000.0,59495,64378,33802,143023,164498,14391,11562,10273.0,15794.0,12745.0,0.15532
46,0.669364,92000.0,61459,66151,34679,147484,169928,14932,11917,10599.0,16365.0,13152.0,0.15532
47,0.677593,94000.0,63567,68022,35611,152075,175631,15507,12307,10941.0,16966.0,13573.0,0.15532
48,0.685771,96000.0,65703,69955,36576,156702,181426,16085,12703,11293.0,17563.0,14009.0,0.14746
49,0.693891,98000.0,67866,71898,37562,161419,187433,16668,13112,11655.0,18197.0,14455.0,0.14746
50,0.701997,100000.0,70060,73864,38552,166150,193473,17271,13506,12020.0,18841.0,14894.0,0.14746
51,0.709824,102000.0,72258,75834,39547,170856,199416,17866,13923,12384.0,19462.0,15332.0,0.14746
52,0.716503,104000.0,74368,77711,40498,175424,205058,18434,14308,12741.0,20062.0,15735.0,0.14746
53,0.721389,106000.0,76315,79548,41409,179912,210549,18982,14695,13071.0,20646.0,16162.0,0.14746
54,0.727782,108000.0,78444,81457,42368,184570,216439,19561,15084,13417.0,21265.0,16598.0,0.14746
55,0.733852,110000.0,80563,83365,43332,189299,222529,20150,15473,13768.0,21925.0,17019.0,0.1506
56,0.739866,112000.0,82700,85340,44326,193957,228384,20733,15895,14129.0,22534.0,17473.0,0.1506
57,0.745827,114000.0,84855,87271,45298,198654,234330,21332,16288,14488.0,23175.0,17891.0,0.1506
58,0.748344,116000.0,86635,88930,46116,202816,239334,21812,16635,14780.0,23692.0,18289.0,0.1506
59,0.752303,118000.0,88595,90664,46984,207295,244828,22359,16990,15104.0,24288.0,18675.0,0.1506
60,0.758218,120000.0,90805,92637,47974,211994,250791,22946,17407,15480.0,24905.0,19118.0,0.1506
61,0.764022,122000.0,93025,94605,48954,216692,256715,23553,17801,15849.0,25527.0,19555.0,0.1506
62,0.768692,124000.0,95128,96575,49925,221322,262515,24130,18217,16204.0,26130.0,20025.0,0.14907
63,0.772937,126000.0,97196,98444,50854,225907,268253,24691,18583,16546.0,26729.0,20451.0,0.14907
