IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.105158,2000.0,210,356,177,1035,851,48,62,29.0,121.0,93.0,0.24537
2,0.1142,4000.0,456,759,429,2282,1923,123,99,95.0,251.0,171.0,0.24537
3,0.10536,6000.0,631,1085,625,3295,2669,150,130,138.0,308.0,221.0,0.24537
4,0.108932,8000.0,861,1405,841,4438,3404,183,176,180.0,356.0,271.0,0.24537
5,0.109914,10000.0,1092,1775,1077,5387,4095,229,230,215.0,411.0,328.0,0.24537
6,0.1654,12000.0,1981,3254,1963,7632,6768,382,312,274.0,651.0,450.0,0.24537
7,0.188363,14000.0,2632,4256,2271,9586,8377,404,459,422.0,683.0,628.0,0.24537
8,0.187426,16000.0,2993,4669,2551,11482,9283,466,509,486.0,750.0,680.0,0.24537
9,0.174852,18000.0,3133,4880,2660,12088,9716,483,540,507.0,788.0,719.0,0.24537
10,0.170512,20000.0,3400,5243,2894,13241,10527,536,579,567.0,859.0,763.0,0.24537
11,0.200483,22000.0,4402,6972,3813,16317,13964,675,813,773.0,1069.0,1042.0,0.24537
12,0.24999,24000.0,5984,9180,4974,20157,18425,884,1055,1058.0,1397.0,1313.0,0.31104
13,0.251352,26000.0,6505,9936,5455,21724,19975,974,1107,1157.0,1518.0,1370.0,0.31104
14,0.242727,28000.0,6783,10419,5730,22931,21055,1018,1176,1213.0,1581.0,1459.0,0.31104
15,0.238636,30000.0,7145,10958,6053,24105,22169,1082,1227,1276.0,1675.0,1520.0,0.31104
16,0.242758,32000.0,7743,11767,6512,25913,23884,1219,1335,1392.0,1843.0,1637.0,0.31104
17,0.24902,34000.0,8450,12829,6989,27803,25993,1347,1507,1541.0,2005.0,1832.0,0.26868
18,0.278549,36000.0,10008,14998,7980,31103,30159,1633,1878,1826.0,2329.0,2211.0,0.26868
19,0.279684,38000.0,10607,15861,8433,32727,31928,1737,2013,1923.0,2472.0,2370.0,0.26868
20,0.271046,40000.0,10815,16135,8594,33688,32547,1776,2060,1973.0,2519.0,2428.0,0.26868
21,0.26309,42000.0,11009,16434,8796,34454,33195,1851,2107,2013.0,2608.0,2478.0,0.26868
22,0.254794,44000.0,11174,16726,8965,35410,33796,1885,2138,2042.0,2670.0,2518.0,0.26868
23,0.253788,46000.0,11642,17418,9389,36924,35374,1975,2225,2137.0,2810.0,2615.0,0.26868
24,0.258804,48000.0,12398,18535,10022,38625,37451,2145,2443,2295.0,2999.0,2839.0,0.24877
25,0.257991,50000.0,12874,19467,10443,40467,39068,2197,2660,2371.0,3069.0,3070.0,0.24877
26,0.256629,52000.0,13318,20076,10820,41863,40308,2290,2744,2461.0,3186.0,3160.0,0.24877
27,0.25278,54000.0,13615,20569,11087,42789,41144,2362,2828,2479.0,3273.0,3253.0,0.24877
28,0.247992,56000.0,13860,20900,11263,43508,41728,2396,2892,2500.0,3307.0,3317.0,0.24877
29,0.25891,58000.0,14987,22423,12046,46140,44664,2550,3022,2707.0,3502.0,3466.0,0.24877
30,0.281408,60000.0,16851,24894,13350,50071,49574,2794,3239,3055.0,3806.0,3710.0,0.39539
31,0.309633,62000.0,19144,28024,14962,54647,55531,3167,3570,3454.0,4231.0,4074.0,0.39539
32,0.304538,64000.0,19446,28367,15205,55504,56269,3202,3591,3483.0,4275.0,4099.0,0.40056
33,0.318086,66000.0,20952,29960,16118,58530,59639,3307,3652,3659.0,4405.0,4165.0,0.40056
34,0.345377,68000.0,23439,32570,17601,63109,64972,3488,3745,3940.0,4602.0,4260.0,0.40056
35,0.34885,70000.0,24371,33581,18190,65127,67145,3565,3788,4047.0,4706.0,4312.0,0.44408
36,0.373895,72000.0,26867,36172,19659,69694,72439,3739,3879,4329.0,4878.0,4402.0,0.45986
37,0.379069,74000.0,27995,37394,20365,72040,74981,3847,3938,4456.0,5008.0,4464.0,0.45986
38,0.399161,76000.0,30276,39805,21740,76342,79969,4004,4020,4714.0,5178.0,4553.0,0.4511
39,0.411339,78000.0,31982,41607,22768,79728,83774,4131,4095,4915.0,5318.0,4632.0,0.4511
40,0.426898,80000.0,34084,43831,24049,83724,88367,4280,4172,5153.0,5484.0,4711.0,0.40522
41,0.447059,82000.0,36586,46427,25522,88298,93669,4455,4263,5436.0,5657.0,4802.0,0.4743
42,0.466248,84000.0,39087,49025,26994,92870,98960,4629,4354,5719.0,5830.0,4892.0,0.4743
43,0.484591,86000.0,41592,51634,28476,97448,104279,4808,4448,6004.0,6009.0,4986.0,0.47316
44,0.50201,88000.0,44089,54235,29952,102014,109575,4980,4538,6286.0,6183.0,5077.0,0.47241
45,0.518665,90000.0,46587,56826,31421,106583,114866,5154,4629,6569.0,6355.0,5167.0,0.47336
46,0.534727,92000.0,49097,59438,32903,111165,120185,5333,4723,6854.0,6534.0,5261.0,0.47336
47,0.549998,94000.0,51597,62039,34379,115736,125484,5506,4814,7138.0,6708.0,5352.0,0.47188
48,0.564571,96000.0,54091,64631,35849,120300,130775,5679,4904,7419.0,6880.0,5442.0,0.47168
49,0.578703,98000.0,56600,67245,37330,124881,136094,5858,4998,7704.0,7059.0,5536.0,0.47401
50,0.592188,100000.0,59101,69840,38805,129453,141396,6032,5089,7988.0,7233.0,5627.0,0.47401
51,0.605077,102000.0,61595,72439,40278,134017,146689,6204,5179,8270.0,7407.0,5718.0,0.47206
52,0.617633,104000.0,64106,75048,41757,138600,152000,6383,5273,8555.0,7584.0,5811.0,0.47214
53,0.629602,106000.0,66605,77641,43230,143170,157301,6557,5364,8838.0,7758.0,5902.0,0.47214
54,0.641017,108000.0,69092,80321,44734,147769,162615,6721,5476,9180.0,7928.0,6015.0,0.4401
55,0.646615,110000.0,70986,82513,45969,151461,166779,6869,5600,9503.0,8095.0,6145.0,0.2874
56,0.642449,112000.0,71811,83767,46676,154429,168985,7133,5798,9701.0,8365.0,6343.0,0.2874
57,0.63799,114000.0,72586,84939,47327,157323,171031,7381,5984,9887.0,8613.0,6529.0,0.2874
58,0.637787,116000.0,73836,86825,48377,160784,174331,7781,6284,10187.0,9013.0,6829.0,0.3355
59,0.646822,118000.0,76173,90163,50205,165481,180354,8302,6787,10629.0,9559.0,7351.0,0.3355
60,0.657877,120000.0,78788,93527,51951,170452,186718,8676,7121,11105.0,9952.0,7700.0,0.41308
61,0.669144,122000.0,81473,96907,53761,175473,193215,9073,7431,11529.0,10387.0,8021.0,0.42519
62,0.67861,124000.0,83980,99520,55241,180052,198527,9252,7525,11813.0,10566.0,8115.0,0.42519
63,0.687767,126000.0,86486,102124,56733,184639,203903,9447,7628,12099.0,10774.0,8220.0,0.43869
64,0.696575,128000.0,88984,104723,58206,189208,209195,9621,7719,12382.0,10948.0,8311.0,0.46681
65,0.70492,130000.0,91457,107324,59693,193795,214593,9821,7826,12663.0,11171.0,8425.0,0.46371
66,0.71141,132000.0,93719,109680,61034,198056,219525,9986,7919,12926.0,11350.0,8523.0,0.46371
67,0.719486,134000.0,96219,112280,62511,202627,224825,10160,8010,13209.0,11524.0,8614.0,0.44143
68,0.727339,136000.0,98721,114879,63986,207200,230129,10334,8101,13493.0,11698.0,8705.0,0.47278
69,0.73495,138000.0,101221,117483,65462,211771,235432,10511,8194,13776.0,11875.0,8798.0,0.47278
70,0.742351,140000.0,103722,120087,66938,216343,240729,10685,8285,14059.0,12049.0,8889.0,0.4716
71,0.749557,142000.0,106225,122680,68411,220917,246034,10859,8376,14343.0,12223.0,8980.0,0.47275
72,0.756543,144000.0,108725,125287,69890,225488,251343,11036,8469,14627.0,12400.0,9073.0,0.47351
73,0.76335,146000.0,111227,127887,71363,230061,256642,11210,8560,14910.0,12574.0,9164.0,0.47351
74,0.769954,148000.0,113726,130485,72839,234631,261937,11384,8651,15193.0,12748.0,9255.0,0.4721
75,0.776401,150000.0,116228,133096,74319,239204,267249,11561,8744,15477.0,12927.0,9349.0,0.47335
76,0.782672,152000.0,118729,135690,75791,243776,272550,11735,8835,15760.0,13099.0,9439.0,0.47117
77,0.788774,154000.0,121229,138291,77265,248347,277844,11909,8926,16043.0,13273.0,9530.0,0.47117
78,0.794751,156000.0,123734,140901,78748,252923,283157,12086,9019,16328.0,13452.0,9624.0,0.47311
79,0.800539,158000.0,126233,143494,80219,257493,288459,12260,9110,16611.0,13624.0,9714.0,0.47247
80,0.806195,160000.0,128734,146094,81692,262065,293750,12434,9201,16894.0,13798.0,9805.0,0.44223
81,0.811637,162000.0,131223,148819,83216,266698,299125,12595,9323,17261.0,13982.0,9931.0,0.44223
82,0.815113,164000.0,133412,151619,84776,271128,304265,12957,9602,17688.0,14354.0,10216.0,0.31183
83,0.817576,166000.0,135447,154673,86481,275532,309625,13609,10092,18176.0,15002.0,10702.0,0.3374
84,0.821722,168000.0,137774,157939,88258,280129,315412,14136,10603,18623.0,15539.0,11221.0,0.3374
85,0.827945,170000.0,140470,161382,90038,285134,321817,14525,10945,19113.0,15938.0,11564.0,0.42913
86,0.834455,172000.0,143240,164829,91890,290228,328415,14930,11264,19548.0,16368.0,11892.0,0.41442
87,0.839271,174000.0,145742,167429,93365,294801,333721,15104,11355,19832.0,16542.0,11983.0,0.41442
88,0.843996,176000.0,148247,170035,94858,299381,339081,15299,11458,20117.0,16746.0,12088.0,0.43534
89,0.848586,178000.0,150747,172634,96333,303952,344376,15473,11549,20400.0,16920.0,12179.0,0.46564
90,0.85309,180000.0,153250,175253,97829,308537,349739,15674,11657,20685.0,17131.0,12289.0,0.46237
91,0.857122,182000.0,155685,177790,99274,313073,355014,15853,11757,20967.0,17321.0,12393.0,0.46237
92,0.861436,184000.0,158188,180391,100748,317647,360306,16027,11848,21251.0,17495.0,12484.0,0.45307
93,0.865635,186000.0,160687,182984,102221,322217,365607,16201,11939,21534.0,17669.0,12575.0,0.47326
94,0.869761,188000.0,163189,185599,103704,326790,370921,16378,12032,21818.0,17848.0,12669.0,0.47236
95,0.87379,190000.0,165689,188192,105174,331361,376216,16552,12123,22101.0,18020.0,12759.0,0.47236
96,0.87773,192000.0,168188,190789,106649,335931,381510,16726,12214,22384.0,18194.0,12850.0,0.47247
97,0.88162,194000.0,170693,193404,108132,340507,386827,16903,12307,22668.0,18373.0,12944.0,0.47311
98,0.885399,196000.0,173192,195996,109602,345077,392124,17077,12398,22951.0,18545.0,13034.0,0.47248
99,0.889102,198000.0,175691,198595,111075,349647,397417,17251,12489,23234.0,18719.0,13125.0,0.47248
100,0.892776,200000.0,178199,201205,112559,354227,402736,17429,12583,23520.0,18898.0,13219.0,0.47278
101,0.896323,202000.0,180696,203800,114030,358794,408035,17602,12673,23802.0,19071.0,13310.0,0.47379
102,0.899815,204000.0,183196,206398,115502,363365,413323,17776,12764,24085.0,19244.0,13400.0,0.47252
103,0.903273,206000.0,185703,209007,116984,367944,418646,17955,12858,24370.0,19423.0,13494.0,0.47252
104,0.906612,208000.0,188199,211608,118460,372510,423941,18127,12948,24652.0,19597.0,13585.0,0.47335
105,0.909896,210000.0,190697,214199,119928,377079,429234,18301,13039,24935.0,19769.0,13675.0,0.448
106,0.913185,212000.0,193209,216965,121471,381736,434626,18459,13167,25320.0,19945.0,13806.0,0.448
107,0.916792,214000.0,195802,220471,123431,386688,440975,19025,13598,25864.0,20521.0,14237.0,0.32603
108,0.920935,216000.0,198525,224590,125726,391913,448190,19884,14266,26493.0,21385.0,14920.0,0.3417
109,0.925176,218000.0,201286,228136,127585,396952,454679,20257,14640,26956.0,21768.0,15286.0,0.4294
110,0.929386,220000.0,204057,231650,129391,402041,461267,20672,15004,27455.0,22197.0,15658.0,0.4294
111,0.93255,222000.0,206613,234362,130952,406677,466762,20893,15149,27747.0,22421.0,15799.0,0.41635
112,0.935523,224000.0,209139,236980,132453,411268,472124,21090,15253,28036.0,22623.0,15904.0,0.43514
113,0.938346,226000.0,211643,239589,133931,415842,477439,21264,15346,28320.0,22802.0,15998.0,0.46506
114,0.940276,228000.0,213955,242022,135322,420132,482435,21455,15446,28583.0,23000.0,16099.0,0.46506
115,0.942995,230000.0,216456,244615,136795,424704,487737,21629,15537,28867.0,23174.0,16190.0,0.45119
116,0.94467,232000.0,218726,246979,138144,428945,492627,21794,15630,29132.0,23348.0,16287.0,0.43985
117,0.947297,234000.0,221225,249573,139618,433515,497927,21968,15721,29416.0,23522.0,16378.0,0.47339
118,0.949904,236000.0,223730,252182,141098,438091,503244,22145,15814,29700.0,23700.0,16472.0,0.47339
119,0.952451,238000.0,226231,254780,142570,442663,508533,22319,15905,29983.0,23873.0,16562.0,0.47187
120,0.954943,240000.0,228729,257376,144044,447232,513832,22493,15996,30266.0,24047.0,16653.0,0.473
121,0.957419,242000.0,231233,259990,145528,451807,519150,22670,16089,30550.0,24226.0,16747.0,0.473
