IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.103909,2000.0,202,274,145,819,590,46,60,28.0,66.0,66.0,0.35996
2,0.109741,4000.0,436,637,376,2013,1592,119,90,91.0,192.0,136.0,0.35996
3,0.103384,6000.0,611,913,554,2917,2270,145,122,136.0,248.0,183.0,0.35996
4,0.105408,8000.0,840,1290,796,4072,3124,181,174,176.0,307.0,249.0,0.35996
5,0.10572,10000.0,1048,1621,1008,4952,3766,219,221,210.0,355.0,298.0,0.35996
6,0.149954,12000.0,1796,2860,1757,6885,5916,353,290,255.0,558.0,394.0,0.35996
7,0.171975,14000.0,2403,3840,2140,8572,7632,397,407,369.0,634.0,543.0,0.35996
8,0.181932,16000.0,2898,4491,2474,10967,8790,450,487,467.0,701.0,628.0,0.35996
9,0.171934,18000.0,3079,4721,2588,11759,9334,476,531,496.0,737.0,678.0,0.35996
10,0.167311,20000.0,3332,5095,2802,12678,10177,514,570,555.0,797.0,727.0,0.35996
11,0.185271,22000.0,4068,6477,3552,15135,12910,636,772,701.0,973.0,965.0,0.35996
12,0.236547,24000.0,5666,8678,4672,19078,17353,830,1000,998.0,1269.0,1228.0,0.35996
13,0.249565,26000.0,6451,9809,5382,20988,19597,959,1091,1146.0,1447.0,1334.0,0.35996
14,0.238826,28000.0,6674,10200,5631,22156,20455,1003,1160,1193.0,1507.0,1419.0,0.35996
15,0.237367,30000.0,7107,10805,5913,23474,21559,1071,1278,1258.0,1573.0,1560.0,0.35996
16,0.228289,32000.0,7279,11071,6085,24374,22143,1108,1327,1297.0,1616.0,1613.0,0.35996
17,0.22125,34000.0,7488,11359,6257,25197,22778,1157,1384,1330.0,1680.0,1676.0,0.35996
18,0.211989,36000.0,7614,11593,6411,25900,23353,1188,1408,1358.0,1748.0,1706.0,0.35996
19,0.212287,38000.0,8051,12249,6817,27549,24816,1281,1492,1438.0,1892.0,1806.0,0.37743
20,0.212319,40000.0,8476,12831,7137,28969,26109,1389,1578,1518.0,2057.0,1912.0,0.37743
21,0.247585,42000.0,10378,15129,8394,33114,30930,1871,1903,1897.0,2621.0,2304.0,0.37743
22,0.291804,44000.0,12814,17949,9942,37706,36684,2498,2332,2363.0,3313.0,2780.0,0.37743
23,0.333072,46000.0,15291,20738,11475,42219,42174,3127,2804,2818.0,3951.0,3265.0,0.37743
24,0.36587,48000.0,17527,23290,12873,46519,47222,3700,3231,3236.0,4543.0,3709.0,0.47762
25,0.401695,50000.0,20045,26095,14421,51067,52806,4344,3682,3711.0,5212.0,4177.0,0.47762
26,0.435016,52000.0,22576,28969,15984,55693,58580,4978,4153,4184.0,5880.0,4684.0,0.47762
27,0.46121,54000.0,24856,31565,17409,60019,63689,5564,4590,4609.0,6484.0,5137.0,0.47857
28,0.489882,56000.0,27379,34368,18949,64587,69323,6196,5033,5093.0,7141.0,5601.0,0.47857
29,0.513725,58000.0,29737,37003,20396,68956,74525,6799,5455,5545.0,7760.0,6035.0,0.47857
30,0.538568,60000.0,32250,39818,21940,73489,80082,7437,5925,6013.0,8416.0,6516.0,0.47939
31,0.559077,62000.0,34594,42594,23449,78035,85727,8038,6371,6451.0,9074.0,7015.0,0.47939
