IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.104016,2000.0,202,274,150,829,605,46,60,28.0,68.0,67.0,0.27892
2,0.109442,4000.0,437,614,360,2002,1554,119,90,92.0,195.0,127.0,0.27892
3,0.10536,6000.0,631,972,575,3101,2369,150,130,138.0,261.0,190.0,0.27892
4,0.106396,8000.0,840,1260,780,4272,3069,181,174,176.0,311.0,237.0,0.27892
5,0.105559,10000.0,1050,1601,1004,5179,3733,219,221,210.0,357.0,286.0,0.27892
6,0.155632,12000.0,1864,2966,1816,7335,6276,359,296,263.0,581.0,405.0,0.27892
7,0.170543,14000.0,2383,3759,2093,8790,7654,396,404,365.0,635.0,525.0,0.27892
8,0.181322,16000.0,2891,4431,2431,11133,8838,449,487,466.0,702.0,613.0,0.27892
9,0.171922,18000.0,3086,4667,2549,11969,9383,476,531,496.0,732.0,660.0,0.27892
10,0.164579,20000.0,3272,4954,2716,12860,10060,505,559,537.0,786.0,700.0,0.27892
11,0.173157,22000.0,3802,5894,3192,14827,11863,585,724,631.0,902.0,893.0,0.27892
12,0.22469,24000.0,5382,8140,4455,18740,16537,814,934,933.0,1215.0,1146.0,0.27892
13,0.24236,26000.0,6289,9550,5219,21173,19340,939,1087,1119.0,1428.0,1310.0,0.27892
14,0.235191,28000.0,6559,9948,5493,22282,20196,990,1127,1170.0,1493.0,1353.0,0.27892
15,0.232862,30000.0,6957,10571,5785,23535,21353,1048,1256,1230.0,1561.0,1509.0,0.27892
16,0.224238,32000.0,7155,10841,5942,24428,21984,1084,1308,1277.0,1606.0,1566.0,0.28594
17,0.216633,34000.0,7351,11174,6151,25245,22660,1134,1368,1312.0,1667.0,1634.0,0.28594
18,0.216154,36000.0,7745,11741,6491,26690,23887,1203,1436,1389.0,1776.0,1711.0,0.28594
19,0.216717,38000.0,8219,12545,6884,27987,25231,1366,1574,1425.0,1990.0,1876.0,0.28594
20,0.296936,40000.0,11854,18123,10164,33660,33681,1873,1806,1643.0,2662.0,2202.0,0.28594
21,0.375456,42000.0,15738,24026,13545,39704,42620,2502,2162,1866.0,3437.0,2653.0,0.49947
22,0.447772,44000.0,19663,29957,16953,45653,51345,3143,2522,2093.0,4160.0,3083.0,0.55651
23,0.520029,46000.0,23874,36266,20603,51776,60367,3803,2882,2340.0,4832.0,3443.0,0.55651
24,0.583613,48000.0,27958,42406,24142,57778,69165,4465,3246,2579.0,5514.0,3819.0,0.52642
25,0.640949,50000.0,31984,48442,27618,63716,77795,5113,3606,2813.0,6174.0,4179.0,0.5285
26,0.697131,52000.0,36179,54751,31197,69805,86782,5834,4046,3052.0,6910.0,4622.0,0.53556
27,0.749225,54000.0,40378,61034,34800,75922,95780,6536,4448,3295.0,7618.0,5010.0,0.53556
28,0.79776,56000.0,44586,67345,38419,82030,104781,7235,4832,3537.0,8328.0,5396.0,0.54753
29,0.842705,58000.0,48780,73627,42021,88122,113749,7927,5216,3779.0,9036.0,5777.0,0.52772
30,0.884855,60000.0,52986,79928,45661,94237,122756,8594,5581,4023.0,9710.0,6142.0,0.52783
31,0.924011,62000.0,57175,86199,49283,100342,131734,9252,5941,4268.0,10380.0,6502.0,0.52783
32,0.960954,64000.0,61379,92503,52931,106458,140756,9912,6301,4514.0,11053.0,6862.0,0.55898
33,0.995552,66000.0,65576,98790,56565,112569,149762,10571,6662,4760.0,11725.0,7223.0,0.52575
34,1.02866,68000.0,69810,105149,60240,118703,158831,11231,7022,5006.0,12397.0,7583.0,0.52837
35,1.059447,70000.0,74014,111443,63879,124818,167850,11891,7382,5252.0,13070.0,7943.0,0.53648
36,1.088565,72000.0,78221,117749,67526,130937,176865,12551,7742,5498.0,13742.0,8303.0,0.53648
37,1.114498,74000.0,82309,123892,71068,136943,185670,13213,8106,5738.0,14424.0,8679.0,0.54734
38,1.138248,76000.0,86335,129928,74544,142881,194300,13861,8466,5972.0,15084.0,9039.0,0.52817
39,1.162952,78000.0,90530,136237,78123,148970,203287,14582,8906,6211.0,15820.0,9482.0,0.52867
40,1.186471,80000.0,94729,142520,81726,155087,212285,15284,9308,6454.0,16528.0,9870.0,0.52867
41,1.208952,82000.0,98937,148831,85345,161195,221286,15983,9692,6696.0,17238.0,10256.0,0.55922
42,1.230196,84000.0,103131,155113,88947,167287,230254,16675,10076,6938.0,17946.0,10637.0,0.52599
43,1.250591,86000.0,107337,161414,92587,173402,239261,17342,10441,7182.0,18620.0,11002.0,0.52915
44,1.269866,88000.0,111526,167685,96209,179507,248239,18000,10801,7427.0,19290.0,11362.0,0.52915
45,1.288451,90000.0,115730,173989,99857,185623,257261,18660,11161,7673.0,19963.0,11722.0,0.5374
46,1.306152,92000.0,119927,180276,103491,191734,266267,19319,11522,7919.0,20635.0,12083.0,0.54663
47,1.323495,94000.0,124161,186635,107166,197868,275336,19979,11882,8165.0,21307.0,12443.0,0.5285
48,1.33978,96000.0,128363,192923,110801,203981,284350,20639,12242,8411.0,21980.0,12803.0,0.5285
49,1.355473,98000.0,132572,199235,114452,210102,293370,21299,12602,8657.0,22652.0,13163.0,0.52917
50,1.369325,100000.0,136660,205378,117994,216108,302175,21961,12966,8897.0,23334.0,13539.0,0.54668
51,1.38452,102000.0,140940,211801,121630,222297,311363,22712,13436,9141.0,24096.0,13997.0,0.53849
52,1.398466,104000.0,145151,218120,125252,228410,320364,23412,13820,9383.0,24805.0,14384.0,0.52973
53,1.411886,106000.0,149362,224426,128865,234517,329358,24109,14206,9625.0,25515.0,14768.0,0.52973
54,1.424632,108000.0,153554,230706,132483,240613,338344,24789,14581,9868.0,26207.0,15142.0,0.53809
55,1.436934,110000.0,157748,236996,136119,246719,347329,25447,14941,10113.0,26877.0,15502.0,0.54893
56,1.448769,112000.0,161939,243274,139748,252826,356325,26106,15301,10358.0,27549.0,15862.0,0.52859
57,1.460364,114000.0,166150,249583,143398,258949,365347,26766,15661,10605.0,28221.0,16222.0,0.52859
58,1.471534,116000.0,170358,255896,147045,265065,374376,27425,16022,10850.0,28893.0,16583.0,0.53005
59,1.482401,118000.0,174575,262211,150693,271187,383415,28084,16382,11096.0,29565.0,16943.0,0.54664
60,1.492815,120000.0,178781,268520,154343,277305,392434,28745,16742,11342.0,30238.0,17303.0,0.52586
61,1.502657,122000.0,182959,274781,157961,283401,401418,29413,17106,11588.0,30922.0,17675.0,0.52586
62,1.510953,124000.0,186985,280831,161445,289339,410061,30061,17466,11822.0,31586.0,18039.0,0.52973
63,1.519551,126000.0,191082,286963,164962,295345,418842,30733,17858,12060.0,32278.0,18434.0,0.53981
64,1.528757,128000.0,195291,293287,168556,301462,427868,31460,18296,12300.0,33006.0,18857.0,0.54733
65,1.537694,130000.0,199502,299606,172178,307575,436869,32160,18680,12542.0,33715.0,19244.0,0.52886
66,1.546361,132000.0,203713,305912,175791,313682,445863,32857,19066,12784.0,34425.0,19628.0,0.52886
67,1.554628,134000.0,207905,312192,179409,319778,454849,33537,19441,13027.0,35117.0,20002.0,0.53079
68,1.562665,136000.0,212099,318482,183045,325884,463834,34195,19801,13272.0,35787.0,20362.0,0.54683
69,1.570448,138000.0,216290,324760,186674,331991,472830,34854,20161,13517.0,36459.0,20722.0,0.52379
70,1.578152,140000.0,220501,331069,190324,338114,481852,35514,20521,13764.0,37131.0,21082.0,0.52379
71,1.585604,142000.0,224707,337377,193968,344228,490879,36173,20882,14009.0,37803.0,21443.0,0.52982
72,1.592939,144000.0,228926,343697,197619,350352,499920,36832,21242,14255.0,38475.0,21803.0,0.54273
73,1.599984,146000.0,233132,350006,201269,356470,508939,37493,21602,14501.0,39148.0,22163.0,0.54545
74,1.606648,148000.0,237310,356267,204887,362566,517923,38161,21966,14747.0,39832.0,22535.0,0.54545
75,1.61212,150000.0,241336,362317,208371,368504,526566,38809,22326,14981.0,40496.0,22899.0,0.52622
76,1.617916,152000.0,245433,368449,211888,374510,535347,39481,22718,15219.0,41188.0,23294.0,0.53084
77,1.62429,154000.0,249642,374773,215482,380627,544373,40208,23156,15459.0,41916.0,23717.0,0.54733
78,1.633911,156000.0,254382,381881,219554,387253,554493,41000,23581,15729.0,42722.0,24142.0,0.56752
79,1.643378,158000.0,259136,389012,223715,393920,564729,41694,23942,16011.0,43435.0,24503.0,0.56752
80,1.652451,160000.0,263865,396115,227755,400559,574915,42512,24434,16284.0,44274.0,24996.0,0.5747
81,1.656395,162000.0,267801,402048,231248,406578,583833,43090,24739,16560.0,44899.0,25328.0,0.54343
82,1.665156,164000.0,272541,409175,235273,413202,593971,43949,25245,16825.0,45763.0,25819.0,0.56914
