IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.102538,2000.0,202,333,172,931,763,46,60,28.0,105.0,85.0,0.27828
2,0.111139,4000.0,436,792,445,2185,2050,119,90,91.0,285.0,184.0,0.27828
3,0.10202,6000.0,611,1106,644,3091,2779,145,122,136.0,347.0,238.0,0.27828
4,0.106199,8000.0,848,1469,881,4394,3629,181,176,177.0,401.0,300.0,0.27828
5,0.106428,10000.0,1053,1793,1085,5181,4296,219,223,210.0,454.0,348.0,0.27828
6,0.165408,12000.0,1971,3350,2017,7603,7211,380,311,273.0,707.0,479.0,0.27828
7,0.17176,14000.0,2400,4028,2216,8980,8324,396,408,369.0,734.0,599.0,0.27828
8,0.181299,16000.0,2891,4673,2549,11407,9472,449,487,466.0,801.0,683.0,0.27828
9,0.17146,18000.0,3076,4894,2658,12226,10002,475,531,495.0,832.0,732.0,0.27828
10,0.162567,20000.0,3245,5149,2802,13042,10607,502,559,533.0,881.0,770.0,0.27828
11,0.171854,22000.0,3771,6063,3262,14789,12331,579,719,622.0,989.0,956.0,0.27828
12,0.213209,24000.0,5107,8031,4352,18376,16447,771,890,892.0,1254.0,1168.0,0.27828
13,0.241881,26000.0,6271,9739,5307,21255,19833,938,1079,1114.0,1515.0,1376.0,0.27828
14,0.23695,28000.0,6600,10183,5574,22415,20711,988,1125,1172.0,1570.0,1428.0,0.27828
15,0.226312,30000.0,6776,10524,5746,23381,21495,1033,1187,1204.0,1641.0,1513.0,0.27828
16,0.227197,32000.0,7256,11380,5776,25416,22489,1257,1411,1209.0,1873.0,1747.0,0.27828
17,0.22904,34000.0,7772,12589,5806,27776,23575,1497,1651,1215.0,2134.0,2008.0,0.27828
18,0.230093,36000.0,8267,13545,5936,29857,24851,1721,1866,1238.0,2370.0,2228.0,0.27828
19,0.223889,38000.0,8491,15129,6096,32269,25811,1881,1994,1270.0,2530.0,2356.0,0.27828
20,0.218081,40000.0,8706,16656,6246,34664,26722,2035,2116,1301.0,2680.0,2476.0,0.27828
21,0.231311,42000.0,9691,18752,6697,37911,29696,2133,2452,1586.0,2790.0,2816.0,0.27828
22,0.227741,44000.0,9991,19229,6987,39101,30674,2187,2500,1633.0,2870.0,2874.0,0.42378
23,0.221748,46000.0,10180,19532,7157,40200,31358,2214,2540,1670.0,2926.0,2931.0,0.42378
24,0.220162,48000.0,10542,20100,7482,41498,32518,2286,2613,1736.0,3039.0,3024.0,0.42378
25,0.228032,50000.0,11379,21408,8262,43885,35387,2430,2720,1897.0,3257.0,3154.0,0.42378
26,0.252963,52000.0,13128,24202,9412,47914,40514,2650,3129,2340.0,3550.0,3624.0,0.42378
27,0.283543,54000.0,15281,27262,11072,52655,46633,3045,3506,2772.0,4051.0,4024.0,0.42378
28,0.315679,56000.0,17643,30676,12636,57544,52903,3378,3998,3302.0,4448.0,4539.0,0.42378
29,0.347689,58000.0,20126,34328,14252,62594,59445,3711,4508,3889.0,4835.0,5072.0,0.39607
30,0.376614,60000.0,22552,37880,15779,67558,65819,4049,5037,4456.0,5213.0,5626.0,0.39607
31,0.404625,62000.0,25037,41513,17344,72597,72386,4396,5568,5035.0,5605.0,6192.0,0.39607
32,0.428334,64000.0,27359,44944,18826,77478,78587,4689,6045,5580.0,5954.0,6693.0,0.40159
33,0.451396,66000.0,29733,48467,20361,82436,85011,5015,6548,6150.0,6350.0,7226.0,0.40159
34,0.473248,68000.0,32117,51842,22115,87339,91416,5439,6970,6638.0,6848.0,7679.0,0.40159
35,0.494782,70000.0,34566,55322,23753,92290,97837,5806,7448,7172.0,7270.0,8197.0,0.3884
36,0.515983,72000.0,37077,58993,25316,97364,104383,6141,7994,7779.0,7640.0,8758.0,0.3884
37,0.533695,74000.0,39415,62527,26829,102321,110787,6440,8493,8340.0,7999.0,9293.0,0.3884
38,0.551385,76000.0,41822,66011,28446,107292,117273,6780,8979,8874.0,8410.0,9841.0,0.39676
39,0.567474,78000.0,44175,69530,29982,112277,123745,7088,9467,9437.0,8781.0,10375.0,0.39676
40,0.584073,80000.0,46633,73114,31538,117276,130225,7433,10006,10011.0,9174.0,10933.0,0.39676
41,0.60001,82000.0,49103,76744,33145,122319,136770,7752,10509,10588.0,9537.0,11451.0,0.39847
42,0.615378,84000.0,51589,80399,34761,127343,143282,8107,11049,11163.0,9926.0,12011.0,0.39847
43,0.629834,86000.0,54058,84009,36374,132376,149807,8446,11555,11738.0,10309.0,12522.0,0.39847
44,0.643211,88000.0,56490,87379,38036,137226,155956,8840,12014,12258.0,10729.0,12992.0,0.39847
45,0.657296,90000.0,59039,91012,39785,142240,162472,9239,12513,12815.0,11161.0,13507.0,0.38616
46,0.670802,92000.0,61591,94613,41447,147276,168971,9618,13034,13390.0,11571.0,14038.0,0.38616
47,0.685299,94000.0,64290,98403,43117,152419,175666,9987,13600,14004.0,11956.0,14616.0,0.38616
48,0.697481,96000.0,66825,102003,44695,157445,182100,10343,14145,14595.0,12333.0,15173.0,0.38685
49,0.708716,98000.0,69316,105533,46243,162432,188463,10670,14667,15177.0,12683.0,15705.0,0.38685
50,0.719612,100000.0,71818,109121,47820,167465,195019,11023,15205,15753.0,13084.0,16279.0,0.38685
51,0.731338,102000.0,74448,112885,49488,172601,201723,11392,15758,16357.0,13484.0,16849.0,0.39149
52,0.741601,104000.0,76973,116554,51100,177647,208215,11750,16267,16948.0,13863.0,17369.0,0.39149
53,0.751931,106000.0,79546,120203,52777,182731,214832,12130,16799,17533.0,14275.0,17917.0,0.39149
54,0.760152,108000.0,81933,123467,54481,187532,220951,12553,17216,18016.0,14741.0,18346.0,0.40317
55,0.769323,110000.0,84457,127088,56128,192594,227536,12904,17737,18585.0,15137.0,18882.0,0.40317
56,0.777995,112000.0,86962,130736,57746,197622,234020,13254,18261,19164.0,15511.0,19418.0,0.40317
57,0.786979,114000.0,89537,134492,59396,202727,240724,13601,18780,19761.0,15899.0,19952.0,0.40746
58,0.79504,116000.0,92041,138157,60992,207781,247249,13938,19281,20349.0,16281.0,20472.0,0.40746
59,0.801766,118000.0,94420,141700,62545,212721,253600,14269,19788,20912.0,16667.0,21011.0,0.40746
60,0.809612,120000.0,96960,145351,64132,217803,260208,14613,20324,21508.0,17054.0,21549.0,0.38915
61,0.816783,122000.0,99449,149015,65751,222873,266805,14948,20834,22092.0,17443.0,22082.0,0.38915
62,0.823641,124000.0,101928,152603,67321,227898,273315,15282,21372,22667.0,17819.0,22640.0,0.38915
63,0.82974,126000.0,104339,156085,68826,232814,279550,15621,21913,23230.0,18190.0,23191.0,0.36435
64,0.836761,128000.0,106892,159719,70427,237865,286072,15976,22447,23823.0,18577.0,23737.0,0.36435
65,0.844452,130000.0,109560,163468,72081,243000,292732,16350,22992,24442.0,18971.0,24294.0,0.36435
66,0.851667,132000.0,112196,167183,73774,248103,299373,16739,23537,25039.0,19379.0,24849.0,0.38913
67,0.857993,134000.0,114742,170758,75603,253118,305951,17172,23996,25564.0,19854.0,25327.0,0.38913
68,0.864502,136000.0,117338,174359,77339,258188,312579,17572,24491,26124.0,20293.0,25842.0,0.38913
69,0.87088,138000.0,119942,178064,78978,263277,319195,17922,25042,26717.0,20673.0,26404.0,0.39616
70,0.87674,140000.0,122499,181760,80585,268341,325729,18286,25559,27325.0,21065.0,26941.0,0.39616
71,0.88108,142000.0,124864,185347,82132,273307,332143,18595,26035,27888.0,21435.0,27437.0,0.39616
72,0.885807,144000.0,127302,188899,83691,278293,338559,18927,26562,28452.0,21813.0,27981.0,0.40019
73,0.891812,146000.0,129945,192720,85367,283459,345358,19280,27096,29067.0,22199.0,28535.0,0.40019
74,0.896402,148000.0,132403,196326,86975,288461,351821,19618,27591,29634.0,22589.0,29059.0,0.40019
75,0.901677,150000.0,134982,199977,88568,293525,358338,19967,28141,30222.0,22958.0,29607.0,0.38589
76,0.90688,152000.0,137571,203668,90204,298635,365000,20335,28687,30821.0,23362.0,30171.0,0.38589
77,0.911993,154000.0,140167,207383,91842,303710,371570,20703,29245,31414.0,23748.0,30739.0,0.38589
78,0.916263,156000.0,142652,211004,93452,308759,378087,21048,29758,32005.0,24128.0,31262.0,0.38656
79,0.921216,158000.0,145262,214693,95129,313866,384712,21432,30306,32601.0,24533.0,31820.0,0.38656
80,0.926297,160000.0,147912,218390,96862,318971,391384,21841,30835,33186.0,24966.0,32361.0,0.38656
