IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.098446,2000.0,190,263,139,788,547,43,58,25.0,64.0,64.0,0.25865
2,0.111026,4000.0,436,663,394,2054,1630,119,90,91.0,199.0,137.0,0.25865
3,0.100852,6000.0,604,909,553,2987,2239,144,122,133.0,249.0,177.0,0.25865
4,0.105983,8000.0,845,1312,808,4221,3129,181,174,176.0,312.0,244.0,0.25865
5,0.104999,10000.0,1048,1636,1015,5099,3746,219,221,210.0,356.0,293.0,0.25865
6,0.140018,12000.0,1677,2644,1629,6779,5443,335,275,244.0,519.0,365.0,0.25865
7,0.173549,14000.0,2425,3885,2158,8874,7610,397,413,375.0,627.0,544.0,0.25865
8,0.181477,16000.0,2898,4505,2486,11281,8724,450,487,467.0,694.0,623.0,0.25865
9,0.170908,18000.0,3069,4727,2593,12105,9239,474,531,494.0,726.0,673.0,0.25865
10,0.162817,20000.0,3250,5000,2748,12952,9839,503,559,533.0,773.0,710.0,0.25865
11,0.171881,22000.0,3774,5867,3183,14730,11480,579,718,623.0,875.0,886.0,0.25865
12,0.215672,24000.0,5166,7918,4333,18399,15796,788,894,905.0,1166.0,1102.0,0.25865
13,0.241551,26000.0,6268,9511,5212,21125,18955,938,1083,1115.0,1394.0,1302.0,0.25865
14,0.235486,28000.0,6575,9954,5506,22299,19892,991,1128,1173.0,1463.0,1350.0,0.25865
15,0.232557,30000.0,6963,10586,5800,23525,21066,1046,1261,1229.0,1532.0,1514.0,0.25865
16,0.224028,32000.0,7142,10802,5932,24421,21548,1080,1311,1268.0,1567.0,1562.0,0.25865
17,0.215395,34000.0,7309,11091,6136,25275,22180,1131,1349,1307.0,1637.0,1613.0,0.25865
18,0.209775,36000.0,7537,11442,6342,26359,23059,1164,1404,1348.0,1697.0,1674.0,0.25865
19,0.209107,38000.0,7912,12043,6723,27646,24300,1258,1489,1424.0,1834.0,1775.0,0.25865
20,0.21609,40000.0,8616,13166,7402,29652,26687,1414,1631,1561.0,2049.0,1950.0,0.25865
21,0.211108,42000.0,8851,13574,7472,30642,27397,1510,1723,1577.0,2181.0,2079.0,0.25865
22,0.213376,44000.0,9372,14662,7504,33003,28470,1752,1966,1583.0,2433.0,2331.0,0.25865
23,0.216036,46000.0,9920,15877,7537,35451,29568,2008,2222,1589.0,2689.0,2587.0,0.25865
24,0.218516,48000.0,10470,17062,7567,37838,30660,2264,2478,1595.0,2940.0,2839.0,0.25865
25,0.216629,50000.0,10812,17467,7754,39111,31581,2377,2584,1646.0,3058.0,2935.0,0.37589
26,0.211322,52000.0,10969,17695,7892,39841,32154,2407,2609,1680.0,3113.0,2976.0,0.37589
27,0.21387,54000.0,11514,18454,8338,41480,33854,2513,2710,1781.0,3264.0,3099.0,0.37589
