IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
1,0.105158,2000.0,210,356,177,1035,851,48,62,29.0,121.0,93.0,0.2708
2,0.1142,4000.0,456,759,429,2282,1923,123,99,95.0,251.0,171.0,0.2708
3,0.10536,6000.0,631,1085,625,3295,2669,150,130,138.0,308.0,221.0,0.2708
4,0.108905,8000.0,861,1405,841,4445,3404,183,176,180.0,356.0,271.0,0.2708
5,0.109892,10000.0,1092,1775,1077,5394,4095,229,230,215.0,411.0,328.0,0.2708
6,0.1654,12000.0,1981,3254,1963,7637,6763,382,312,274.0,651.0,450.0,0.2708
7,0.188363,14000.0,2632,4256,2271,9591,8377,404,459,422.0,683.0,628.0,0.2708
8,0.187426,16000.0,2993,4666,2548,11487,9277,466,509,486.0,748.0,680.0,0.2708
9,0.174833,18000.0,3133,4880,2660,12095,9716,483,540,507.0,788.0,719.0,0.2708
10,0.170494,20000.0,3400,5243,2894,13248,10527,536,579,567.0,859.0,763.0,0.2708
11,0.200483,22000.0,4402,6968,3810,16323,13963,675,813,773.0,1069.0,1042.0,0.2708
12,0.249969,24000.0,5984,9180,4974,20164,18425,884,1055,1058.0,1397.0,1313.0,0.2708
13,0.249961,26000.0,6471,9879,5430,21642,19857,969,1107,1149.0,1510.0,1369.0,0.2708
14,0.243165,28000.0,6795,10353,5719,22829,20866,1017,1181,1210.0,1570.0,1447.0,0.2708
15,0.236914,30000.0,7079,10795,6001,23859,21822,1073,1230,1262.0,1655.0,1505.0,0.2708
16,0.239252,32000.0,7641,11544,6409,25612,23445,1206,1334,1376.0,1820.0,1622.0,0.2708
17,0.248755,34000.0,8441,12735,6941,27694,25836,1353,1532,1539.0,2007.0,1839.0,0.2708
18,0.28136,36000.0,10109,15009,7990,31120,30235,1654,1922,1845.0,2347.0,2245.0,0.2708
19,0.275793,38000.0,10452,15500,8229,32351,31206,1712,2019,1900.0,2422.0,2364.0,0.2708
20,0.2668,40000.0,10644,15794,8440,33177,31903,1762,2055,1951.0,2481.0,2410.0,0.2708
21,0.257963,42000.0,10787,16017,8562,33803,32380,1816,2098,1975.0,2552.0,2458.0,0.2708
22,0.248438,44000.0,10896,16200,8679,34414,32843,1841,2125,1998.0,2592.0,2489.0,0.2708
23,0.252391,46000.0,11587,17218,9307,36233,34900,2007,2279,2149.0,2797.0,2659.0,0.23502
24,0.245947,48000.0,11772,17513,9496,37034,35571,2055,2320,2189.0,2884.0,2711.0,0.23502
25,0.245787,50000.0,12265,18428,9894,38751,37125,2106,2547,2251.0,2944.0,2944.0,0.23502
26,0.256046,52000.0,13288,19978,10829,41842,40210,2401,2801,2504.0,3279.0,3227.0,0.23502
27,0.287625,54000.0,15501,23114,12764,46589,46113,3047,3358,3058.0,3924.0,3779.0,0.23502
28,0.308504,56000.0,17242,25692,14268,50144,50508,3337,3632,3339.0,4239.0,4068.0,0.23502
29,0.338827,58000.0,19613,29146,16242,54610,55651,3436,3731,3537.0,4337.0,4167.0,0.23502
30,0.357359,60000.0,21399,31252,17254,58580,60111,3575,3772,3890.0,4479.0,4207.0,0.40736
31,0.364804,62000.0,22573,32655,17887,61446,63084,3720,3859,4151.0,4631.0,4296.0,0.40736
32,0.376575,64000.0,24053,35375,19229,64553,67178,4238,4059,4238.0,5355.0,4535.0,0.40736
33,0.419013,66000.0,27600,41729,22153,69721,74674,5678,4524,4397.0,6796.0,5010.0,0.40736
34,0.413325,68000.0,28035,42353,22440,70900,75789,5731,4586,4455.0,6858.0,5079.0,0.40736
35,0.424771,70000.0,29652,44329,23432,74104,79715,5796,4659,4607.0,6955.0,5167.0,0.40736
36,0.417101,72000.0,29927,44668,23633,75142,80653,5830,4690,4653.0,7007.0,5209.0,0.41327
37,0.409958,74000.0,30252,45043,23887,76073,81495,5869,4715,4687.0,7066.0,5237.0,0.41327
38,0.403407,76000.0,30598,45461,24115,77089,82465,5907,4735,4730.0,7129.0,5266.0,0.41327
39,0.431378,78000.0,33553,48486,25730,81706,88430,6165,4813,5099.0,7393.0,5344.0,0.41327
40,0.423818,80000.0,33827,48789,25903,82572,89140,6193,4831,5138.0,7429.0,5368.0,0.41327
41,0.446143,82000.0,36511,51567,27378,86898,94721,6413,4897,5479.0,7680.0,5441.0,0.41327
42,0.445863,84000.0,37378,52520,27899,88676,96697,6512,4941,5583.0,7809.0,5497.0,0.40567
43,0.46045,86000.0,39520,54767,29093,92299,101262,6686,4995,5856.0,8011.0,5571.0,0.40567
44,0.463395,88000.0,40681,56031,29781,94647,103994,6794,5040,6005.0,8151.0,5627.0,0.40567
45,0.476025,90000.0,42757,58195,30932,98130,108391,6962,5094,6272.0,8343.0,5685.0,0.4043
46,0.504329,92000.0,46306,61817,32858,103585,115497,7255,5178,6720.0,8634.0,5769.0,0.4043
47,0.531099,94000.0,49824,65399,34749,109015,122569,7537,5268,7170.0,8918.0,5859.0,0.4043
48,0.556931,96000.0,53359,69016,36673,114457,129671,7833,5352,7617.0,9213.0,5943.0,0.41013
49,0.581586,98000.0,56882,72600,38567,119890,136744,8116,5439,8067.0,9496.0,6031.0,0.41013
50,0.605355,100000.0,60415,76216,40489,125332,143842,8411,5526,8514.0,9791.0,6117.0,0.41142
51,0.628152,102000.0,63944,79807,42390,130770,150919,8695,5613,8964.0,10074.0,6204.0,0.41142
52,0.650053,104000.0,67471,83415,44304,136207,158008,8989,5700,9411.0,10369.0,6291.0,0.41142
53,0.662829,106000.0,70120,86174,45728,140620,163579,9222,5785,9779.0,10616.0,6383.0,0.44083
54,0.657363,108000.0,70848,87207,46199,142407,165447,9409,5902,9895.0,10813.0,6506.0,0.44083
55,0.666591,110000.0,73179,90869,48199,146134,170229,10548,6242,9907.0,11986.0,6861.0,0.44083
56,0.68413,112000.0,76470,95948,51003,151146,176862,12164,6714,9923.0,13610.0,7326.0,0.6437
57,0.700825,114000.0,79735,100993,53773,156137,183423,13765,7178,9939.0,15212.0,7791.0,0.6437
58,0.716902,116000.0,82995,106057,56537,161124,189983,15363,7642,9955.0,16810.0,8271.0,0.6461
59,0.732459,118000.0,86258,111124,59303,166114,196543,16963,8106,9971.0,18409.0,8743.0,0.6461
60,0.73453,120000.0,87968,113777,60630,169263,200422,17532,8343,10103.0,18962.0,8960.0,0.6461
61,0.733096,122000.0,89198,115726,61556,171601,202946,17798,8437,10157.0,19232.0,9055.0,0.6461
62,0.723118,124000.0,89488,116088,61740,172436,203636,17842,8462,10187.0,19282.0,9080.0,0.39619
63,0.719711,126000.0,90503,117354,62429,174688,206098,17972,8577,10368.0,19438.0,9201.0,0.39619
64,0.727222,128000.0,92899,121049,64301,179375,212112,18839,8904,10577.0,20437.0,9597.0,0.39619
65,0.740591,130000.0,96085,125933,66995,184301,218514,20400,9368,10593.0,21998.0,10041.0,0.39619
66,0.753509,132000.0,99265,130839,69680,189222,224898,21957,9832,10609.0,23555.0,10501.0,0.64784
67,0.765563,134000.0,102381,135697,72330,194093,231176,23486,10267,10624.0,25086.0,10959.0,0.64784
68,0.777793,136000.0,105569,140579,75024,199021,237572,25048,10731,10640.0,26646.0,11400.0,0.64784
69,0.785594,138000.0,108196,144567,77181,203275,242962,26246,11075,10712.0,27832.0,11747.0,0.53796
70,0.790604,140000.0,110464,148132,78841,207522,248015,26685,11326,10884.0,28280.0,12013.0,0.53796
71,0.796277,142000.0,112846,151258,80412,212195,253787,27196,11621,11271.0,28859.0,12324.0,0.53796
72,0.806517,144000.0,115907,155985,83015,217022,259948,28698,12058,11286.0,30362.0,12759.0,0.53894
73,0.816408,146000.0,118958,160703,85603,221843,266083,30194,12493,11301.0,31860.0,13194.0,0.53894
74,0.826038,148000.0,122010,165420,88186,226666,272220,31690,12928,11316.0,33355.0,13637.0,0.64543
75,0.835412,150000.0,125062,170151,90769,231489,278353,33186,13363,11331.0,34849.0,14081.0,0.64543
76,0.844499,152000.0,128108,174870,93350,236306,284479,34679,13798,11346.0,36344.0,14522.0,0.64543
77,0.849609,154000.0,130579,178742,95221,240823,289936,35349,14081,11534.0,37006.0,14787.0,0.46531
78,0.853471,156000.0,132876,181546,96627,245332,295266,35678,14280,11911.0,37346.0,14994.0,0.46531
79,0.861699,158000.0,135877,186259,99141,250214,301573,37070,14748,11981.0,38766.0,15486.0,0.46531
80,0.870298,160000.0,138970,191003,101749,255068,307781,38583,15206,11997.0,40281.0,15924.0,0.65181
81,0.878486,162000.0,142031,195723,104345,259897,313934,40085,15644,12012.0,41782.0,16359.0,0.65181
82,0.88642,164000.0,145083,200442,106936,264719,320071,41582,16079,12027.0,43281.0,16794.0,0.65181
83,0.894138,166000.0,148131,205154,109520,269538,326204,43076,16514,12042.0,44777.0,17232.0,0.65039
84,0.899585,168000.0,150829,209346,111639,274249,332062,44035,16862,12205.0,45716.0,17579.0,0.65039
85,0.903549,170000.0,153297,212704,113345,278832,337559,44452,17093,12498.0,46149.0,17818.0,0.65039
86,0.895146,172000.0,153658,213181,113615,279760,338388,44552,17154,12509.0,46264.0,17890.0,0.34279
87,0.887886,174000.0,154184,213896,114045,281360,339843,44659,17254,12597.0,46398.0,17999.0,0.34279
88,0.88715,176000.0,155827,216324,115533,285250,344452,45131,17661,13008.0,46896.0,18418.0,0.34279
89,0.890383,178000.0,158172,219685,117601,290197,350753,45815,18248,13596.0,47582.0,19014.0,0.34279
90,0.893827,180000.0,160568,223182,119589,294698,355968,45927,18380,13794.0,47691.0,19136.0,0.34279
91,0.89599,182000.0,162745,226072,121142,299062,360969,46055,18458,14092.0,47821.0,19215.0,0.44522
92,0.895857,184000.0,164509,228098,122026,303155,365440,46255,18553,14502.0,48028.0,19310.0,0.44522
93,0.909648,186000.0,168857,235856,125733,309101,374451,48079,19085,14614.0,49867.0,19845.0,0.44522
94,0.913972,188000.0,171484,239272,127309,313974,380421,48317,19341,14935.0,50128.0,20114.0,0.47806
95,0.921143,190000.0,174668,242553,129119,319161,387153,48613,19475,15352.0,50447.0,20258.0,0.47806
96,0.928952,192000.0,178003,245985,130952,324452,394041,48908,19576,15775.0,50773.0,20363.0,0.4007
97,0.936435,194000.0,181306,249396,132767,329705,400830,49201,19677,16191.0,51085.0,20478.0,0.4007
98,0.943152,196000.0,184489,252664,134500,334733,407338,49477,19774,16599.0,51377.0,20577.0,0.4007
99,0.951489,198000.0,188019,256259,136406,340171,414423,49763,19860,17048.0,51662.0,20663.0,0.3981
100,0.959624,200000.0,191542,259864,138316,345604,421507,50054,19948,17495.0,51955.0,20751.0,0.3981
101,0.967653,202000.0,195076,263467,140229,351046,428597,50343,20033,17944.0,52242.0,20837.0,0.41057
102,0.975485,204000.0,198602,267064,142132,356482,435682,50632,20122,18393.0,52533.0,20925.0,0.41057
103,0.98319,206000.0,202133,270674,144050,361922,442771,50923,20206,18839.0,52822.0,21010.0,0.41114
104,0.990688,208000.0,205652,274265,145948,367353,449847,51210,20296,19288.0,53111.0,21099.0,0.41114
105,0.998163,210000.0,209196,277882,147872,372803,456956,51503,20380,19736.0,53402.0,21183.0,0.46821
106,1.003162,212000.0,212246,281000,149466,377885,463376,51767,20471,20187.0,53675.0,21277.0,0.46821
107,1.007847,214000.0,215249,285718,151981,382769,469685,53157,20937,20259.0,55095.0,21769.0,0.46821
108,1.01291,216000.0,218352,290465,154595,387629,475912,54675,21398,20275.0,56612.0,22207.0,0.58759
109,1.017664,218000.0,221408,295185,157188,392454,482059,56174,21835,20290.0,58114.0,22642.0,0.58759
110,1.022322,220000.0,224462,299904,159780,397277,488200,57672,22270,20305.0,59612.0,23077.0,0.64519
111,1.026878,222000.0,227512,304615,162364,402098,494330,59167,22705,20320.0,61107.0,23516.0,0.64519
112,1.029832,224000.0,230222,308845,164502,406818,500224,60127,23055,20484.0,62052.0,23864.0,0.64519
113,1.031616,226000.0,232680,312184,166175,411377,505631,60541,23304,20771.0,62484.0,24116.0,0.46756
114,1.034705,228000.0,235442,316221,168282,416123,511625,61629,23684,20961.0,63600.0,24496.0,0.46756
115,1.038995,230000.0,238492,320936,170871,420943,517757,63124,24119,20976.0,65097.0,24931.0,0.46756
116,1.04322,232000.0,241544,325663,173456,425766,523900,64620,24554,20991.0,66593.0,25376.0,0.65269
117,1.047364,234000.0,244594,330389,176038,430586,530030,66115,24989,21006.0,68089.0,25821.0,0.65269
118,1.051446,236000.0,247646,335106,178619,435409,536162,67611,25424,21021.0,69583.0,26261.0,0.6078
119,1.054445,238000.0,250457,339374,180906,440103,542031,68817,25800,21125.0,70768.0,26614.0,0.6078
120,1.055799,240000.0,252886,342946,182615,444574,547307,69232,26029,21357.0,71193.0,26845.0,0.6078
121,1.056911,242000.0,255262,346371,184326,449323,553349,69915,26363,21661.0,72003.0,27241.0,0.48344
122,1.059221,244000.0,257934,350785,186750,454056,559456,71226,26748,21675.0,73490.0,27692.0,0.48344
123,1.06188,246000.0,260701,355077,189086,458657,565057,72581,27139,21688.0,74852.0,28101.0,0.48344
124,1.064508,248000.0,263471,359377,191450,463246,570642,73942,27531,21702.0,76218.0,28500.0,0.65324
125,1.06719,250000.0,266265,363670,193819,467854,576251,75311,27937,21716.0,77587.0,28887.0,0.65324
126,1.069814,252000.0,269056,367978,196175,472461,581854,76678,28343,21730.0,78952.0,29291.0,0.65324
127,1.071497,254000.0,271618,372002,198259,477076,587488,77671,28670,21869.0,79953.0,29627.0,0.50248
128,1.072813,256000.0,274093,375523,199999,481578,592854,78102,28919,22118.0,80399.0,29885.0,0.50248
129,1.074249,258000.0,276604,379049,201794,486240,598582,78933,29258,22379.0,81270.0,30230.0,0.50248
130,1.076626,260000.0,279365,383326,204135,490822,604145,80290,29641,22392.0,82629.0,30630.0,0.58286
131,1.079077,262000.0,282155,387630,206506,495426,609757,81657,30047,22406.0,83998.0,31024.0,0.58286
132,1.081507,264000.0,284949,391930,208868,500034,615360,83026,30453,22420.0,85366.0,31419.0,0.58286
133,1.083821,266000.0,287722,396213,211204,504626,620926,84382,30855,22434.0,86718.0,31825.0,0.65038
134,1.086041,268000.0,290479,400497,213545,509205,626483,85737,31236,22447.0,88076.0,32227.0,0.65038
135,1.086777,270000.0,292845,404207,215434,513565,631809,86553,31548,22607.0,88903.0,32524.0,0.65038
136,1.087767,272000.0,295283,407559,217115,518081,637188,86963,31771,22880.0,89337.0,32756.0,0.40138
137,1.088198,274000.0,297572,410825,219110,522850,643327,87612,32285,23349.0,90018.0,33284.0,0.40138
138,1.089432,276000.0,300084,414433,221302,527962,649965,88293,32891,23934.0,90697.0,33893.0,0.40138
139,1.090151,278000.0,302458,417894,223279,532431,655102,88392,32990,24132.0,90796.0,33992.0,0.40138
140,1.089765,280000.0,304526,420600,224688,536725,659998,88524,33058,24442.0,90931.0,34060.0,0.33824
141,1.088552,282000.0,306360,422698,225646,540864,664473,88743,33186,24853.0,91153.0,34189.0,0.33824
142,1.096269,284000.0,310720,430551,229360,546844,673560,90576,33726,24974.0,93008.0,34737.0,0.33824
143,1.097961,286000.0,313391,433866,230933,551732,679594,90796,33956,25306.0,93245.0,34973.0,0.48684
144,1.102172,288000.0,316793,437393,232852,557094,686587,91106,34087,25729.0,93578.0,35109.0,0.48684
145,1.106509,290000.0,320248,440937,234752,562476,693618,91415,34188,26165.0,93897.0,35212.0,0.40177
146,1.110652,292000.0,323664,444460,236626,567841,700620,91716,34294,26597.0,94218.0,35332.0,0.40177
147,1.114681,294000.0,327063,447939,238469,573182,707552,92007,34398,27034.0,94522.0,35436.0,0.40503
148,1.11914,296000.0,330605,451549,240389,578631,714653,92298,34482,27482.0,94813.0,35520.0,0.40503
149,1.123444,298000.0,334119,455136,242285,584057,721730,92585,34572,27931.0,95102.0,35610.0,0.41035
150,1.127805,300000.0,337667,458762,244213,589511,728832,92878,34656,28379.0,95393.0,35694.0,0.41035
151,1.132018,302000.0,341188,462341,246103,594944,735905,93160,34746,28829.0,95677.0,35784.0,0.41121
152,1.136219,304000.0,344722,465961,248028,600385,743008,93455,34830,29276.0,95972.0,35868.0,0.41121
