,0.5
9667500,0.41809
19770000,0.34119
20653500,0.3948
21897000,0.41677
22858500,0.44282
24072000,0.4453
24136000,0.46123
24296000,0.48236
24703500,0.49691
24820000,0.5305
26037000,0.53027
29107000,0.50696
29373000,0.51952
29429500,0.54428
30368000,0.54937
31919500,0.53902
33696000,0.52943
34035000,0.54311
35745000,0.53376
36511000,0.54551
39214500,0.51642
40603500,0.51074
42327500,0.49771
42405000,0.51136
42892000,0.52631
45237000,0.51663
47111500,0.51085
47645500,0.51807
51465500,0.4975
51839500,0.50298
51877500,0.51344
52687000,0.51619
52733000,0.52987
55007500,0.51993
56314500,0.51407
58361500,0.50041
58762000,0.5065
61177500,0.50008
62572000,0.50396
64704000,0.49779
65881000,0.49866
66203000,0.50628
66747500,0.51359
68908500,0.50546
71059500,0.49463
72665500,0.49295
72739500,0.50412
73856500,0.50548
75035000,0.5054
76395000,0.50722
78257500,0.50348
84626500,0.46936
85110000,0.4768
85762500,0.48364
87830000,0.47673
91406500,0.4653
91644000,0.47301
91955500,0.47763
92688000,0.48158
93141500,0.48601
93311500,0.49081
93594000,0.49574
93724000,0.50092
94260000,0.50555
100623500,0.47902
101084500,0.48473
102678500,0.48154
102749000,0.48859
103013500,0.492
103855500,0.49287
104126500,0.49853
104736500,0.50225
105631000,0.50472
106302000,0.50788
106514500,0.51259
107317000,0.51304
108843500,0.51187
110037000,0.51182
110449500,0.5151
111116000,0.51689
111270500,0.51877
111287000,0.52462
113984500,0.52152
115412000,0.51848
115954500,0.52225
116992000,0.52193
117792000,0.52514
118965500,0.52783
119037500,0.53289
119296500,0.535
119702000,0.53774
121274000,0.5362
128092500,0.51406
128651500,0.51833
129495500,0.51835
131200000,0.52082
133151500,0.51759
133875500,0.5205
134241500,0.5244
135685000,0.52334
137230000,0.52156
137516500,0.52638
138688000,0.52514
139168000,0.52873
140539500,0.52569
142221000,0.52533
143574500,0.52586
144187000,0.52697
144254000,0.52979
148045000,0.52124
148572500,0.52245
149355000,0.52448
151364000,0.52114
152217500,0.52261
152625000,0.52475
152893000,0.52892
155860000,0.52502
157102500,0.52497
158298500,0.52448
158381500,0.52635
158607500,0.52833
160135500,0.52811
160693000,0.53035
161342500,0.53107
162172000,0.53051
163050500,0.53182
163865500,0.53515
165555500,0.53214
166911500,0.53113
167191000,0.53387
170522000,0.52637
170567500,0.53022
171048500,0.53282
173267000,0.53002
173436000,0.53366
173712000,0.53614
174900000,0.53472
175938500,0.53378
180669500,0.52268
182338500,0.52182
182478000,0.52438
186084000,0.51931
188636500,0.51583
188987000,0.51668
189093500,0.52036
189813500,0.52168
190030000,0.52333
191807000,0.52072
191816000,0.5229
192748500,0.52393
192878500,0.52705
192977500,0.52975
194785500,0.52838
196705000,0.52612
198733000,0.52483
199775000,0.52485
201120000,0.5253
203117000,0.52417
204872000,0.52395
206587500,0.52145
206815000,0.52578
207738500,0.52601
208479000,0.52863
209157000,0.53017
209231500,0.53198
209583000,0.53329
210036500,0.5378
210543500,0.53891
214172500,0.53309
214435500,0.53495
214800000,0.53672
215738000,0.53756
217076000,0.53717
217180000,0.54108
217949000,0.54243
218099000,0.54461
219597500,0.54417
220728000,0.54479
223494000,0.54117
224587500,0.54206
228015000,0.53634
229027500,0.53608
229420000,0.53855
232170500,0.53437
232788500,0.53521
233602500,0.53622
233752500,0.5378
233788000,0.54105
234467000,0.54295
234912500,0.54591
235513000,0.54826
235520000,0.55039
237860500,0.54886
238423000,0.55036
238480500,0.55289
241815000,0.54748
242707000,0.54763
243027500,0.54922
244287000,0.54849
244623500,0.5508
245435000,0.55204
246848000,0.55041
247228500,0.55184
250317500,0.54682
250582000,0.54924
254742000,0.54255
255175000,0.54458
255386000,0.54737
262272500,0.53532
263812500,0.53472
265238000,0.53411
266472500,0.53362
266973500,0.53578
268280000,0.53435
269327500,0.53399
269573000,0.53532
269599000,0.53837
270561000,0.53946
271348500,0.54038
273691500,0.53839
275084000,0.53751
275741500,0.53971
276894000,0.5398
277454500,0.54077
279822500,0.53815
280619500,0.53803
282187500,0.53697
282284500,0.53927
283221000,0.54028
283729500,0.54097
283799500,0.54261
285312500,0.54148
286549000,0.54127
288070000,0.54279
288558000,0.54559
289611000,0.54516
289717500,0.54741
291078000,0.54737
297795000,0.537
298068500,0.53799
300371000,0.5352
300433500,0.53675
300913500,0.53749
301234500,0.5382
302693000,0.53751
304660500,0.53551
307186000,0.53374
307193000,0.53545
307233000,0.53729
308727500,0.53673
310148500,0.53776
312184000,0.53646
314038000,0.53518
314951000,0.5357
317099000,0.53411
317542000,0.53529
317544500,0.53696
319971500,0.53482
321159000,0.53471
321648500,0.53667
323053500,0.53612
325206500,0.53385
325984500,0.535
328310000,0.53319
328773000,0.53475
329047000,0.53566
329242500,0.53779
332384000,0.53522
332495000,0.5367
334916500,0.53376
337621000,0.53069
337773000,0.53247
337825500,0.53471
341315000,0.53052
341533500,0.53194
341614000,0.53436
342686000,0.53351
343195500,0.53399
344044000,0.53395
344169000,0.53515
344743000,0.53568
345046500,0.53673
346166500,0.53689
346793500,0.53812
349287000,0.53742
349605000,0.53874
351693000,0.53791
352184500,0.53847
353056000,0.53822
355065500,0.53691
357279500,0.5353
357573000,0.53616
360214500,0.53373
361447500,0.53357
361640500,0.5349
362036500,0.53629
364365500,0.53422
364411000,0.53595
365574000,0.53699
367154500,0.53658
368704000,0.53602
369602000,0.5361
373110000,0.53284
374608000,0.53285
374631000,0.5357
375077500,0.53656
375119500,0.53743
375581500,0.53815
377979000,0.53644
378669000,0.53641
379051500,0.53801
379200000,0.53965
379478000,0.54139
381927500,0.53941
382972000,0.53974
383075000,0.54075
383236500,0.54252
387888500,0.53734
390261000,0.53626
391022000,0.53744
391529000,0.53779
392541500,0.53795
393694000,0.53801
393914000,0.53885
394711000,0.5397
396177500,0.53904
396450500,0.54022
396902500,0.54097
397543500,0.54109
397758000,0.54196
401441000,0.53852
403872500,0.53721
404102000,0.53816
405905500,0.53813
406593000,0.53817
409143500,0.53703
412567500,0.53474
413593500,0.53601
413963500,0.53675
415373000,0.53633
415817500,0.53694
415965500,0.53824
416421000,0.53904
416889500,0.54028
417367000,0.5412
417899500,0.5429
418595500,0.54404
419251000,0.5441
420589500,0.54411
421528000,0.54362
421680500,0.54496
422746000,0.54607
423708500,0.54597
426089000,0.54413
428699500,0.54171
428868000,0.54347
429384000,0.54383
429389000,0.54648
432383000,0.54408
436085000,0.5409
436443000,0.54208
437394500,0.54267
439962000,0.54091
439977500,0.54238
440525500,0.54305
442649000,0.54123
442888500,0.54196
444164500,0.54224
444795000,0.54281
447106000,0.541
447774000,0.54134
447954000,0.5429
451963500,0.54042
452404000,0.54101
454431500,0.53961
454534500,0.54165
455111500,0.54282
457194500,0.54122
457325500,0.54249
458145000,0.54317
458613000,0.54378
461221500,0.54244
461474000,0.54328
464236000,0.54149
465225500,0.54152
466110500,0.54107
467069500,0.54121
467973000,0.54147
470736500,0.5395
471615000,0.54025
471732500,0.541
473231000,0.54054
473322000,0.54166
473697000,0.54234
475119000,0.5416
475830000,0.54233
476548000,0.54272
478299500,0.54232
478586500,0.5432
480714500,0.54211
480778000,0.54302
482972000,0.54181
483073000,0.54283
484224000,0.54284
485077000,0.5434
486119500,0.54318
486780500,0.54404
489239000,0.54273
489609000,0.54363
490834500,0.5432
492816000,0.5421
492981500,0.54388
493657500,0.54456
497518500,0.54153
497976500,0.54173
498479500,0.5425
498568000,0.54333
499578000,0.54333
500447000,0.5434
501111000,0.54385
504232500,0.54123
505669000,0.54047
508387000,0.53882
508645500,0.53995
508741500,0.54064
510711000,0.53983
511910000,0.54026
512040000,0.54118
512660500,0.54176
513288000,0.54278
515376500,0.54254
516564000,0.54204
517311000,0.54261
517382500,0.54345
518245000,0.5435
518400000,0.54491
518778500,0.54554
519550500,0.54594
520426000,0.54607
520690000,0.54704
521138500,0.54825
524557500,0.54552
525417000,0.54573
525991000,0.54644
528179000,0.54575
528651000,0.54687
530470000,0.54599
532003500,0.54601
532589500,0.54652
536040000,0.54419
536479500,0.54509
538045000,0.54434
539193000,0.54481
540096000,0.54515
543159500,0.54282
545330500,0.54186
551267000,0.53735
551512500,0.53832
552454500,0.53855
553749500,0.53805
554097000,0.53861
554332000,0.53935
556029500,0.53869
556286500,0.53914
556301000,0.54018
556333500,0.54129
557279500,0.54143
557341000,0.54188
557959500,0.54268
558012000,0.54376
558194500,0.54485
559724000,0.54423
559976500,0.54533
562066000,0.54395
564433500,0.54231
566208500,0.54155
572899500,0.53654
573489000,0.53703
574952500,0.53675
574965500,0.5379
578131000,0.53566
578169000,0.53682
578478500,0.53778
578705500,0.53867
579621000,0.5391
580846000,0.53884
581172500,0.53953
582354000,0.53889
586675000,0.53569
587325000,0.53629
588677500,0.53616
589164000,0.53652
589956000,0.53697
589956000,0.5381
590163000,0.53886
590975500,0.53918
590988500,0.54048
591298500,0.54119
591445000,0.54274
592721000,0.54256
593068500,0.54328
593275500,0.54425
594543000,0.54365
594827500,0.54427
595888000,0.54414
598226500,0.54292
598346000,0.54395
600577000,0.54298
601281500,0.54341
605347500,0.54081
606310500,0.54063
606575500,0.5415
606861000,0.54205
607039000,0.54297
608813000,0.5433
610340000,0.54306
611110000,0.5437
612265500,0.54325
613006500,0.54369
613219000,0.54433
613481000,0.54473
614096000,0.54514
615288000,0.54486
617322000,0.54397
617965000,0.54456
619183000,0.5452
619901000,0.54571
619959000,0.54659
621856500,0.54598
621989000,0.5468
623063500,0.54676
624082000,0.54696
624242000,0.54753
624334000,0.54831
627333500,0.54619
627940000,0.54663
628631000,0.54804
628932500,0.54934
630606000,0.54911
631601500,0.54967
633091500,0.54957
637334000,0.54693
637364000,0.54767
637511000,0.54862
638485000,0.54869
638543500,0.54973
638623500,0.55031
638695000,0.55116
638708000,0.55193
642796000,0.54877
643488000,0.54891
644391500,0.54903
644815000,0.55004
645714000,0.54985
646945000,0.55009
648305000,0.55028
650508000,0.54926
650637500,0.55051
650657500,0.55127
657755000,0.54616
659381000,0.54551
660935000,0.5449
664017500,0.54368
665127000,0.54383
666457000,0.54357
667965500,0.54308
668739000,0.54357
669264000,0.54389
670090000,0.54421
671023000,0.54412
671524000,0.54473
672983000,0.54406
674236000,0.54413
675708500,0.54449
676131500,0.54497
676990000,0.54505
677160000,0.54614
677315000,0.54708
678145500,0.54724
679408500,0.54704
679618500,0.54818
681059500,0.54773
681727000,0.54769
683633000,0.54714
684809000,0.54699
685493000,0.54728
687308500,0.54727
687657500,0.54776
691115500,0.54567
691570000,0.54615
692440000,0.54647
692683000,0.54718
695562500,0.54595
697473000,0.5452
698721000,0.54476
699426500,0.54494
701158000,0.54432
701783000,0.54475
702157500,0.54519
703227500,0.54492
703276000,0.54572
703539500,0.54622
707415000,0.54455
708287500,0.5448
708339000,0.54532
708957500,0.54552
711016000,0.54501
711995500,0.54532
713832000,0.54498
716707500,0.5435
717915500,0.54322
726081000,0.53767
727281000,0.53792
732344500,0.53496
732873000,0.53551
733424000,0.53588
733984500,0.5362
734550500,0.53679
734816000,0.53757
735996000,0.53753
736150000,0.5384
736420500,0.53876
737042000,0.53898
737737500,0.5391
738809000,0.53899
740115000,0.5385
742148000,0.53794
742254000,0.53872
742877000,0.53888
744742500,0.5384
745771000,0.53881
747539000,0.5387
747881500,0.53956
748297500,0.53987
748528500,0.5404
748669000,0.54126
749141500,0.54176
749181500,0.54271
749532500,0.54341
751809000,0.543
752250000,0.54347
754349500,0.54277
754511500,0.54335
754711000,0.54383
757080000,0.54306
763752000,0.53901
764245500,0.53983
765512000,0.53959
766701000,0.53936
767100000,0.54025
767532500,0.54111
767861000,0.54157
769015500,0.54117
774610000,0.53804
774851500,0.53857
775350500,0.53949
775771000,0.53995
775986000,0.54114
777387000,0.54092
777577500,0.54176
777886500,0.54205
779733500,0.54104
780286500,0.54136
781427500,0.54147
784226500,0.54031
784383500,0.54075
784610500,0.54123
785297500,0.54148
787351000,0.54123
789509000,0.54079
790081500,0.54129
790191500,0.54213
790778500,0.5424
794010500,0.54082
794747500,0.54153
795857000,0.54155
796333000,0.54183
797920500,0.54132
798360500,0.54155
799555500,0.54156
800127000,0.54161
801652500,0.54125
801993500,0.54215
802151500,0.543
802916500,0.54311
803289500,0.54378
803477000,0.5443
804252000,0.54453
808636000,0.54242
811553000,0.54104
812187500,0.54202
812553000,0.54237
814358500,0.54174
814457500,0.54224
815121000,0.54262
815666500,0.54282
815817000,0.54365
816528000,0.54428
816560500,0.54526
816615000,0.54576
818495000,0.54521
819536500,0.5449
820460000,0.54573
821494500,0.54598
821778500,0.5464
825259500,0.54531
826338000,0.54526
827263500,0.54553
828110500,0.54553
828917000,0.54576
830145500,0.54553
831786000,0.54535
833713000,0.5447
834864500,0.54442
835371500,0.54503
837326500,0.5446
838650500,0.54422
839823000,0.5442
840096500,0.54481
840233000,0.54528
841108000,0.54562
842774500,0.54507
843993500,0.54498
844338500,0.5453
847929500,0.54331
849297500,0.54328
854045000,0.54083
855203000,0.54095
855815500,0.54123
856527500,0.54153
856696500,0.54237
858225000,0.54206
858240000,0.54246
858274000,0.5428
858669000,0.54363
860678000,0.54292
860908500,0.54333
861545000,0.54353
862806000,0.54345
865209500,0.54242
866181500,0.5428
866698000,0.54323
867140500,0.5438
867182000,0.54448
868696500,0.5445
870255500,0.54425
870620000,0.54477
871195500,0.54478
872104500,0.54478
872306500,0.54575
873988500,0.54541
874051000,0.54623
874981500,0.54618
875106500,0.54656
877147000,0.54601
877722000,0.54649
880313500,0.54538
884648500,0.54341
884648500,0.54407
886679000,0.54405
887010500,0.54485
887184000,0.545
887983500,0.54519
888324500,0.54554
888382000,0.5463
888728500,0.54674
889648500,0.54716
890685500,0.54699
892353000,0.54648
893908500,0.54621
894519500,0.54634
896332000,0.54592
898344500,0.54547
898599500,0.54624
901241000,0.54553
901551000,0.54588
902231000,0.54597
907807000,0.54312
909901500,0.5424
911200000,0.54306
912469500,0.5433
912565000,0.54394
912851000,0.54434
916445000,0.54282
920109000,0.54138
920143000,0.54227
920658500,0.54255
922385500,0.54215
922762000,0.54275
925919500,0.5417
927385000,0.54143
929858500,0.54069
930061500,0.54131
930476000,0.54161
932460000,0.54109
934106000,0.54106
937521000,0.53971
938107000,0.54037
939408500,0.54054
940382500,0.54059
940688500,0.54129
941048500,0.54172
942036500,0.54168
942567000,0.54217
943745000,0.54199
944221000,0.54214
945390000,0.54218
948183000,0.54114
948186000,0.54163
950552000,0.54101
950798500,0.54135
954420000,0.53979
954661000,0.54043
955411000,0.54044
957006500,0.54001
958362000,0.53968
958507000,0.54011
958689500,0.54057
960213500,0.54022
961115000,0.54043
961920500,0.54069
962129000,0.54123
963412500,0.54091
964023000,0.54139
964555500,0.54182
966326500,0.54141
967734500,0.5413
967798500,0.54228
969482500,0.54196
972972500,0.54082
973634500,0.54087
975095000,0.54055
976374500,0.54024
976463000,0.54067
977079000,0.54091
977200000,0.54149
977421500,0.54223
978220000,0.54228
